configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,1670642,32.55, 0.41, 0:02.09, 1572, 601 , 291.15 , 1334.29
1001,False,False,True,True,True,True,True,True,20,1,2360273,19.97, 0.31, 0:01.37, 1480, 601 , 449.98 , 1885.08
1002,True,False,False,False,True,False,True,True,60,5,1739519,24.90, 0.45, 0:02.28, 1110, 601 , 267.36 , 1389.30
1003,False,False,False,True,True,True,False,False,20,9,2156097,43.62, 0.42, 0:03.04, 1448, 601 , 199.29 , 1722.01
1004,False,False,True,False,False,True,True,False,20,9,2044585,29.09, 0.45, 0:01.73, 1702, 601 , 353.09 , 1632.95
1005,True,False,False,True,False,True,False,False,20,1,1989710,20.76, 0.31, 0:01.40, 1499, 601 , 436.56 , 1589.12
1006,False,False,False,False,False,True,True,False,60,5,1900726,27.71, 0.35, 0:01.85, 1510, 601 , 328.27 , 1518.05
1007,True,False,False,True,False,True,False,False,20,5,1952360,26.04, 0.34, 0:01.60, 1646, 601 , 381.77 , 1559.29
1008,True,False,False,False,True,False,False,False,20,1,1583864,20.79, 0.37, 0:01.92, 1102, 601 , 318.18 , 1264.98
1009,False,False,True,True,False,False,True,True,40,9,1901476,27.31, 0.41, 0:02.01, 1379, 601 , 304.65 , 1518.65
1010,False,False,False,False,False,True,True,False,60,1,1901257,21.51, 0.30, 0:01.49, 1456, 601 , 408.60 , 1518.47
101,False,False,True,False,False,True,True,True,40,9,2047452,30.19, 0.32, 0:01.77, 1723, 601 , 344.63 , 1635.24
1011,False,False,False,True,True,True,False,False,20,1,2148740,20.58, 0.40, 0:01.40, 1495, 601 , 436.92 , 1716.13
1012,False,False,True,False,False,True,True,False,20,1,2086045,19.56, 0.40, 0:01.40, 1426, 601 , 439.54 , 1666.06
1013,True,False,False,False,True,False,False,False,20,5,1602761,25.55, 0.45, 0:01.85, 1404, 601 , 329.88 , 1280.08
1014,True,False,False,True,False,True,False,False,20,9,1938982,39.73, 0.37, 0:02.57, 1556, 601 , 235.93 , 1548.60
1015,True,False,False,True,False,True,True,True,40,1,1989710,21.88, 0.27, 0:01.48, 1487, 601 , 411.28 , 1589.12
1016,True,False,True,False,True,True,False,True,40,1,2028649,18.74, 0.31, 0:01.42, 1335, 601 , 431.47 , 1620.22
1017,True,False,True,False,False,False,True,True,20,9,1676161,29.49, 0.48, 0:02.13, 1403, 601 , 285.50 , 1338.70
1018,True,False,False,True,False,True,True,True,40,5,1964687,25.36, 0.34, 0:01.57, 1630, 601 , 388.46 , 1569.13
1019,True,False,True,False,False,False,True,True,20,5,1690982,21.65, 0.35, 0:01.71, 1281, 601 , 357.13 , 1350.53
1020,True,False,True,False,False,True,False,False,20,1,1997225,18.56, 0.37, 0:01.45, 1306, 601 , 424.04 , 1595.12
102,False,False,False,True,False,False,False,False,60,9,1771395,35.74, 0.62, 0:02.84, 1277, 601 , 213.85 , 1414.76
1021,True,False,False,False,True,False,False,False,40,1,1679352,18.32, 0.36, 0:01.98, 939, 601 , 306.97 , 1341.25
1022,False,False,False,False,True,True,True,False,40,1,1961664,22.20, 0.36, 0:01.54, 1463, 601 , 397.22 , 1566.72
1023,True,False,False,True,False,True,True,True,40,9,1948287,33.23, 0.38, 0:02.02, 1657, 601 , 300.68 , 1556.04
1024,True,False,True,False,True,True,False,True,40,9,2030743,35.77, 0.49, 0:02.50, 1446, 601 , 242.91 , 1621.89
1025,False,False,False,False,True,True,True,False,40,5,1997772,25.09, 0.34, 0:01.50, 1690, 601 , 407.08 , 1595.56
1026,False,False,True,True,True,True,True,True,20,9,2314743,31.31, 0.37, 0:01.92, 1649, 601 , 318.59 , 1848.71
1027,True,False,True,False,True,True,False,True,40,5,2029784,26.52, 0.40, 0:01.80, 1495, 601 , 339.88 , 1621.13
1028,False,False,False,False,True,True,True,False,40,9,2001465,31.39, 0.38, 0:01.86, 1707, 601 , 328.11 , 1598.51
1029,False,False,True,False,True,False,True,True,60,5,1938520,25.77, 0.57, 0:02.21, 1188, 601 , 276.16 , 1548.24
