configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,6296239,54.34, 0.56, 0:02.62, 2091, 217 , 84.04 , 5802.99
1001,False,False,True,True,True,True,True,True,20,1,6849234,43.72, 0.40, 0:01.87, 2351, 217 , 117.90 , 6312.66
1002,True,False,False,False,True,False,True,True,60,5,6509410,35.65, 0.55, 0:02.39, 1512, 217 , 92.27 , 5999.46
1003,False,False,False,True,True,True,False,False,20,9,6037172,59.31, 0.70, 0:03.18, 1884, 217 , 69.01 , 5564.21
1004,False,False,True,False,False,True,True,False,20,9,6633222,49.52, 0.58, 0:02.32, 2159, 217 , 95.37 , 6113.57
1005,True,False,False,True,False,True,False,False,20,1,5748960,33.98, 0.49, 0:01.60, 2145, 217 , 138.00 , 5298.58
1006,False,False,False,False,False,True,True,False,60,5,5883217,36.57, 0.51, 0:01.80, 2050, 217 , 122.64 , 5422.32
1007,True,False,False,True,False,True,False,False,20,5,5635622,51.81, 0.51, 0:02.52, 2074, 217 , 87.48 , 5194.12
1008,True,False,False,False,True,False,False,False,20,1,6166518,35.66, 0.50, 0:02.11, 1710, 217 , 104.67 , 5683.43
1009,False,False,True,True,False,False,True,True,40,9,7800887,55.21, 0.62, 0:02.78, 2008, 217 , 79.07 , 7189.76
1010,False,False,False,False,False,True,True,False,60,1,5900348,30.49, 0.35, 0:01.39, 2211, 217 , 159.72 , 5438.11
101,False,False,True,False,False,True,True,True,40,9,6600007,55.24, 0.63, 0:02.52, 2215, 217 , 87.54 , 6082.96
1011,False,False,False,True,True,True,False,False,20,1,6056562,31.34, 0.38, 0:01.50, 2104, 217 , 147.70 , 5582.08
1012,False,False,True,False,False,True,True,False,20,1,6708175,35.21, 0.48, 0:01.66, 2138, 217 , 133.35 , 6182.65
1013,True,False,False,False,True,False,False,False,20,5,6129841,41.36, 0.50, 0:02.25, 1860, 217 , 98.25 , 5649.62
1014,True,False,False,True,False,True,False,False,20,9,5635107,66.28, 0.66, 0:03.30, 2023, 217 , 66.39 , 5193.65
1015,True,False,False,True,False,True,True,True,40,1,5709515,38.60, 0.47, 0:01.68, 2316, 217 , 131.58 , 5262.23
1016,True,False,True,False,True,True,False,True,40,1,6401861,35.35, 0.43, 0:01.67, 2140, 217 , 133.08 , 5900.33
1017,True,False,True,False,False,False,True,True,20,9,7085311,46.03, 0.63, 0:02.25, 2072, 217 , 98.36 , 6530.24
1018,True,False,False,True,False,True,True,True,40,5,5620985,47.09, 0.55, 0:02.06, 2306, 217 , 107.05 , 5180.63
1019,True,False,True,False,False,False,True,True,20,5,7087946,33.12, 0.51, 0:01.83, 1830, 217 , 120.94 , 6532.67
1020,True,False,True,False,False,True,False,False,20,1,6408061,31.35, 0.39, 0:01.51, 2093, 217 , 147.23 , 5906.05
102,False,False,False,True,False,False,False,False,60,9,6934375,54.71, 0.71, 0:03.22, 1719, 217 , 68.26 , 6391.13
1021,True,False,False,False,True,False,False,False,40,1,6454569,30.88, 0.52, 0:01.95, 1609, 217 , 113.18 , 5948.91
1022,False,False,False,False,True,True,True,False,40,1,5919421,41.47, 0.42, 0:01.79, 2335, 217 , 123.21 , 5455.69
1023,True,False,False,True,False,True,True,True,40,9,5624474,52.02, 0.61, 0:02.36, 2230, 217 , 93.46 , 5183.85
1024,True,False,True,False,True,True,False,True,40,9,6302867,54.59, 0.66, 0:02.86, 1930, 217 , 76.99 , 5809.09
1025,False,False,False,False,True,True,True,False,40,5,5911901,42.32, 0.49, 0:02.06, 2069, 217 , 106.87 , 5448.76
1026,False,False,True,True,True,True,True,True,20,9,6748061,51.72, 0.52, 0:02.41, 2168, 217 , 91.58 , 6219.41
1027,True,False,True,False,True,True,False,True,40,5,6302944,42.54, 0.64, 0:02.25, 1918, 217 , 98.13 , 5809.16
1028,False,False,False,False,True,True,True,False,40,9,5925953,48.03, 0.60, 0:02.30, 2110, 217 , 95.85 , 5461.71
1029,False,False,True,False,True,False,True,True,60,5,7772557,39.15, 0.63, 0:02.39, 1664, 217 , 92.49 , 7163.65
1030,True,False,False,False,False,False,False,False,60,1,6484946,29.43, 0.52, 0:02.18, 1372, 217 , 101.23 , 5976.91
