configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,2986718,11.30, 0.22, 0:01.87, 614, 2000 , 1073.05 , 358.05
1001,False,False,True,True,True,True,True,True,20,1,5153651,10.31, 0.22, 0:01.73, 607, 2000 , 1163.41 , 617.82
1002,True,False,False,False,True,False,True,True,60,5,3431869,10.36, 0.28, 0:01.91, 557, 2000 , 1053.38 , 411.41
1003,False,False,False,True,True,True,False,False,20,9,3886636,17.72, 0.32, 0:03.28, 549, 2000 , 610.34 , 465.93
1004,False,False,True,False,False,True,True,False,20,9,4332254,12.63, 0.24, 0:02.23, 577, 2000 , 903.19 , 519.35
1005,True,False,False,True,False,True,False,False,20,1,4139973,9.11, 0.19, 0:01.42, 651, 2000 , 1410.27 , 496.30
1006,False,False,False,False,False,True,True,False,60,5,3892801,10.72, 0.26, 0:01.97, 555, 2000 , 1016.01 , 466.67
1007,True,False,False,True,False,True,False,False,20,5,3820386,12.84, 0.22, 0:02.43, 536, 2000 , 823.59 , 457.99
1008,True,False,False,False,True,False,False,False,20,1,3379896,8.90, 0.21, 0:01.59, 571, 2000 , 1260.28 , 405.18
1009,False,False,True,True,False,False,True,True,40,9,3919876,12.27, 0.31, 0:02.23, 562, 2000 , 901.34 , 469.92
1010,False,False,False,False,False,True,True,False,60,1,4186084,9.62, 0.22, 0:01.57, 626, 2000 , 1277.41 , 501.83
101,False,False,True,False,False,True,True,True,40,9,4323264,12.68, 0.25, 0:02.24, 576, 2000 , 895.33 , 518.27
1011,False,False,False,True,True,True,False,False,20,1,4308910,9.66, 0.20, 0:01.53, 641, 2000 , 1307.72 , 516.55
1012,False,False,True,False,False,True,True,False,20,1,4984942,10.36, 0.22, 0:01.76, 599, 2000 , 1141.47 , 597.60
1013,True,False,False,False,True,False,False,False,20,5,3014560,12.97, 0.29, 0:02.55, 519, 2000 , 786.08 , 361.39
1014,True,False,False,True,False,True,False,False,20,9,3745757,16.78, 0.30, 0:03.08, 554, 2000 , 651.32 , 449.04
1015,True,False,False,True,False,True,True,True,40,1,4139973,8.70, 0.18, 0:01.34, 663, 2000 , 1501.40 , 496.30
1016,True,False,True,False,True,True,False,True,40,1,4851202,9.53, 0.20, 0:01.58, 614, 2000 , 1274.27 , 581.56
1017,True,False,True,False,False,False,True,True,20,9,3382649,11.58, 0.27, 0:02.03, 583, 2000 , 991.53 , 405.51
1018,True,False,False,True,False,True,True,True,40,5,3836701,9.73, 0.28, 0:01.76, 568, 2000 , 1140.76 , 459.94
1019,True,False,True,False,False,False,True,True,20,5,3581778,10.78, 0.27, 0:02.07, 531, 2000 , 969.82 , 429.38
1020,True,False,True,False,False,True,False,False,20,1,4848432,9.36, 0.19, 0:01.56, 612, 2000 , 1293.29 , 581.23
102,False,False,False,True,False,False,False,False,60,9,3474330,19.14, 0.26, 0:03.70, 524, 2000 , 541.93 , 416.50
1021,True,False,False,False,True,False,False,False,40,1,3779426,9.80, 0.24, 0:01.80, 555, 2000 , 1112.36 , 453.08
1022,False,False,False,False,True,True,True,False,40,1,4176083,9.81, 0.15, 0:01.57, 633, 2000 , 1275.98 , 500.63
1023,True,False,False,True,False,True,True,True,40,9,3774133,12.10, 0.25, 0:02.05, 600, 2000 , 976.16 , 452.44
1024,True,False,True,False,True,True,False,True,40,9,4130556,17.30, 0.24, 0:03.23, 543, 2000 , 621.58 , 495.17
1025,False,False,False,False,True,True,True,False,40,5,3891896,10.78, 0.25, 0:02.01, 548, 2000 , 999.32 , 466.56
1026,False,False,True,True,True,True,True,True,20,9,4450588,12.93, 0.31, 0:02.30, 574, 2000 , 873.76 , 533.54
1027,True,False,True,False,True,True,False,True,40,5,4289316,13.56, 0.28, 0:02.60, 532, 2000 , 772.68 , 514.20
1028,False,False,False,False,True,True,True,False,40,9,3829921,12.59, 0.25, 0:02.19, 586, 2000 , 917.84 , 459.13
1029,False,False,True,False,True,False,True,True,60,5,4215787,12.09, 0.36, 0:02.43, 511, 2000 , 827.68 , 505.39
1030,True,False,False,False,False,False,False,False,60,1,3910745,9.98, 0.22, 0:01.90, 535, 2000 , 1056.34 , 468.82
103,True,False,False,True,False,True,False,True,20,5,3816852,12.16, 0.37, 0:02.28, 548, 2000 , 878.53 , 457.56
1031,False,False,True,True,False,True,False,True,60,5,4556760,14.16, 0.28, 0:02.73, 529, 2000 , 736.61 , 546.26
1032,False,False,True,False,True,False,True,True,60,1,4866148,12.18, 0.30, 0:02.50, 499, 2000 , 805.05 , 583.35
1033,True,False,False,False,False,False,False,False,60,5,3415192,13.98, 0.24, 0:02.79, 510, 2000 , 719.02 , 409.41
1034,True,False,True,False,False,False,True,True,20,1,4097911,9.50, 0.20, 0:01.81, 534, 2000 , 1111.40 , 491.26
1035,True,False,False,False,False,False,False,False,60,9,3271141,18.79, 0.38, 0:03.65, 524, 2000 , 548.84 , 392.14
1036,True,False,False,True,True,False,False,True,40,5,3362334,13.32, 0.23, 0:02.64, 513, 2000 , 760.14 , 403.08
1037,False,False,True,True,False,False,False,True,40,1,4842970,11.71, 0.34, 0:02.41, 499, 2000 , 833.14 , 580.58
1038,True,False,False,True,True,False,False,True,40,1,3857742,9.50, 0.27, 0:01.76, 552, 2000 , 1137.62 , 462.47
1039,False,False,True,True,False,False,False,True,60,9,3981221,19.71, 0.38, 0:03.91, 513, 2000 , 513.41 , 477.27
1040,True,False,False,False,False,False,True,True,60,1,3910745,10.04, 0.24, 0:01.94, 529, 2000 , 1035.78 , 468.82
104,True,False,True,False,False,False,True,True,60,9,3814853,12.37, 0.30, 0:02.24, 563, 2000 , 897.90 , 457.33
1041,True,False,False,True,True,False,False,True,20,9,2963222,16.96, 0.30, 0:03.24, 532, 2000 , 618.26 , 355.23
1042,False,False,True,False,True,True,True,True,60,9,4321885,13.07, 0.24, 0:02.34, 568, 2000 , 859.18 , 518.11
1043,True,False,True,False,False,False,False,True,60,9,3772917,18.56, 0.27, 0:03.70, 507, 2000 , 542.14 , 452.30
1044,True,False,False,False,False,False,True,True,60,5,3428695,10.33, 0.29, 0:01.88, 563, 2000 , 1067.52 , 411.03
1045,False,False,True,False,True,False,True,True,20,9,3524776,13.01, 0.31, 0:02.37, 562, 2000 , 850.45 , 422.55
1046,True,False,False,False,False,False,True,True,60,9,3294342,11.57, 0.28, 0:02.02, 586, 2000 , 995.62 , 394.93
1047,True,False,True,False,False,False,False,False,20,1,4097911,9.44, 0.22, 0:01.81, 534, 2000 , 1113.15 , 491.26
1048,False,False,True,False,True,False,True,True,20,5,3722004,10.80, 0.26, 0:02.10, 526, 2000 , 958.62 , 446.19
1049,False,False,False,True,True,True,False,False,40,9,3886636,17.58, 0.27, 0:03.24, 549, 2000 , 617.45 , 465.93
1050,False,False,False,False,True,True,True,False,20,9,3829921,12.48, 0.28, 0:02.16, 588, 2000 , 926.63 , 459.13
105,True,False,False,True,False,True,False,True,20,9,3741947,16.47, 0.29, 0:03.01, 555, 2000 , 664.83 , 448.59
1051,False,False,True,True,True,True,True,True,40,5,4585335,11.20, 0.26, 0:02.12, 539, 2000 , 946.33 , 549.69
1052,True,False,False,True,False,True,False,False,40,1,4139973,8.90, 0.24, 0:01.38, 659, 2000 , 1452.02 , 496.30
1053,False,False,True,True,True,True,True,True,40,1,5153651,10.02, 0.23, 0:01.68, 609, 2000 , 1197.83 , 617.82
1054,False,False,False,True,False,False,False,False,40,9,3388378,17.63, 0.34, 0:03.39, 529, 2000 , 591.53 , 406.20
1055,False,False,False,True,True,True,False,False,40,1,4308910,9.88, 0.24, 0:01.61, 626, 2000 , 1243.29 , 516.55
1056,True,False,False,True,False,True,False,False,40,5,3820386,13.00, 0.21, 0:02.46, 535, 2000 , 814.31 , 457.99
