configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,844233,1.31, 0.04, 0:00.29, 468, 150 , 534.02 , 1349.42
1001,False,False,True,True,True,True,True,True,20,1,754862,1.18, 0.01, 0:00.24, 493, 150 , 659.39 , 1206.57
1002,True,False,False,False,True,False,True,True,60,5,863657,1.13, 0.03, 0:00.29, 397, 150 , 522.32 , 1380.47
1003,False,False,False,True,True,True,False,False,20,9,657829,1.53, 0.05, 0:00.32, 484, 150 , 469.20 , 1051.47
1004,False,False,True,False,False,True,True,False,20,9,736346,1.35, 0.03, 0:00.28, 492, 150 , 560.81 , 1176.98
1005,True,False,False,True,False,True,False,False,20,1,652972,0.97, 0.03, 0:00.19, 509, 150 , 777.46 , 1043.71
1006,False,False,False,False,False,True,True,False,60,5,675071,1.15, 0.05, 0:00.24, 500, 150 , 642.04 , 1079.03
1007,True,False,False,True,False,True,False,False,20,5,630792,1.28, 0.04, 0:00.27, 481, 150 , 557.13 , 1008.26
1008,True,False,False,False,True,False,False,False,20,1,844959,1.03, 0.04, 0:00.24, 433, 150 , 624.64 , 1350.58
1009,False,False,True,True,False,False,True,True,40,9,962908,1.58, 0.03, 0:00.37, 433, 150 , 419.65 , 1539.11
1010,False,False,False,False,False,True,True,False,60,1,684814,1.03, 0.03, 0:00.21, 505, 150 , 738.42 , 1094.61
101,False,False,True,False,False,True,True,True,40,9,739299,1.34, 0.04, 0:00.28, 488, 150 , 557.45 , 1181.70
1011,False,False,False,True,True,True,False,False,20,1,685317,1.06, 0.04, 0:00.21, 511, 150 , 717.50 , 1095.41
1012,False,False,True,False,False,True,True,False,20,1,753355,1.12, 0.01, 0:00.22, 498, 150 , 686.00 , 1204.16
1013,True,False,False,False,True,False,False,False,20,5,817283,1.35, 0.03, 0:00.32, 422, 150 , 468.13 , 1306.35
1014,True,False,False,True,False,True,False,False,20,9,626842,1.51, 0.04, 0:00.31, 493, 150 , 486.01 , 1001.95
1015,True,False,False,True,False,True,True,True,40,1,657180,1.09, 0.03, 0:00.22, 489, 150 , 675.83 , 1050.44
1016,True,False,True,False,True,True,False,True,40,1,730627,1.12, 0.03, 0:00.23, 486, 150 , 666.01 , 1167.84
1017,True,False,True,False,False,False,True,True,20,9,925432,1.37, 0.02, 0:00.31, 440, 150 , 497.48 , 1479.21
1018,True,False,False,True,False,True,True,True,40,5,647149,1.06, 0.04, 0:00.21, 514, 150 , 720.53 , 1034.40
1019,True,False,True,False,False,False,True,True,20,5,930801,1.22, 0.03, 0:00.29, 427, 150 , 532.59 , 1487.79
1020,True,False,True,False,False,True,False,False,20,1,728049,1.22, 0.04, 0:00.26, 483, 150 , 600.74 , 1163.71
102,False,False,False,True,False,False,False,False,60,9,852698,1.66, 0.04, 0:00.41, 414, 150 , 374.83 , 1362.95
1021,True,False,False,False,True,False,False,False,40,1,860155,1.03, 0.03, 0:00.26, 402, 150 , 584.76 , 1374.87
1022,False,False,False,False,True,True,True,False,40,1,685964,1.03, 0.04, 0:00.21, 511, 150 , 736.83 , 1096.45
1023,True,False,False,True,False,True,True,True,40,9,644686,1.22, 0.04, 0:00.24, 519, 150 , 637.41 , 1030.47
1024,True,False,True,False,True,True,False,True,40,9,703025,1.71, 0.02, 0:00.35, 493, 150 , 444.49 , 1123.72
1025,False,False,False,False,True,True,True,False,40,5,673965,1.12, 0.03, 0:00.22, 504, 150 , 679.31 , 1077.27
1026,False,False,True,True,True,True,True,True,20,9,740079,1.36, 0.02, 0:00.27, 503, 150 , 576.41 , 1182.94
1027,True,False,True,False,True,True,False,True,40,5,709219,1.42, 0.02, 0:00.30, 481, 150 , 523.20 , 1133.62
