configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,948855,1.61, 0.04, 0:00.27, 600, 130 , 483.89 , 875.87
1001,False,False,True,True,True,True,True,True,20,1,892329,1.28, 0.03, 0:00.20, 646, 130 , 681.73 , 823.69
1002,True,False,False,False,True,False,True,True,60,5,947241,1.45, 0.05, 0:00.29, 510, 130 , 458.92 , 874.38
1003,False,False,False,True,True,True,False,False,20,9,793472,2.19, 0.03, 0:00.36, 610, 130 , 366.44 , 732.44
1004,False,False,True,False,False,True,True,False,20,9,887470,1.57, 0.02, 0:00.24, 650, 130 , 560.53 , 819.20
1005,True,False,False,True,False,True,False,False,20,1,800225,1.22, 0.04, 0:00.18, 672, 130 , 721.10 , 738.67
1006,False,False,False,False,False,True,True,False,60,5,799941,1.37, 0.03, 0:00.21, 655, 130 , 632.36 , 738.41
1007,True,False,False,True,False,True,False,False,20,5,789414,1.76, 0.02, 0:00.29, 605, 130 , 453.13 , 728.69
1008,True,False,False,False,True,False,False,False,20,1,951561,1.33, 0.04, 0:00.22, 600, 130 , 590.65 , 878.36
1009,False,False,True,True,False,False,True,True,40,9,1052508,1.76, 0.06, 0:00.32, 564, 130 , 422.60 , 971.55
1010,False,False,False,False,False,True,True,False,60,1,801231,1.33, 0.02, 0:00.21, 647, 130 , 639.74 , 739.60
101,False,False,True,False,False,True,True,True,40,9,886802,1.54, 0.02, 0:00.24, 646, 130 , 567.34 , 818.59
1011,False,False,False,True,True,True,False,False,20,1,803192,1.28, 0.02, 0:00.20, 653, 130 , 676.68 , 741.41
1012,False,False,True,False,False,True,True,False,20,1,890423,1.32, 0.03, 0:00.21, 636, 130 , 649.68 , 821.93
1013,True,False,False,False,True,False,False,False,20,5,942233,1.83, 0.05, 0:00.33, 570, 130 , 402.86 , 869.75
1014,True,False,False,True,False,True,False,False,20,9,789348,2.02, 0.04, 0:00.33, 611, 130 , 396.53 , 728.63
1015,True,False,False,True,False,True,True,True,40,1,799952,1.24, 0.04, 0:00.19, 668, 130 , 701.93 , 738.42
1016,True,False,True,False,True,True,False,True,40,1,872385,1.23, 0.02, 0:00.19, 642, 130 , 712.06 , 805.28
1017,True,False,True,False,False,False,True,True,20,9,1026198,1.64, 0.04, 0:00.27, 604, 130 , 484.41 , 947.26
1018,True,False,False,True,False,True,True,True,40,5,797810,1.36, 0.04, 0:00.21, 664, 130 , 642.23 , 736.44
1019,True,False,True,False,False,False,True,True,20,5,1029654,1.48, 0.02, 0:00.26, 581, 130 , 530.17 , 950.45
1020,True,False,True,False,False,True,False,False,20,1,872770,1.27, 0.03, 0:00.21, 606, 130 , 650.28 , 805.63
102,False,False,False,True,False,False,False,False,60,9,948960,2.26, 0.05, 0:00.43, 536, 130 , 309.63 , 875.96
1021,True,False,False,False,True,False,False,False,40,1,952076,1.28, 0.04, 0:00.25, 530, 130 , 540.13 , 878.84
1022,False,False,False,False,True,True,True,False,40,1,802136,1.31, 0.02, 0:00.19, 673, 130 , 681.86 , 740.43
1023,True,False,False,True,False,True,True,True,40,9,797296,1.38, 0.05, 0:00.21, 656, 130 , 620.69 , 735.97
1024,True,False,True,False,True,True,False,True,40,9,858759,2.03, 0.04, 0:00.37, 561, 130 , 367.76 , 792.70
1025,False,False,False,False,True,True,True,False,40,5,799347,1.44, 0.04, 0:00.22, 657, 130 , 597.98 , 737.86
1026,False,False,True,True,True,True,True,True,20,9,887964,1.55, 0.04, 0:00.24, 646, 130 , 562.97 , 819.66
1027,True,False,True,False,True,True,False,True,40,5,861515,1.63, 0.05, 0:00.27, 610, 130 , 495.92 , 795.24
1028,False,False,False,False,True,True,True,False,40,9,799581,1.56, 0.03, 0:00.24, 665, 130 , 561.23 , 738.07
1029,False,False,True,False,True,False,True,True,60,5,1052117,1.51, 0.07, 0:00.31, 505, 130 , 436.21 , 971.18
1030,True,False,False,False,False,False,False,False,60,1,951793,1.28, 0.05, 0:00.26, 508, 130 , 517.21 , 878.58
103,True,False,False,True,False,True,False,True,20,5,790490,1.70, 0.03, 0:00.27, 622, 130 , 482.56 , 729.68
1031,False,False,True,True,False,True,False,True,60,5,883193,1.82, 0.02, 0:00.29, 617, 130 , 458.92 , 815.26
1032,False,False,True,False,True,False,True,True,60,1,1055485,1.54, 0.03, 0:00.32, 490, 130 , 427.95 , 974.29
1033,True,False,False,False,False,False,False,False,60,5,942870,1.78, 0.04, 0:00.34, 526, 130 , 384.88 , 870.34
1034,True,False,True,False,False,False,True,True,20,1,1034134,1.35, 0.03, 0:00.23, 593, 130 , 592.96 , 954.59
1035,True,False,False,False,False,False,False,False,60,9,938878,2.19, 0.06, 0:00.42, 528, 130 , 313.64 , 866.66
1036,True,False,False,True,True,False,False,True,40,5,945021,1.77, 0.02, 0:00.32, 554, 130 , 413.80 , 872.33
1037,False,False,True,True,False,False,False,True,40,1,1057863,1.40, 0.06, 0:00.27, 538, 130 , 504.35 , 976.49
1038,True,False,False,True,True,False,False,True,40,1,955302,1.31, 0.04, 0:00.24, 553, 130 , 551.56 , 881.82
1039,False,False,True,True,False,False,False,True,60,9,1044524,2.19, 0.04, 0:00.42, 530, 130 , 320.90 , 964.18
1040,True,False,False,False,False,False,True,True,60,1,952725,1.35, 0.05, 0:00.27, 515, 130 , 499.15 , 879.44
104,True,False,True,False,False,False,True,True,60,9,1026440,1.59, 0.04, 0:00.31, 521, 130 , 441.48 , 947.48
1041,True,False,False,True,True,False,False,True,20,9,941028,2.22, 0.05, 0:00.38, 596, 130 , 350.18 , 868.64
1042,False,False,True,False,True,True,True,True,60,9,885541,1.74, 0.03, 0:00.29, 612, 130 , 475.62 , 817.42
1043,True,False,True,False,False,False,False,True,60,9,1020609,2.13, 0.05, 0:00.42, 522, 130 , 323.77 , 942.10
1044,True,False,False,False,False,False,True,True,60,5,948334,1.61, 0.04, 0:00.33, 502, 130 , 408.59 , 875.39
1045,False,False,True,False,True,False,True,True,20,9,1049413,1.69, 0.03, 0:00.29, 593, 130 , 474.99 , 968.69
1046,True,False,False,False,False,False,True,True,60,9,947048,1.59, 0.05, 0:00.31, 526, 130 , 434.15 , 874.20
1047,True,False,True,False,False,False,False,False,20,1,1034621,1.34, 0.04, 0:00.23, 591, 130 , 590.01 , 955.03
1048,False,False,True,False,True,False,True,True,20,5,1052537,1.60, 0.01, 0:00.28, 577, 130 , 491.70 , 971.57
1049,False,False,False,True,True,True,False,False,40,9,793472,2.03, 0.05, 0:00.34, 606, 130 , 390.02 , 732.44
1050,False,False,False,False,True,True,True,False,20,9,799581,1.57, 0.02, 0:00.24, 654, 130 , 555.87 , 738.07
105,True,False,False,True,False,True,False,True,20,9,789829,2.03, 0.04, 0:00.33, 616, 130 , 395.37 , 729.07
1051,False,False,True,True,True,True,True,True,40,5,889370,1.49, 0.04, 0:00.24, 623, 130 , 558.03 , 820.96
1052,True,False,False,True,False,True,False,False,40,1,800225,1.18, 0.03, 0:00.18, 669, 130 , 742.07 , 738.67
1053,False,False,True,True,True,True,True,True,40,1,892329,1.30, 0.02, 0:00.21, 631, 130 , 665.74 , 823.69
1054,False,False,False,True,False,False,False,False,40,9,949000,2.33, 0.05, 0:00.43, 547, 130 , 307.50 , 876.00
