configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16464,0.031
1,-O2,0,1,1,1,16464,0.035
10,-Ofast,1,0,0,0,17976,0.029
11,-O1,0,1,1,1,16464,0.026
12,-O1,1,1,0,1,16464,0.025
13,-O1,1,0,1,1,16464,0.019
14,-Og,0,0,0,0,16464,0.021
15,-O1,1,0,0,0,16464,0.018
16,-O0,0,0,0,0,16464,0.015
17,-O1,0,1,0,1,16464,0.02
18,-O1,0,1,1,0,16464,0.018
19,-O1,0,0,1,1,16464,0.016
2,-Ofast,0,0,0,1,17976,0.024
20,-O0,1,1,1,1,16464,0.015
21,-Og,0,0,1,0,16464,0.019
22,-Ofast,1,1,1,0,17976,0.023
23,-O0,1,0,0,1,16464,0.018
24,-Ofast,0,1,1,1,17976,0.026
25,-O2,1,0,0,1,16464,0.019
26,-Og,0,1,1,1,16464,0.016
27,-O2,1,1,1,1,16464,0.023
28,-Og,0,0,1,1,16464,0.019
29,-O0,0,1,0,0,16464,0.015
3,-O1,0,1,0,0,16464,0.019
30,-Og,1,1,1,1,16464,0.021
31,-Og,1,1,0,1,16464,0.02
32,-O2,0,0,1,0,16464,0.023
33,-Og,0,1,0,1,16464,0.015
34,-Ofast,1,1,0,1,17976,0.021
35,-O0,0,0,1,0,16464,0.02
36,-O2,1,0,1,1,16464,0.021
37,-O2,1,0,1,0,16464,0.023
38,-Ofast,1,1,0,0,17976,0.028
39,-O2,0,1,1,0,16464,0.021
4,-Og,1,0,0,0,16464,0.026
40,-O2,0,1,0,1,16464,0.02
41,-O0,0,1,1,0,16464,0.026
42,-O1,1,1,1,1,16464,0.025
43,-Og,1,1,1,0,16464,0.021
44,-O2,0,1,0,0,16464,0.021
45,-O0,0,0,1,1,16464,0.025
46,-O0,1,1,0,1,16464,0.022
47,-O0,0,1,0,1,16464,0.017
48,-O1,0,0,1,0,16464,0.024
49,-O1,1,1,1,0,16464,0.024
5,-O0,0,1,1,1,16464,0.021
50,-Ofast,0,1,0,0,17976,0.025
51,-O1,0,0,0,0,16464,0.025
52,-Og,0,1,1,0,16464,0.016
53,-Ofast,0,0,1,1,17976,0.026
54,-O2,1,1,0,0,16464,0.017
55,-Og,1,1,0,0,16464,0.016
56,-Og,0,0,0,1,16464,0.025
57,-O0,1,1,0,0,16464,0.02
58,-O1,1,1,0,0,16464,0.027
59,-Ofast,0,1,1,0,17976,0.021
6,-Og,1,0,1,0,16464,0.017
60,-Ofast,1,0,1,1,17976,0.018
61,-Ofast,0,1,0,1,17976,0.017
62,-O2,1,1,1,0,16464,0.017
63,-O2,1,1,0,1,16464,0.02
64,-O0,1,0,0,0,16464,0.023
65,-Ofast,0,0,0,0,17976,0.014
66,-O0,1,0,1,0,16464,0.023
67,-O2,1,0,0,0,16464,0.028
68,-O1,1,0,0,1,16464,0.021
69,-O0,0,0,0,1,16464,0.012
7,-O1,1,0,1,0,16464,0.02
70,-Ofast,1,0,0,1,17976,0.023
71,-O0,1,0,1,1,16464,0.023
72,-O0,1,1,1,0,16464,0.023
73,-O2,0,0,0,1,16464,0.021
74,-Ofast,1,1,1,1,17976,0.019
75,-Og,1,0,1,1,16464,0.02
76,-Ofast,0,0,1,0,17976,0.02
77,-Ofast,1,0,1,0,17976,0.026
78,-O1,0,0,0,1,16464,0.021
79,-O2,0,0,1,1,16464,0.026
8,-Og,0,1,0,0,16464,0.02
9,-O2,0,0,0,0,16464,0.019
