configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16472,0.026
1,-O2,0,1,1,1,16472,0.023
10,-Ofast,1,0,0,0,17976,0.027
11,-O1,0,1,1,1,16472,0.021
12,-O1,1,1,0,1,16472,0.021
13,-O1,1,0,1,1,16472,0.02
14,-Og,0,0,0,0,16472,0.017
15,-O1,1,0,0,0,16472,0.021
16,-O0,0,0,0,0,16472,0.015
17,-O1,0,1,0,1,16472,0.02
18,-O1,0,1,1,0,16472,0.024
19,-O1,0,0,1,1,16472,0.016
2,-Ofast,0,0,0,1,17976,0.018
20,-O0,1,1,1,1,16472,0.018
21,-Og,0,0,1,0,16472,0.024
22,-Ofast,1,1,1,0,17976,0.025
23,-O0,1,0,0,1,16472,0.011
24,-Ofast,0,1,1,1,17976,0.027
25,-O2,1,0,0,1,16472,0.017
26,-Og,0,1,1,1,16472,0.025
27,-O2,1,1,1,1,16472,0.025
28,-Og,0,0,1,1,16472,0.025
29,-O0,0,1,0,0,16472,0.023
3,-O1,0,1,0,0,16472,0.024
30,-Og,1,1,1,1,16472,0.024
31,-Og,1,1,0,1,16472,0.011
32,-O2,0,0,1,0,16472,0.018
33,-Og,0,1,0,1,16472,0.021
34,-Ofast,1,1,0,1,17976,0.019
35,-O0,0,0,1,0,16472,0.021
36,-O2,1,0,1,1,16472,0.019
37,-O2,1,0,1,0,16472,0.023
38,-Ofast,1,1,0,0,17976,0.019
39,-O2,0,1,1,0,16472,0.022
4,-Og,1,0,0,0,16472,0.022
40,-O2,0,1,0,1,16472,0.015
41,-O0,0,1,1,0,16472,0.019
42,-O1,1,1,1,1,16472,0.022
43,-Og,1,1,1,0,16472,0.018
44,-O2,0,1,0,0,16472,0.022
45,-O0,0,0,1,1,16472,0.02
46,-O0,1,1,0,1,16472,0.025
47,-O0,0,1,0,1,16472,0.011
48,-O1,0,0,1,0,16472,0.022
49,-O1,1,1,1,0,16472,0.024
5,-O0,0,1,1,1,16472,0.024
50,-Ofast,0,1,0,0,17976,0.024
51,-O1,0,0,0,0,16472,0.014
52,-Og,0,1,1,0,16472,0.025
53,-Ofast,0,0,1,1,17976,0.02
54,-O2,1,1,0,0,16472,0.028
55,-Og,1,1,0,0,16472,0.021
56,-Og,0,0,0,1,16472,0.022
57,-O0,1,1,0,0,16472,0.018
58,-O1,1,1,0,0,16472,0.021
59,-Ofast,0,1,1,0,17976,0.022
6,-Og,1,0,1,0,16472,0.024
60,-Ofast,1,0,1,1,17976,0.021
61,-Ofast,0,1,0,1,17976,0.023
62,-O2,1,1,1,0,16472,0.026
63,-O2,1,1,0,1,16472,0.015
64,-O0,1,0,0,0,16472,0.022
65,-Ofast,0,0,0,0,17976,0.028
66,-O0,1,0,1,0,16472,0.013
67,-O2,1,0,0,0,16472,0.024
68,-O1,1,0,0,1,16472,0.023
69,-O0,0,0,0,1,16472,0.024
7,-O1,1,0,1,0,16472,0.015
70,-Ofast,1,0,0,1,17976,0.019
71,-O0,1,0,1,1,16472,0.016
72,-O0,1,1,1,0,16472,0.022
73,-O2,0,0,0,1,16472,0.025
74,-Ofast,1,1,1,1,17976,0.024
75,-Og,1,0,1,1,16472,0.019
76,-Ofast,0,0,1,0,17976,0.025
77,-Ofast,1,0,1,0,17976,0.02
78,-O1,0,0,0,1,16472,0.02
79,-O2,0,0,1,1,16472,0.027
8,-Og,0,1,0,0,16472,0.018
9,-O2,0,0,0,0,16472,0.02
