configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16472,0.014
1,-O2,0,1,1,1,16472,0.02
10,-Ofast,1,0,0,0,17984,0.026
11,-O1,0,1,1,1,16472,0.024
12,-O1,1,1,0,1,16472,0.013
13,-O1,1,0,1,1,16472,0.026
14,-Og,0,0,0,0,16472,0.018
15,-O1,1,0,0,0,16472,0.022
16,-O0,0,0,0,0,16472,0.022
17,-O1,0,1,0,1,16472,0.025
18,-O1,0,1,1,0,16472,0.021
19,-O1,0,0,1,1,16472,0.025
2,-Ofast,0,0,0,1,17984,0.029
20,-O0,1,1,1,1,16472,0.019
21,-Og,0,0,1,0,16472,0.015
22,-Ofast,1,1,1,0,17984,0.027
23,-O0,1,0,0,1,16472,0.024
24,-Ofast,0,1,1,1,17984,0.021
25,-O2,1,0,0,1,16472,0.02
26,-Og,0,1,1,1,16472,0.021
27,-O2,1,1,1,1,16472,0.027
28,-Og,0,0,1,1,16472,0.024
29,-O0,0,1,0,0,16472,0.016
3,-O1,0,1,0,0,16472,0.025
30,-Og,1,1,1,1,16472,0.022
31,-Og,1,1,0,1,16472,0.021
32,-O2,0,0,1,0,16472,0.019
33,-Og,0,1,0,1,16472,0.015
34,-Ofast,1,1,0,1,17984,0.028
35,-O0,0,0,1,0,16472,0.025
36,-O2,1,0,1,1,16472,0.028
37,-O2,1,0,1,0,16472,0.023
38,-Ofast,1,1,0,0,17984,0.03
39,-O2,0,1,1,0,16472,0.019
4,-Og,1,0,0,0,16472,0.019
40,-O2,0,1,0,1,16472,0.028
41,-O0,0,1,1,0,16472,0.016
42,-O1,1,1,1,1,16472,0.017
43,-Og,1,1,1,0,16472,0.023
44,-O2,0,1,0,0,16472,0.024
45,-O0,0,0,1,1,16472,0.025
46,-O0,1,1,0,1,16472,0.017
47,-O0,0,1,0,1,16472,0.02
48,-O1,0,0,1,0,16472,0.018
49,-O1,1,1,1,0,16472,0.022
5,-O0,0,1,1,1,16472,0.017
50,-Ofast,0,1,0,0,17984,0.029
51,-O1,0,0,0,0,16472,0.018
52,-Og,0,1,1,0,16472,0.02
53,-Ofast,0,0,1,1,17984,0.018
54,-O2,1,1,0,0,16472,0.029
55,-Og,1,1,0,0,16472,0.024
56,-Og,0,0,0,1,16472,0.022
57,-O0,1,1,0,0,16472,0.026
58,-O1,1,1,0,0,16472,0.024
59,-Ofast,0,1,1,0,17984,0.019
6,-Og,1,0,1,0,16472,0.017
60,-Ofast,1,0,1,1,17984,0.025
61,-Ofast,0,1,0,1,17984,0.029
62,-O2,1,1,1,0,16472,0.025
63,-O2,1,1,0,1,16472,0.02
64,-O0,1,0,0,0,16472,0.02
65,-Ofast,0,0,0,0,17984,0.023
66,-O0,1,0,1,0,16472,0.025
67,-O2,1,0,0,0,16472,0.029
68,-O1,1,0,0,1,16472,0.016
69,-O0,0,0,0,1,16472,0.025
7,-O1,1,0,1,0,16472,0.015
70,-Ofast,1,0,0,1,17984,0.028
71,-O0,1,0,1,1,16472,0.022
72,-O0,1,1,1,0,16472,0.019
73,-O2,0,0,0,1,16472,0.029
74,-Ofast,1,1,1,1,17984,0.027
75,-Og,1,0,1,1,16472,0.015
76,-Ofast,0,0,1,0,17984,0.02
77,-Ofast,1,0,1,0,17984,0.027
78,-O1,0,0,0,1,16472,0.019
79,-O2,0,0,1,1,16472,0.027
8,-Og,0,1,0,0,16472,0.017
9,-O2,0,0,0,0,16472,0.024
