configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16416,0.016
1,-O2,0,1,1,1,16416,0.02
10,-Ofast,1,0,0,0,17928,0.012
11,-O1,0,1,1,1,16416,0.02
12,-O1,1,1,0,1,16416,0.014
13,-O1,1,0,1,1,16416,0.026
14,-Og,0,0,0,0,16416,0.026
15,-O1,1,0,0,0,16416,0.012
16,-O0,0,0,0,0,16416,0.019
17,-O1,0,1,0,1,16416,0.021
18,-O1,0,1,1,0,16416,0.024
19,-O1,0,0,1,1,16416,0.022
2,-Ofast,0,0,0,1,17928,0.02
20,-O0,1,1,1,1,16416,0.019
21,-Og,0,0,1,0,16416,0.015
22,-Ofast,1,1,1,0,17928,0.02
23,-O0,1,0,0,1,16416,0.023
24,-Ofast,0,1,1,1,17928,0.016
25,-O2,1,0,0,1,16416,0.027
26,-Og,0,1,1,1,16416,0.016
27,-O2,1,1,1,1,16416,0.022
28,-Og,0,0,1,1,16416,0.022
29,-O0,0,1,0,0,16416,0.018
3,-O1,0,1,0,0,16416,0.016
30,-Og,1,1,1,1,16416,0.025
31,-Og,1,1,0,1,16416,0.024
32,-O2,0,0,1,0,16416,0.021
33,-Og,0,1,0,1,16416,0.024
34,-Ofast,1,1,0,1,17928,0.019
35,-O0,0,0,1,0,16416,0.023
36,-O2,1,0,1,1,16416,0.012
37,-O2,1,0,1,0,16416,0.017
38,-Ofast,1,1,0,0,17928,0.018
39,-O2,0,1,1,0,16416,0.025
4,-Og,1,0,0,0,16416,0.018
40,-O2,0,1,0,1,16416,0.024
41,-O0,0,1,1,0,16416,0.019
42,-O1,1,1,1,1,16416,0.018
43,-Og,1,1,1,0,16416,0.018
44,-O2,0,1,0,0,16416,0.022
45,-O0,0,0,1,1,16416,0.021
46,-O0,1,1,0,1,16416,0.013
47,-O0,0,1,0,1,16416,0.026
48,-O1,0,0,1,0,16416,0.02
49,-O1,1,1,1,0,16416,0.019
5,-O0,0,1,1,1,16416,0.024
50,-Ofast,0,1,0,0,17928,0.016
51,-O1,0,0,0,0,16416,0.019
52,-Og,0,1,1,0,16416,0.025
53,-Ofast,0,0,1,1,17928,0.022
54,-O2,1,1,0,0,16416,0.019
55,-Og,1,1,0,0,16416,0.015
56,-Og,0,0,0,1,16416,0.023
57,-O0,1,1,0,0,16416,0.015
58,-O1,1,1,0,0,16416,0.024
59,-Ofast,0,1,1,0,17928,0.021
6,-Og,1,0,1,0,16416,0.017
60,-Ofast,1,0,1,1,17928,0.023
61,-Ofast,0,1,0,1,17928,0.022
62,-O2,1,1,1,0,16416,0.02
63,-O2,1,1,0,1,16416,0.013
64,-O0,1,0,0,0,16416,0.024
65,-Ofast,0,0,0,0,17928,0.02
66,-O0,1,0,1,0,16416,0.018
67,-O2,1,0,0,0,16416,0.024
68,-O1,1,0,0,1,16416,0.012
69,-O0,0,0,0,1,16416,0.018
7,-O1,1,0,1,0,16416,0.024
70,-Ofast,1,0,0,1,17928,0.018
71,-O0,1,0,1,1,16416,0.009
72,-O0,1,1,1,0,16416,0.022
73,-O2,0,0,0,1,16416,0.021
74,-Ofast,1,1,1,1,17928,0.025
75,-Og,1,0,1,1,16416,0.015
76,-Ofast,0,0,1,0,17928,0.021
77,-Ofast,1,0,1,0,17928,0.014
78,-O1,0,0,0,1,16416,0.026
79,-O2,0,0,1,1,16416,0.02
8,-Og,0,1,0,0,16416,0.026
9,-O2,0,0,0,0,16416,0.025
