configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16424,0.017
1,-O2,0,1,1,1,16424,0.025
10,-Ofast,1,0,0,0,17928,0.022
11,-O1,0,1,1,1,16424,0.012
12,-O1,1,1,0,1,16424,0.024
13,-O1,1,0,1,1,16424,0.028
14,-Og,0,0,0,0,16424,0.024
15,-O1,1,0,0,0,16424,0.02
16,-O0,0,0,0,0,16424,0.023
17,-O1,0,1,0,1,16424,0.019
18,-O1,0,1,1,0,16424,0.016
19,-O1,0,0,1,1,16424,0.012
2,-Ofast,0,0,0,1,17928,0.022
20,-O0,1,1,1,1,16424,0.023
21,-Og,0,0,1,0,16424,0.023
22,-Ofast,1,1,1,0,17928,0.017
23,-O0,1,0,0,1,16424,0.017
24,-Ofast,0,1,1,1,17928,0.026
25,-O2,1,0,0,1,16424,0.012
26,-Og,0,1,1,1,16424,0.016
27,-O2,1,1,1,1,16424,0.016
28,-Og,0,0,1,1,16424,0.022
29,-O0,0,1,0,0,16424,0.025
3,-O1,0,1,0,0,16424,0.022
30,-Og,1,1,1,1,16424,0.018
31,-Og,1,1,0,1,16424,0.024
32,-O2,0,0,1,0,16424,0.021
33,-Og,0,1,0,1,16424,0.018
34,-Ofast,1,1,0,1,17928,0.016
35,-O0,0,0,1,0,16424,0.022
36,-O2,1,0,1,1,16424,0.024
37,-O2,1,0,1,0,16424,0.023
38,-Ofast,1,1,0,0,17928,0.02
39,-O2,0,1,1,0,16424,0.02
4,-Og,1,0,0,0,16424,0.022
40,-O2,0,1,0,1,16424,0.015
41,-O0,0,1,1,0,16424,0.021
42,-O1,1,1,1,1,16424,0.018
43,-Og,1,1,1,0,16424,0.019
44,-O2,0,1,0,0,16424,0.018
45,-O0,0,0,1,1,16424,0.021
46,-O0,1,1,0,1,16424,0.025
47,-O0,0,1,0,1,16424,0.023
48,-O1,0,0,1,0,16424,0.026
49,-O1,1,1,1,0,16424,0.017
5,-O0,0,1,1,1,16424,0.02
50,-Ofast,0,1,0,0,17928,0.02
51,-O1,0,0,0,0,16424,0.015
52,-Og,0,1,1,0,16424,0.018
53,-Ofast,0,0,1,1,17928,0.027
54,-O2,1,1,0,0,16424,0.014
55,-Og,1,1,0,0,16424,0.02
56,-Og,0,0,0,1,16424,0.022
57,-O0,1,1,0,0,16424,0.017
58,-O1,1,1,0,0,16424,0.021
59,-Ofast,0,1,1,0,17928,0.021
6,-Og,1,0,1,0,16424,0.021
60,-Ofast,1,0,1,1,17928,0.02
61,-Ofast,0,1,0,1,17928,0.014
62,-O2,1,1,1,0,16424,0.02
63,-O2,1,1,0,1,16424,0.023
64,-O0,1,0,0,0,16424,0.021
65,-Ofast,0,0,0,0,17928,0.027
66,-O0,1,0,1,0,16424,0.012
67,-O2,1,0,0,0,16424,0.02
68,-O1,1,0,0,1,16424,0.026
69,-O0,0,0,0,1,16424,0.018
7,-O1,1,0,1,0,16424,0.014
70,-Ofast,1,0,0,1,17928,0.021
71,-O0,1,0,1,1,16424,0.019
72,-O0,1,1,1,0,16424,0.018
73,-O2,0,0,0,1,16424,0.016
74,-Ofast,1,1,1,1,17928,0.02
75,-Og,1,0,1,1,16424,0.022
76,-Ofast,0,0,1,0,17928,0.026
77,-Ofast,1,0,1,0,17928,0.017
78,-O1,0,0,0,1,16424,0.016
79,-O2,0,0,1,1,16424,0.023
8,-Og,0,1,0,0,16424,0.016
9,-O2,0,0,0,0,16424,0.016
