configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16424,0.026
1,-O2,0,1,1,1,16424,0.014
10,-Ofast,1,0,0,0,17928,0.012
11,-O1,0,1,1,1,16424,0.02
12,-O1,1,1,0,1,16424,0.019
13,-O1,1,0,1,1,16424,0.016
14,-Og,0,0,0,0,16424,0.013
15,-O1,1,0,0,0,16424,0.017
16,-O0,0,0,0,0,16424,0.016
17,-O1,0,1,0,1,16424,0.012
18,-O1,0,1,1,0,16424,0.016
19,-O1,0,0,1,1,16424,0.024
2,-Ofast,0,0,0,1,17928,0.009
20,-O0,1,1,1,1,16424,0.018
21,-Og,0,0,1,0,16424,0.011
22,-Ofast,1,1,1,0,17928,0.02
23,-O0,1,0,0,1,16424,0.016
24,-Ofast,0,1,1,1,17928,0.019
25,-O2,1,0,0,1,16424,0.026
26,-Og,0,1,1,1,16424,0.026
27,-O2,1,1,1,1,16424,0.013
28,-Og,0,0,1,1,16424,0.02
29,-O0,0,1,0,0,16424,0.02
3,-O1,0,1,0,0,16424,0.02
30,-Og,1,1,1,1,16424,0.017
31,-Og,1,1,0,1,16424,0.012
32,-O2,0,0,1,0,16424,0.016
33,-Og,0,1,0,1,16424,0.016
34,-Ofast,1,1,0,1,17928,0.022
35,-O0,0,0,1,0,16424,0.02
36,-O2,1,0,1,1,16424,0.02
37,-O2,1,0,1,0,16424,0.022
38,-Ofast,1,1,0,0,17928,0.021
39,-O2,0,1,1,0,16424,0.026
4,-Og,1,0,0,0,16424,0.013
40,-O2,0,1,0,1,16424,0.015
41,-O0,0,1,1,0,16424,0.02
42,-O1,1,1,1,1,16424,0.02
43,-Og,1,1,1,0,16424,0.017
44,-O2,0,1,0,0,16424,0.02
45,-O0,0,0,1,1,16424,0.023
46,-O0,1,1,0,1,16424,0.018
47,-O0,0,1,0,1,16424,0.023
48,-O1,0,0,1,0,16424,0.02
49,-O1,1,1,1,0,16424,0.024
5,-O0,0,1,1,1,16424,0.014
50,-Ofast,0,1,0,0,17928,0.013
51,-O1,0,0,0,0,16424,0.025
52,-Og,0,1,1,0,16424,0.02
53,-Ofast,0,0,1,1,17928,0.016
54,-O2,1,1,0,0,16424,0.016
55,-Og,1,1,0,0,16424,0.014
56,-Og,0,0,0,1,16424,0.016
57,-O0,1,1,0,0,16424,0.021
58,-O1,1,1,0,0,16424,0.024
59,-Ofast,0,1,1,0,17928,0.02
6,-Og,1,0,1,0,16424,0.024
60,-Ofast,1,0,1,1,17928,0.02
61,-Ofast,0,1,0,1,17928,0.02
62,-O2,1,1,1,0,16424,0.02
63,-O2,1,1,0,1,16424,0.025
64,-O0,1,0,0,0,16424,0.024
65,-Ofast,0,0,0,0,17928,0.023
66,-O0,1,0,1,0,16424,0.021
67,-O2,1,0,0,0,16424,0.025
68,-O1,1,0,0,1,16424,0.015
69,-O0,0,0,0,1,16424,0.013
7,-O1,1,0,1,0,16424,0.024
70,-Ofast,1,0,0,1,17928,0.016
71,-O0,1,0,1,1,16424,0.018
72,-O0,1,1,1,0,16424,0.021
73,-O2,0,0,0,1,16424,0.027
74,-Ofast,1,1,1,1,17928,0.014
75,-Og,1,0,1,1,16424,0.022
76,-Ofast,0,0,1,0,17928,0.024
77,-Ofast,1,0,1,0,17928,0.027
78,-O1,0,0,0,1,16424,0.018
79,-O2,0,0,1,1,16424,0.021
8,-Og,0,1,0,0,16424,0.015
9,-O2,0,0,0,0,16424,0.02
