configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16520,0.026
1,-O2,0,1,1,1,16520,0.04
10,-Ofast,1,0,0,0,18024,0.031
11,-O1,0,1,1,1,16520,0.03
12,-O1,1,1,0,1,16520,0.027
13,-O1,1,0,1,1,16520,0.025
14,-Og,0,0,0,0,16520,0.028
15,-O1,1,0,0,0,16520,0.016
16,-O0,0,0,0,0,16520,0.027
17,-O1,0,1,0,1,16520,0.028
18,-O1,0,1,1,0,16520,0.021
19,-O1,0,0,1,1,16520,0.03
2,-Ofast,0,0,0,1,18024,0.033
20,-O0,1,1,1,1,16520,0.021
21,-Og,0,0,1,0,16520,0.022
22,-Ofast,1,1,1,0,18024,0.027
23,-O0,1,0,0,1,16520,0.027
24,-Ofast,0,1,1,1,18024,0.04
25,-O2,1,0,0,1,16520,0.028
26,-Og,0,1,1,1,16520,0.028
27,-O2,1,1,1,1,16520,0.038
28,-Og,0,0,1,1,16520,0.03
29,-O0,0,1,0,0,16520,0.025
3,-O1,0,1,0,0,16520,0.027
30,-Og,1,1,1,1,16520,0.017
31,-Og,1,1,0,1,16520,0.026
32,-O2,0,0,1,0,16520,0.029
33,-Og,0,1,0,1,16520,0.025
34,-Ofast,1,1,0,1,18024,0.023
35,-O0,0,0,1,0,16520,0.012
36,-O2,1,0,1,1,16520,0.031
37,-O2,1,0,1,0,16520,0.038
38,-Ofast,1,1,0,0,18024,0.039
39,-O2,0,1,1,0,16520,0.038
4,-Og,1,0,0,0,16520,0.015
40,-O2,0,1,0,1,16520,0.039
41,-O0,0,1,1,0,16520,0.017
42,-O1,1,1,1,1,16520,0.033
43,-Og,1,1,1,0,16520,0.021
44,-O2,0,1,0,0,16520,0.025
45,-O0,0,0,1,1,16520,0.022
46,-O0,1,1,0,1,16520,0.017
47,-O0,0,1,0,1,16520,0.025
48,-O1,0,0,1,0,16520,0.024
49,-O1,1,1,1,0,16520,0.017
5,-O0,0,1,1,1,16520,0.026
50,-Ofast,0,1,0,0,18024,0.023
51,-O1,0,0,0,0,16520,0.031
52,-Og,0,1,1,0,16520,0.023
53,-Ofast,0,0,1,1,18024,0.042
54,-O2,1,1,0,0,16520,0.033
55,-Og,1,1,0,0,16520,0.028
56,-Og,0,0,0,1,16520,0.023
57,-O0,1,1,0,0,16520,0.023
58,-O1,1,1,0,0,16520,0.027
59,-Ofast,0,1,1,0,18024,0.036
6,-Og,1,0,1,0,16520,0.03
60,-Ofast,1,0,1,1,18024,0.035
61,-Ofast,0,1,0,1,18024,0.037
62,-O2,1,1,1,0,16520,0.033
63,-O2,1,1,0,1,16520,0.036
64,-O0,1,0,0,0,16520,0.027
65,-Ofast,0,0,0,0,18024,0.035
66,-O0,1,0,1,0,16520,0.022
67,-O2,1,0,0,0,16520,0.036
68,-O1,1,0,0,1,16520,0.03
69,-O0,0,0,0,1,16520,0.025
7,-O1,1,0,1,0,16520,0.031
70,-Ofast,1,0,0,1,18024,0.027
71,-O0,1,0,1,1,16520,0.024
72,-O0,1,1,1,0,16520,0.022
73,-O2,0,0,0,1,16520,0.023
74,-Ofast,1,1,1,1,18024,0.033
75,-Og,1,0,1,1,16520,0.023
76,-Ofast,0,0,1,0,18024,0.038
77,-Ofast,1,0,1,0,18024,0.037
78,-O1,0,0,0,1,16520,0.024
79,-O2,0,0,1,1,16520,0.026
8,-Og,0,1,0,0,16520,0.028
9,-O2,0,0,0,0,16520,0.029
