configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16528,0.018
1,-O2,0,1,1,1,16528,0.028
10,-Ofast,1,0,0,0,18032,0.017
11,-O1,0,1,1,1,16528,0.021
12,-O1,1,1,0,1,16528,0.019
13,-O1,1,0,1,1,16528,0.02
14,-Og,0,0,0,0,16528,0.02
15,-O1,1,0,0,0,16528,0.018
16,-O0,0,0,0,0,16528,0.022
17,-O1,0,1,0,1,16528,0.027
18,-O1,0,1,1,0,16528,0.012
19,-O1,0,0,1,1,16528,0.025
2,-Ofast,0,0,0,1,18032,0.024
20,-O0,1,1,1,1,16528,0.017
21,-Og,0,0,1,0,16528,0.015
22,-Ofast,1,1,1,0,18032,0.018
23,-O0,1,0,0,1,16528,0.024
24,-Ofast,0,1,1,1,18032,0.019
25,-O2,1,0,0,1,16528,0.019
26,-Og,0,1,1,1,16528,0.022
27,-O2,1,1,1,1,16528,0.017
28,-Og,0,0,1,1,16528,0.024
29,-O0,0,1,0,0,16528,0.011
3,-O1,0,1,0,0,16528,0.027
30,-Og,1,1,1,1,16528,0.026
31,-Og,1,1,0,1,16528,0.025
32,-O2,0,0,1,0,16528,0.025
33,-Og,0,1,0,1,16528,0.02
34,-Ofast,1,1,0,1,18032,0.026
35,-O0,0,0,1,0,16528,0.019
36,-O2,1,0,1,1,16528,0.021
37,-O2,1,0,1,0,16528,0.026
38,-Ofast,1,1,0,0,18032,0.024
39,-O2,0,1,1,0,16528,0.02
4,-Og,1,0,0,0,16528,0.022
40,-O2,0,1,0,1,16528,0.02
41,-O0,0,1,1,0,16528,0.025
42,-O1,1,1,1,1,16528,0.024
43,-Og,1,1,1,0,16528,0.02
44,-O2,0,1,0,0,16528,0.023
45,-O0,0,0,1,1,16528,0.013
46,-O0,1,1,0,1,16528,0.017
47,-O0,0,1,0,1,16528,0.02
48,-O1,0,0,1,0,16528,0.025
49,-O1,1,1,1,0,16528,0.013
5,-O0,0,1,1,1,16528,0.015
50,-Ofast,0,1,0,0,18032,0.02
51,-O1,0,0,0,0,16528,0.027
52,-Og,0,1,1,0,16528,0.011
53,-Ofast,0,0,1,1,18032,0.021
54,-O2,1,1,0,0,16528,0.023
55,-Og,1,1,0,0,16528,0.021
56,-Og,0,0,0,1,16528,0.019
57,-O0,1,1,0,0,16528,0.016
58,-O1,1,1,0,0,16528,0.019
59,-Ofast,0,1,1,0,18032,0.022
6,-Og,1,0,1,0,16528,0.016
60,-Ofast,1,0,1,1,18032,0.02
61,-Ofast,0,1,0,1,18032,0.024
62,-O2,1,1,1,0,16528,0.022
63,-O2,1,1,0,1,16528,0.026
64,-O0,1,0,0,0,16528,0.015
65,-Ofast,0,0,0,0,18032,0.02
66,-O0,1,0,1,0,16528,0.017
67,-O2,1,0,0,0,16528,0.024
68,-O1,1,0,0,1,16528,0.027
69,-O0,0,0,0,1,16528,0.023
7,-O1,1,0,1,0,16528,0.018
70,-Ofast,1,0,0,1,18032,0.021
71,-O0,1,0,1,1,16528,0.021
72,-O0,1,1,1,0,16528,0.017
73,-O2,0,0,0,1,16528,0.024
74,-Ofast,1,1,1,1,18032,0.022
75,-Og,1,0,1,1,16528,0.025
76,-Ofast,0,0,1,0,18032,0.025
77,-Ofast,1,0,1,0,18032,0.027
78,-O1,0,0,0,1,16528,0.018
79,-O2,0,0,1,1,16528,0.017
8,-Og,0,1,0,0,16528,0.017
9,-O2,0,0,0,0,16528,0.02
