configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16520,0.024
1,-O2,0,1,1,1,16520,0.025
10,-Ofast,1,0,0,0,18024,0.029
11,-O1,0,1,1,1,16520,0.03
12,-O1,1,1,0,1,16520,0.027
13,-O1,1,0,1,1,16520,0.021
14,-Og,0,0,0,0,16520,0.024
15,-O1,1,0,0,0,16520,0.021
16,-O0,0,0,0,0,16520,0.017
17,-O1,0,1,0,1,16520,0.028
18,-O1,0,1,1,0,16520,0.017
19,-O1,0,0,1,1,16520,0.022
2,-Ofast,0,0,0,1,18024,0.02
20,-O0,1,1,1,1,16520,0.019
21,-Og,0,0,1,0,16520,0.026
22,-Ofast,1,1,1,0,18024,0.022
23,-O0,1,0,0,1,16520,0.02
24,-Ofast,0,1,1,1,18024,0.026
25,-O2,1,0,0,1,16520,0.03
26,-Og,0,1,1,1,16520,0.019
27,-O2,1,1,1,1,16520,0.022
28,-Og,0,0,1,1,16520,0.021
29,-O0,0,1,0,0,16520,0.019
3,-O1,0,1,0,0,16520,0.015
30,-Og,1,1,1,1,16520,0.021
31,-Og,1,1,0,1,16520,0.022
32,-O2,0,0,1,0,16520,0.02
33,-Og,0,1,0,1,16520,0.024
34,-Ofast,1,1,0,1,18024,0.027
35,-O0,0,0,1,0,16520,0.022
36,-O2,1,0,1,1,16520,0.028
37,-O2,1,0,1,0,16520,0.021
38,-Ofast,1,1,0,0,18024,0.03
39,-O2,0,1,1,0,16520,0.031
4,-Og,1,0,0,0,16520,0.021
40,-O2,0,1,0,1,16520,0.032
41,-O0,0,1,1,0,16520,0.025
42,-O1,1,1,1,1,16520,0.029
43,-Og,1,1,1,0,16520,0.024
44,-O2,0,1,0,0,16520,0.03
45,-O0,0,0,1,1,16520,0.016
46,-O0,1,1,0,1,16520,0.022
47,-O0,0,1,0,1,16520,0.024
48,-O1,0,0,1,0,16520,0.023
49,-O1,1,1,1,0,16520,0.022
5,-O0,0,1,1,1,16520,0.016
50,-Ofast,0,1,0,0,18024,0.028
51,-O1,0,0,0,0,16520,0.03
52,-Og,0,1,1,0,16520,0.025
53,-Ofast,0,0,1,1,18024,0.032
54,-O2,1,1,0,0,16520,0.03
55,-Og,1,1,0,0,16520,0.023
56,-Og,0,0,0,1,16520,0.02
57,-O0,1,1,0,0,16520,0.021
58,-O1,1,1,0,0,16520,0.019
59,-Ofast,0,1,1,0,18024,0.022
6,-Og,1,0,1,0,16520,0.021
60,-Ofast,1,0,1,1,18024,0.025
61,-Ofast,0,1,0,1,18024,0.029
62,-O2,1,1,1,0,16520,0.022
63,-O2,1,1,0,1,16520,0.023
64,-O0,1,0,0,0,16520,0.02
65,-Ofast,0,0,0,0,18024,0.031
66,-O0,1,0,1,0,16520,0.024
67,-O2,1,0,0,0,16520,0.02
68,-O1,1,0,0,1,16520,0.022
69,-O0,0,0,0,1,16520,0.024
7,-O1,1,0,1,0,16520,0.02
70,-Ofast,1,0,0,1,18024,0.032
71,-O0,1,0,1,1,16520,0.016
72,-O0,1,1,1,0,16520,0.02
73,-O2,0,0,0,1,16520,0.016
74,-Ofast,1,1,1,1,18024,0.019
75,-Og,1,0,1,1,16520,0.022
76,-Ofast,0,0,1,0,18024,0.025
77,-Ofast,1,0,1,0,18024,0.017
78,-O1,0,0,0,1,16520,0.03
79,-O2,0,0,1,1,16520,0.028
8,-Og,0,1,0,0,16520,0.027
9,-O2,0,0,0,0,16520,0.024
