configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16528,0.022
1,-O2,0,1,1,1,16528,0.02
10,-Ofast,1,0,0,0,18040,0.031
11,-O1,0,1,1,1,16528,0.011
12,-O1,1,1,0,1,16528,0.02
13,-O1,1,0,1,1,16528,0.024
14,-Og,0,0,0,0,16528,0.028
15,-O1,1,0,0,0,16528,0.015
16,-O0,0,0,0,0,16528,0.024
17,-O1,0,1,0,1,16528,0.022
18,-O1,0,1,1,0,16528,0.022
19,-O1,0,0,1,1,16528,0.025
2,-Ofast,0,0,0,1,18040,0.025
20,-O0,1,1,1,1,16528,0.026
21,-Og,0,0,1,0,16528,0.024
22,-Ofast,1,1,1,0,18040,0.025
23,-O0,1,0,0,1,16528,0.012
24,-Ofast,0,1,1,1,18040,0.029
25,-O2,1,0,0,1,16528,0.018
26,-Og,0,1,1,1,16528,0.019
27,-O2,1,1,1,1,16528,0.024
28,-Og,0,0,1,1,16528,0.015
29,-O0,0,1,0,0,16528,0.024
3,-O1,0,1,0,0,16528,0.022
30,-Og,1,1,1,1,16528,0.024
31,-Og,1,1,0,1,16528,0.024
32,-O2,0,0,1,0,16528,0.03
33,-Og,0,1,0,1,16528,0.023
34,-Ofast,1,1,0,1,18040,0.023
35,-O0,0,0,1,0,16528,0.017
36,-O2,1,0,1,1,16528,0.022
37,-O2,1,0,1,0,16528,0.025
38,-Ofast,1,1,0,0,18040,0.026
39,-O2,0,1,1,0,16528,0.023
4,-Og,1,0,0,0,16528,0.025
40,-O2,0,1,0,1,16528,0.029
41,-O0,0,1,1,0,16528,0.02
42,-O1,1,1,1,1,16528,0.014
43,-Og,1,1,1,0,16528,0.026
44,-O2,0,1,0,0,16528,0.02
45,-O0,0,0,1,1,16528,0.022
46,-O0,1,1,0,1,16528,0.018
47,-O0,0,1,0,1,16528,0.016
48,-O1,0,0,1,0,16528,0.024
49,-O1,1,1,1,0,16528,0.029
5,-O0,0,1,1,1,16528,0.02
50,-Ofast,0,1,0,0,18040,0.024
51,-O1,0,0,0,0,16528,0.021
52,-Og,0,1,1,0,16528,0.021
53,-Ofast,0,0,1,1,18040,0.026
54,-O2,1,1,0,0,16528,0.023
55,-Og,1,1,0,0,16528,0.021
56,-Og,0,0,0,1,16528,0.026
57,-O0,1,1,0,0,16528,0.015
58,-O1,1,1,0,0,16528,0.019
59,-Ofast,0,1,1,0,18040,0.029
6,-Og,1,0,1,0,16528,0.024
60,-Ofast,1,0,1,1,18040,0.025
61,-Ofast,0,1,0,1,18040,0.024
62,-O2,1,1,1,0,16528,0.021
63,-O2,1,1,0,1,16528,0.026
64,-O0,1,0,0,0,16528,0.025
65,-Ofast,0,0,0,0,18040,0.021
66,-O0,1,0,1,0,16528,0.024
67,-O2,1,0,0,0,16528,0.024
68,-O1,1,0,0,1,16528,0.02
69,-O0,0,0,0,1,16528,0.013
7,-O1,1,0,1,0,16528,0.025
70,-Ofast,1,0,0,1,18040,0.028
71,-O0,1,0,1,1,16528,0.019
72,-O0,1,1,1,0,16528,0.023
73,-O2,0,0,0,1,16528,0.019
74,-Ofast,1,1,1,1,18040,0.025
75,-Og,1,0,1,1,16528,0.023
76,-Ofast,0,0,1,0,18040,0.017
77,-Ofast,1,0,1,0,18040,0.022
78,-O1,0,0,0,1,16528,0.027
79,-O2,0,0,1,1,16528,0.022
8,-Og,0,1,0,0,16528,0.022
9,-O2,0,0,0,0,16528,0.018
