configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16480,0.015
1,-O2,0,1,1,1,16480,0.035
10,-Ofast,1,0,0,0,17992,0.033
11,-O1,0,1,1,1,16480,0.022
12,-O1,1,1,0,1,16480,0.031
13,-O1,1,0,1,1,16480,0.033
14,-Og,0,0,0,0,16480,0.031
15,-O1,1,0,0,0,16480,0.037
16,-O0,0,0,0,0,16480,0.017
17,-O1,0,1,0,1,16480,0.024
18,-O1,0,1,1,0,16480,0.025
19,-O1,0,0,1,1,16480,0.028
2,-Ofast,0,0,0,1,17992,0.03
20,-O0,1,1,1,1,16480,0.025
21,-Og,0,0,1,0,16480,0.025
22,-Ofast,1,1,1,0,17992,0.029
23,-O0,1,0,0,1,16480,0.025
24,-Ofast,0,1,1,1,17992,0.031
25,-O2,1,0,0,1,16480,0.025
26,-Og,0,1,1,1,16480,0.028
27,-O2,1,1,1,1,16480,0.033
28,-Og,0,0,1,1,16480,0.021
29,-O0,0,1,0,0,16480,0.024
3,-O1,0,1,0,0,16480,0.029
30,-Og,1,1,1,1,16480,0.019
31,-Og,1,1,0,1,16480,0.014
32,-O2,0,0,1,0,16480,0.026
33,-Og,0,1,0,1,16480,0.027
34,-Ofast,1,1,0,1,17992,0.033
35,-O0,0,0,1,0,16480,0.028
36,-O2,1,0,1,1,16480,0.035
37,-O2,1,0,1,0,16480,0.037
38,-Ofast,1,1,0,0,17992,0.025
39,-O2,0,1,1,0,16480,0.033
4,-Og,1,0,0,0,16480,0.029
40,-O2,0,1,0,1,16480,0.035
41,-O0,0,1,1,0,16480,0.016
42,-O1,1,1,1,1,16480,0.03
43,-Og,1,1,1,0,16480,0.026
44,-O2,0,1,0,0,16480,0.038
45,-O0,0,0,1,1,16480,0.026
46,-O0,1,1,0,1,16480,0.023
47,-O0,0,1,0,1,16480,0.023
48,-O1,0,0,1,0,16480,0.014
49,-O1,1,1,1,0,16480,0.022
5,-O0,0,1,1,1,16480,0.025
50,-Ofast,0,1,0,0,17992,0.029
51,-O1,0,0,0,0,16480,0.024
52,-Og,0,1,1,0,16480,0.03
53,-Ofast,0,0,1,1,17992,0.012
54,-O2,1,1,0,0,16480,0.038
55,-Og,1,1,0,0,16480,0.028
56,-Og,0,0,0,1,16480,0.029
57,-O0,1,1,0,0,16480,0.024
58,-O1,1,1,0,0,16480,0.031
59,-Ofast,0,1,1,0,17992,0.02
6,-Og,1,0,1,0,16480,0.019
60,-Ofast,1,0,1,1,17992,0.029
61,-Ofast,0,1,0,1,17992,0.038
62,-O2,1,1,1,0,16480,0.029
63,-O2,1,1,0,1,16480,0.035
64,-O0,1,0,0,0,16480,0.02
65,-Ofast,0,0,0,0,17992,0.028
66,-O0,1,0,1,0,16480,0.022
67,-O2,1,0,0,0,16480,0.037
68,-O1,1,0,0,1,16480,0.023
69,-O0,0,0,0,1,16480,0.016
7,-O1,1,0,1,0,16480,0.031
70,-Ofast,1,0,0,1,17992,0.026
71,-O0,1,0,1,1,16480,0.029
72,-O0,1,1,1,0,16480,0.029
73,-O2,0,0,0,1,16480,0.028
74,-Ofast,1,1,1,1,17992,0.032
75,-Og,1,0,1,1,16480,0.021
76,-Ofast,0,0,1,0,17992,0.025
77,-Ofast,1,0,1,0,17992,0.029
78,-O1,0,0,0,1,16480,0.036
79,-O2,0,0,1,1,16480,0.031
8,-Og,0,1,0,0,16480,0.027
9,-O2,0,0,0,0,16480,0.034
