configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16520,0.024
1,-O2,0,1,1,1,16520,0.026
10,-Ofast,1,0,0,0,18024,0.023
11,-O1,0,1,1,1,16520,0.025
12,-O1,1,1,0,1,16520,0.028
13,-O1,1,0,1,1,16520,0.022
14,-Og,0,0,0,0,16520,0.023
15,-O1,1,0,0,0,16520,0.023
16,-O0,0,0,0,0,16520,0.022
17,-O1,0,1,0,1,16520,0.028
18,-O1,0,1,1,0,16520,0.021
19,-O1,0,0,1,1,16520,0.025
2,-Ofast,0,0,0,1,18024,0.029
20,-O0,1,1,1,1,16520,0.019
21,-Og,0,0,1,0,16520,0.025
22,-Ofast,1,1,1,0,18024,0.021
23,-O0,1,0,0,1,16520,0.023
24,-Ofast,0,1,1,1,18024,0.023
25,-O2,1,0,0,1,16520,0.032
26,-Og,0,1,1,1,16520,0.027
27,-O2,1,1,1,1,16520,0.012
28,-Og,0,0,1,1,16520,0.022
29,-O0,0,1,0,0,16520,0.024
3,-O1,0,1,0,0,16520,0.024
30,-Og,1,1,1,1,16520,0.024
31,-Og,1,1,0,1,16520,0.021
32,-O2,0,0,1,0,16520,0.025
33,-Og,0,1,0,1,16520,0.024
34,-Ofast,1,1,0,1,18024,0.028
35,-O0,0,0,1,0,16520,0.019
36,-O2,1,0,1,1,16520,0.029
37,-O2,1,0,1,0,16520,0.021
38,-Ofast,1,1,0,0,18024,0.024
39,-O2,0,1,1,0,16520,0.028
4,-Og,1,0,0,0,16520,0.018
40,-O2,0,1,0,1,16520,0.023
41,-O0,0,1,1,0,16520,0.016
42,-O1,1,1,1,1,16520,0.028
43,-Og,1,1,1,0,16520,0.018
44,-O2,0,1,0,0,16520,0.025
45,-O0,0,0,1,1,16520,0.019
46,-O0,1,1,0,1,16520,0.02
47,-O0,0,1,0,1,16520,0.021
48,-O1,0,0,1,0,16520,0.018
49,-O1,1,1,1,0,16520,0.026
5,-O0,0,1,1,1,16520,0.02
50,-Ofast,0,1,0,0,18024,0.029
51,-O1,0,0,0,0,16520,0.025
52,-Og,0,1,1,0,16520,0.017
53,-Ofast,0,0,1,1,18024,0.028
54,-O2,1,1,0,0,16520,0.018
55,-Og,1,1,0,0,16520,0.025
56,-Og,0,0,0,1,16520,0.028
57,-O0,1,1,0,0,16520,0.014
58,-O1,1,1,0,0,16520,0.019
59,-Ofast,0,1,1,0,18024,0.022
6,-Og,1,0,1,0,16520,0.023
60,-Ofast,1,0,1,1,18024,0.02
61,-Ofast,0,1,0,1,18024,0.026
62,-O2,1,1,1,0,16520,0.015
63,-O2,1,1,0,1,16520,0.022
64,-O0,1,0,0,0,16520,0.026
65,-Ofast,0,0,0,0,18024,0.023
66,-O0,1,0,1,0,16520,0.012
67,-O2,1,0,0,0,16520,0.03
68,-O1,1,0,0,1,16520,0.025
69,-O0,0,0,0,1,16520,0.02
7,-O1,1,0,1,0,16520,0.022
70,-Ofast,1,0,0,1,18024,0.024
71,-O0,1,0,1,1,16520,0.025
72,-O0,1,1,1,0,16520,0.017
73,-O2,0,0,0,1,16520,0.012
74,-Ofast,1,1,1,1,18024,0.028
75,-Og,1,0,1,1,16520,0.026
76,-Ofast,0,0,1,0,18024,0.025
77,-Ofast,1,0,1,0,18024,0.024
78,-O1,0,0,0,1,16520,0.023
79,-O2,0,0,1,1,16520,0.028
8,-Og,0,1,0,0,16520,0.016
9,-O2,0,0,0,0,16520,0.03
