configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16568,0.026
1,-O2,0,1,1,1,16568,0.036
10,-Ofast,1,0,0,0,18072,0.038
11,-O1,0,1,1,1,16568,0.02
12,-O1,1,1,0,1,16568,0.028
13,-O1,1,0,1,1,16568,0.026
14,-Og,0,0,0,0,16568,0.03
15,-O1,1,0,0,0,16568,0.026
16,-O0,0,0,0,0,16568,0.022
17,-O1,0,1,0,1,16568,0.032
18,-O1,0,1,1,0,16568,0.026
19,-O1,0,0,1,1,16568,0.03
2,-Ofast,0,0,0,1,18072,0.039
20,-O0,1,1,1,1,16568,0.018
21,-Og,0,0,1,0,16568,0.029
22,-Ofast,1,1,1,0,18072,0.035
23,-O0,1,0,0,1,16568,0.024
24,-Ofast,0,1,1,1,18072,0.041
25,-O2,1,0,0,1,16568,0.031
26,-Og,0,1,1,1,16568,0.023
27,-O2,1,1,1,1,16568,0.03
28,-Og,0,0,1,1,16568,0.026
29,-O0,0,1,0,0,16568,0.015
3,-O1,0,1,0,0,16568,0.026
30,-Og,1,1,1,1,16568,0.029
31,-Og,1,1,0,1,16568,0.015
32,-O2,0,0,1,0,16568,0.036
33,-Og,0,1,0,1,16568,0.021
34,-Ofast,1,1,0,1,18072,0.04
35,-O0,0,0,1,0,16568,0.018
36,-O2,1,0,1,1,16568,0.033
37,-O2,1,0,1,0,16568,0.036
38,-Ofast,1,1,0,0,18072,0.042
39,-O2,0,1,1,0,16568,0.024
4,-Og,1,0,0,0,16568,0.027
40,-O2,0,1,0,1,16568,0.026
41,-O0,0,1,1,0,16568,0.02
42,-O1,1,1,1,1,16568,0.026
43,-Og,1,1,1,0,16568,0.026
44,-O2,0,1,0,0,16568,0.033
45,-O0,0,0,1,1,16568,0.022
46,-O0,1,1,0,1,16568,0.025
47,-O0,0,1,0,1,16568,0.016
48,-O1,0,0,1,0,16568,0.034
49,-O1,1,1,1,0,16568,0.028
5,-O0,0,1,1,1,16568,0.029
50,-Ofast,0,1,0,0,18072,0.033
51,-O1,0,0,0,0,16568,0.028
52,-Og,0,1,1,0,16568,0.028
53,-Ofast,0,0,1,1,18072,0.034
54,-O2,1,1,0,0,16568,0.024
55,-Og,1,1,0,0,16568,0.02
56,-Og,0,0,0,1,16568,0.024
57,-O0,1,1,0,0,16568,0.021
58,-O1,1,1,0,0,16568,0.026
59,-Ofast,0,1,1,0,18072,0.044
6,-Og,1,0,1,0,16568,0.025
60,-Ofast,1,0,1,1,18072,0.033
61,-Ofast,0,1,0,1,18072,0.035
62,-O2,1,1,1,0,16568,0.027
63,-O2,1,1,0,1,16568,0.032
64,-O0,1,0,0,0,16568,0.022
65,-Ofast,0,0,0,0,18072,0.036
66,-O0,1,0,1,0,16568,0.023
67,-O2,1,0,0,0,16568,0.028
68,-O1,1,0,0,1,16568,0.033
69,-O0,0,0,0,1,16568,0.024
7,-O1,1,0,1,0,16568,0.03
70,-Ofast,1,0,0,1,18072,0.033
71,-O0,1,0,1,1,16568,0.014
72,-O0,1,1,1,0,16568,0.013
73,-O2,0,0,0,1,16568,0.028
74,-Ofast,1,1,1,1,18072,0.043
75,-Og,1,0,1,1,16568,0.022
76,-Ofast,0,0,1,0,18072,0.037
77,-Ofast,1,0,1,0,18072,0.042
78,-O1,0,0,0,1,16568,0.018
79,-O2,0,0,1,1,16568,0.029
8,-Og,0,1,0,0,16568,0.028
9,-O2,0,0,0,0,16568,0.024
