configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16512,0.023
1,-O2,0,1,1,1,16512,0.031
10,-Ofast,1,0,0,0,18024,0.036
11,-O1,0,1,1,1,16512,0.03
12,-O1,1,1,0,1,16512,0.029
13,-O1,1,0,1,1,16512,0.034
14,-Og,0,0,0,0,16512,0.014
15,-O1,1,0,0,0,16512,0.03
16,-O0,0,0,0,0,16512,0.03
17,-O1,0,1,0,1,16512,0.031
18,-O1,0,1,1,0,16512,0.033
19,-O1,0,0,1,1,16512,0.023
2,-Ofast,0,0,0,1,18024,0.046
20,-O0,1,1,1,1,16512,0.028
21,-Og,0,0,1,0,16512,0.025
22,-Ofast,1,1,1,0,18024,0.033
23,-O0,1,0,0,1,16512,0.013
24,-Ofast,0,1,1,1,18024,0.043
25,-O2,1,0,0,1,16512,0.043
26,-Og,0,1,1,1,16512,0.027
27,-O2,1,1,1,1,16512,0.033
28,-Og,0,0,1,1,16512,0.019
29,-O0,0,1,0,0,16512,0.024
3,-O1,0,1,0,0,16512,0.033
30,-Og,1,1,1,1,16512,0.019
31,-Og,1,1,0,1,16512,0.025
32,-O2,0,0,1,0,16512,0.04
33,-Og,0,1,0,1,16512,0.026
34,-Ofast,1,1,0,1,18024,0.039
35,-O0,0,0,1,0,16512,0.026
36,-O2,1,0,1,1,16512,0.033
37,-O2,1,0,1,0,16512,0.039
38,-Ofast,1,1,0,0,18024,0.042
39,-O2,0,1,1,0,16512,0.04
4,-Og,1,0,0,0,16512,0.028
40,-O2,0,1,0,1,16512,0.029
41,-O0,0,1,1,0,16512,0.018
42,-O1,1,1,1,1,16512,0.032
43,-Og,1,1,1,0,16512,0.031
44,-O2,0,1,0,0,16512,0.031
45,-O0,0,0,1,1,16512,0.017
46,-O0,1,1,0,1,16512,0.021
47,-O0,0,1,0,1,16512,0.017
48,-O1,0,0,1,0,16512,0.024
49,-O1,1,1,1,0,16512,0.032
5,-O0,0,1,1,1,16512,0.025
50,-Ofast,0,1,0,0,18024,0.042
51,-O1,0,0,0,0,16512,0.031
52,-Og,0,1,1,0,16512,0.022
53,-Ofast,0,0,1,1,18024,0.049
54,-O2,1,1,0,0,16512,0.028
55,-Og,1,1,0,0,16512,0.024
56,-Og,0,0,0,1,16512,0.026
57,-O0,1,1,0,0,16512,0.024
58,-O1,1,1,0,0,16512,0.029
59,-Ofast,0,1,1,0,18024,0.038
6,-Og,1,0,1,0,16512,0.025
60,-Ofast,1,0,1,1,18024,0.032
61,-Ofast,0,1,0,1,18024,0.026
62,-O2,1,1,1,0,16512,0.038
63,-O2,1,1,0,1,16512,0.027
64,-O0,1,0,0,0,16512,0.031
65,-Ofast,0,0,0,0,18024,0.035
66,-O0,1,0,1,0,16512,0.015
67,-O2,1,0,0,0,16512,0.034
68,-O1,1,0,0,1,16512,0.031
69,-O0,0,0,0,1,16512,0.026
7,-O1,1,0,1,0,16512,0.028
70,-Ofast,1,0,0,1,18024,0.04
71,-O0,1,0,1,1,16512,0.014
72,-O0,1,1,1,0,16512,0.022
73,-O2,0,0,0,1,16512,0.036
74,-Ofast,1,1,1,1,18024,0.043
75,-Og,1,0,1,1,16512,0.028
76,-Ofast,0,0,1,0,18024,0.041
77,-Ofast,1,0,1,0,18024,0.034
78,-O1,0,0,0,1,16512,0.031
79,-O2,0,0,1,1,16512,0.036
8,-Og,0,1,0,0,16512,0.025
9,-O2,0,0,0,0,16512,0.034
