configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16520,0.019
1,-O2,0,1,1,1,16520,0.035
10,-Ofast,1,0,0,0,18032,0.023
11,-O1,0,1,1,1,16520,0.032
12,-O1,1,1,0,1,16520,0.031
13,-O1,1,0,1,1,16520,0.024
14,-Og,0,0,0,0,16520,0.025
15,-O1,1,0,0,0,16520,0.027
16,-O0,0,0,0,0,16520,0.017
17,-O1,0,1,0,1,16520,0.027
18,-O1,0,1,1,0,16520,0.033
19,-O1,0,0,1,1,16520,0.031
2,-Ofast,0,0,0,1,18032,0.023
20,-O0,1,1,1,1,16520,0.017
21,-Og,0,0,1,0,16520,0.029
22,-Ofast,1,1,1,0,18032,0.029
23,-O0,1,0,0,1,16520,0.018
24,-Ofast,0,1,1,1,18032,0.031
25,-O2,1,0,0,1,16520,0.018
26,-Og,0,1,1,1,16520,0.018
27,-O2,1,1,1,1,16520,0.031
28,-Og,0,0,1,1,16520,0.028
29,-O0,0,1,0,0,16520,0.029
3,-O1,0,1,0,0,16520,0.021
30,-Og,1,1,1,1,16520,0.025
31,-Og,1,1,0,1,16520,0.021
32,-O2,0,0,1,0,16520,0.033
33,-Og,0,1,0,1,16520,0.029
34,-Ofast,1,1,0,1,18032,0.023
35,-O0,0,0,1,0,16520,0.028
36,-O2,1,0,1,1,16520,0.022
37,-O2,1,0,1,0,16520,0.024
38,-Ofast,1,1,0,0,18032,0.029
39,-O2,0,1,1,0,16520,0.034
4,-Og,1,0,0,0,16520,0.03
40,-O2,0,1,0,1,16520,0.031
41,-O0,0,1,1,0,16520,0.03
42,-O1,1,1,1,1,16520,0.027
43,-Og,1,1,1,0,16520,0.031
44,-O2,0,1,0,0,16520,0.032
45,-O0,0,0,1,1,16520,0.021
46,-O0,1,1,0,1,16520,0.024
47,-O0,0,1,0,1,16520,0.016
48,-O1,0,0,1,0,16520,0.026
49,-O1,1,1,1,0,16520,0.023
5,-O0,0,1,1,1,16520,0.026
50,-Ofast,0,1,0,0,18032,0.026
51,-O1,0,0,0,0,16520,0.024
52,-Og,0,1,1,0,16520,0.023
53,-Ofast,0,0,1,1,18032,0.029
54,-O2,1,1,0,0,16520,0.024
55,-Og,1,1,0,0,16520,0.026
56,-Og,0,0,0,1,16520,0.014
57,-O0,1,1,0,0,16520,0.022
58,-O1,1,1,0,0,16520,0.029
59,-Ofast,0,1,1,0,18032,0.033
6,-Og,1,0,1,0,16520,0.026
60,-Ofast,1,0,1,1,18032,0.025
61,-Ofast,0,1,0,1,18032,0.027
62,-O2,1,1,1,0,16520,0.03
63,-O2,1,1,0,1,16520,0.027
64,-O0,1,0,0,0,16520,0.023
65,-Ofast,0,0,0,0,18032,0.029
66,-O0,1,0,1,0,16520,0.017
67,-O2,1,0,0,0,16520,0.031
68,-O1,1,0,0,1,16520,0.021
69,-O0,0,0,0,1,16520,0.025
7,-O1,1,0,1,0,16520,0.029
70,-Ofast,1,0,0,1,18032,0.021
71,-O0,1,0,1,1,16520,0.015
72,-O0,1,1,1,0,16520,0.03
73,-O2,0,0,0,1,16520,0.029
74,-Ofast,1,1,1,1,18032,0.026
75,-Og,1,0,1,1,16520,0.023
76,-Ofast,0,0,1,0,18032,0.018
77,-Ofast,1,0,1,0,18032,0.029
78,-O1,0,0,0,1,16520,0.021
79,-O2,0,0,1,1,16520,0.03
8,-Og,0,1,0,0,16520,0.031
9,-O2,0,0,0,0,16520,0.023
