configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16520,0.021
1,-O2,0,1,1,1,16520,0.023
10,-Ofast,1,0,0,0,18032,0.035
11,-O1,0,1,1,1,16520,0.028
12,-O1,1,1,0,1,16520,0.029
13,-O1,1,0,1,1,16520,0.029
14,-Og,0,0,0,0,16520,0.024
15,-O1,1,0,0,0,16520,0.024
16,-O0,0,0,0,0,16520,0.02
17,-O1,0,1,0,1,16520,0.017
18,-O1,0,1,1,0,16520,0.029
19,-O1,0,0,1,1,16520,0.022
2,-Ofast,0,0,0,1,18032,0.034
20,-O0,1,1,1,1,16520,0.022
21,-Og,0,0,1,0,16520,0.02
22,-Ofast,1,1,1,0,18032,0.028
23,-O0,1,0,0,1,16520,0.015
24,-Ofast,0,1,1,1,18032,0.033
25,-O2,1,0,0,1,16520,0.034
26,-Og,0,1,1,1,16520,0.026
27,-O2,1,1,1,1,16520,0.029
28,-Og,0,0,1,1,16520,0.02
29,-O0,0,1,0,0,16520,0.024
3,-O1,0,1,0,0,16520,0.027
30,-Og,1,1,1,1,16520,0.023
31,-Og,1,1,0,1,16520,0.03
32,-O2,0,0,1,0,16520,0.031
33,-Og,0,1,0,1,16520,0.023
34,-Ofast,1,1,0,1,18032,0.037
35,-O0,0,0,1,0,16520,0.017
36,-O2,1,0,1,1,16520,0.028
37,-O2,1,0,1,0,16520,0.026
38,-Ofast,1,1,0,0,18032,0.034
39,-O2,0,1,1,0,16520,0.025
4,-Og,1,0,0,0,16520,0.018
40,-O2,0,1,0,1,16520,0.026
41,-O0,0,1,1,0,16520,0.018
42,-O1,1,1,1,1,16520,0.019
43,-Og,1,1,1,0,16520,0.022
44,-O2,0,1,0,0,16520,0.026
45,-O0,0,0,1,1,16520,0.026
46,-O0,1,1,0,1,16520,0.021
47,-O0,0,1,0,1,16520,0.022
48,-O1,0,0,1,0,16520,0.028
49,-O1,1,1,1,0,16520,0.029
5,-O0,0,1,1,1,16520,0.016
50,-Ofast,0,1,0,0,18032,0.029
51,-O1,0,0,0,0,16520,0.028
52,-Og,0,1,1,0,16520,0.027
53,-Ofast,0,0,1,1,18032,0.025
54,-O2,1,1,0,0,16520,0.032
55,-Og,1,1,0,0,16520,0.029
56,-Og,0,0,0,1,16520,0.023
57,-O0,1,1,0,0,16520,0.019
58,-O1,1,1,0,0,16520,0.027
59,-Ofast,0,1,1,0,18032,0.037
6,-Og,1,0,1,0,16520,0.018
60,-Ofast,1,0,1,1,18032,0.036
61,-Ofast,0,1,0,1,18032,0.039
62,-O2,1,1,1,0,16520,0.026
63,-O2,1,1,0,1,16520,0.032
64,-O0,1,0,0,0,16520,0.022
65,-Ofast,0,0,0,0,18032,0.028
66,-O0,1,0,1,0,16520,0.016
67,-O2,1,0,0,0,16520,0.03
68,-O1,1,0,0,1,16520,0.024
69,-O0,0,0,0,1,16520,0.018
7,-O1,1,0,1,0,16520,0.031
70,-Ofast,1,0,0,1,18032,0.032
71,-O0,1,0,1,1,16520,0.024
72,-O0,1,1,1,0,16520,0.016
73,-O2,0,0,0,1,16520,0.024
74,-Ofast,1,1,1,1,18032,0.03
75,-Og,1,0,1,1,16520,0.023
76,-Ofast,0,0,1,0,18032,0.024
77,-Ofast,1,0,1,0,18032,0.03
78,-O1,0,0,0,1,16520,0.027
79,-O2,0,0,1,1,16520,0.033
8,-Og,0,1,0,0,16520,0.028
9,-O2,0,0,0,0,16520,0.031
