configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16520,0.016
1,-O2,0,1,1,1,16520,0.025
10,-Ofast,1,0,0,0,18032,0.02
11,-O1,0,1,1,1,16520,0.015
12,-O1,1,1,0,1,16520,0.015
13,-O1,1,0,1,1,16520,0.025
14,-Og,0,0,0,0,16520,0.028
15,-O1,1,0,0,0,16520,0.025
16,-O0,0,0,0,0,16520,0.015
17,-O1,0,1,0,1,16520,0.026
18,-O1,0,1,1,0,16520,0.028
19,-O1,0,0,1,1,16520,0.027
2,-Ofast,0,0,0,1,18032,0.023
20,-O0,1,1,1,1,16520,0.018
21,-Og,0,0,1,0,16520,0.021
22,-Ofast,1,1,1,0,18032,0.031
23,-O0,1,0,0,1,16520,0.013
24,-Ofast,0,1,1,1,18032,0.021
25,-O2,1,0,0,1,16520,0.03
26,-Og,0,1,1,1,16520,0.021
27,-O2,1,1,1,1,16520,0.025
28,-Og,0,0,1,1,16520,0.016
29,-O0,0,1,0,0,16520,0.02
3,-O1,0,1,0,0,16520,0.019
30,-Og,1,1,1,1,16520,0.018
31,-Og,1,1,0,1,16520,0.019
32,-O2,0,0,1,0,16520,0.025
33,-Og,0,1,0,1,16520,0.02
34,-Ofast,1,1,0,1,18032,0.025
35,-O0,0,0,1,0,16520,0.016
36,-O2,1,0,1,1,16520,0.028
37,-O2,1,0,1,0,16520,0.022
38,-Ofast,1,1,0,0,18032,0.022
39,-O2,0,1,1,0,16520,0.03
4,-Og,1,0,0,0,16520,0.026
40,-O2,0,1,0,1,16520,0.018
41,-O0,0,1,1,0,16520,0.024
42,-O1,1,1,1,1,16520,0.027
43,-Og,1,1,1,0,16520,0.021
44,-O2,0,1,0,0,16520,0.021
45,-O0,0,0,1,1,16520,0.025
46,-O0,1,1,0,1,16520,0.006
47,-O0,0,1,0,1,16520,0.025
48,-O1,0,0,1,0,16520,0.022
49,-O1,1,1,1,0,16520,0.027
5,-O0,0,1,1,1,16520,0.01
50,-Ofast,0,1,0,0,18032,0.027
51,-O1,0,0,0,0,16520,0.021
52,-Og,0,1,1,0,16520,0.023
53,-Ofast,0,0,1,1,18032,0.021
54,-O2,1,1,0,0,16520,0.014
55,-Og,1,1,0,0,16520,0.019
56,-Og,0,0,0,1,16520,0.017
57,-O0,1,1,0,0,16520,0.012
58,-O1,1,1,0,0,16520,0.019
59,-Ofast,0,1,1,0,18032,0.029
6,-Og,1,0,1,0,16520,0.014
60,-Ofast,1,0,1,1,18032,0.023
61,-Ofast,0,1,0,1,18032,0.025
62,-O2,1,1,1,0,16520,0.026
63,-O2,1,1,0,1,16520,0.033
64,-O0,1,0,0,0,16520,0.021
65,-Ofast,0,0,0,0,18032,0.032
66,-O0,1,0,1,0,16520,0.02
67,-O2,1,0,0,0,16520,0.024
68,-O1,1,0,0,1,16520,0.01
69,-O0,0,0,0,1,16520,0.021
7,-O1,1,0,1,0,16520,0.022
70,-Ofast,1,0,0,1,18032,0.021
71,-O0,1,0,1,1,16520,0.024
72,-O0,1,1,1,0,16520,0.023
73,-O2,0,0,0,1,16520,0.028
74,-Ofast,1,1,1,1,18032,0.021
75,-Og,1,0,1,1,16520,0.027
76,-Ofast,0,0,1,0,18032,0.03
77,-Ofast,1,0,1,0,18032,0.027
78,-O1,0,0,0,1,16520,0.018
79,-O2,0,0,1,1,16520,0.02
8,-Og,0,1,0,0,16520,0.021
9,-O2,0,0,0,0,16520,0.025
