configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16464,0.018
1,-O2,0,1,1,1,16464,0.025
10,-Ofast,1,0,0,0,17976,0.016
11,-O1,0,1,1,1,16464,0.027
12,-O1,1,1,0,1,16464,0.02
13,-O1,1,0,1,1,16464,0.023
14,-Og,0,0,0,0,16464,0.018
15,-O1,1,0,0,0,16464,0.026
16,-O0,0,0,0,0,16464,0.011
17,-O1,0,1,0,1,16464,0.02
18,-O1,0,1,1,0,16464,0.023
19,-O1,0,0,1,1,16464,0.027
2,-Ofast,0,0,0,1,17976,0.023
20,-O0,1,1,1,1,16464,0.015
21,-Og,0,0,1,0,16464,0.025
22,-Ofast,1,1,1,0,17976,0.014
23,-O0,1,0,0,1,16464,0.023
24,-Ofast,0,1,1,1,17976,0.028
25,-O2,1,0,0,1,16464,0.024
26,-Og,0,1,1,1,16464,0.021
27,-O2,1,1,1,1,16464,0.024
28,-Og,0,0,1,1,16464,0.019
29,-O0,0,1,0,0,16464,0.026
3,-O1,0,1,0,0,16464,0.027
30,-Og,1,1,1,1,16464,0.023
31,-Og,1,1,0,1,16464,0.018
32,-O2,0,0,1,0,16464,0.026
33,-Og,0,1,0,1,16464,0.02
34,-Ofast,1,1,0,1,17976,0.02
35,-O0,0,0,1,0,16464,0.022
36,-O2,1,0,1,1,16464,0.023
37,-O2,1,0,1,0,16464,0.027
38,-Ofast,1,1,0,0,17976,0.029
39,-O2,0,1,1,0,16464,0.027
4,-Og,1,0,0,0,16464,0.026
40,-O2,0,1,0,1,16464,0.028
41,-O0,0,1,1,0,16464,0.021
42,-O1,1,1,1,1,16464,0.022
43,-Og,1,1,1,0,16464,0.026
44,-O2,0,1,0,0,16464,0.018
45,-O0,0,0,1,1,16464,0.024
46,-O0,1,1,0,1,16464,0.019
47,-O0,0,1,0,1,16464,0.022
48,-O1,0,0,1,0,16464,0.025
49,-O1,1,1,1,0,16464,0.026
5,-O0,0,1,1,1,16464,0.022
50,-Ofast,0,1,0,0,17976,0.028
51,-O1,0,0,0,0,16464,0.023
52,-Og,0,1,1,0,16464,0.016
53,-Ofast,0,0,1,1,17976,0.018
54,-O2,1,1,0,0,16464,0.02
55,-Og,1,1,0,0,16464,0.022
56,-Og,0,0,0,1,16464,0.021
57,-O0,1,1,0,0,16464,0.017
58,-O1,1,1,0,0,16464,0.023
59,-Ofast,0,1,1,0,17976,0.026
6,-Og,1,0,1,0,16464,0.02
60,-Ofast,1,0,1,1,17976,0.019
61,-Ofast,0,1,0,1,17976,0.018
62,-O2,1,1,1,0,16464,0.015
63,-O2,1,1,0,1,16464,0.018
64,-O0,1,0,0,0,16464,0.024
65,-Ofast,0,0,0,0,17976,0.027
66,-O0,1,0,1,0,16464,0.017
67,-O2,1,0,0,0,16464,0.022
68,-O1,1,0,0,1,16464,0.025
69,-O0,0,0,0,1,16464,0.024
7,-O1,1,0,1,0,16464,0.019
70,-Ofast,1,0,0,1,17976,0.021
71,-O0,1,0,1,1,16464,0.021
72,-O0,1,1,1,0,16464,0.022
73,-O2,0,0,0,1,16464,0.025
74,-Ofast,1,1,1,1,17976,0.018
75,-Og,1,0,1,1,16464,0.02
76,-Ofast,0,0,1,0,17976,0.028
77,-Ofast,1,0,1,0,17976,0.018
78,-O1,0,0,0,1,16464,0.022
79,-O2,0,0,1,1,16464,0.022
8,-Og,0,1,0,0,16464,0.023
9,-O2,0,0,0,0,16464,0.021
