configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16472,0.015
1,-O2,0,1,1,1,16472,0.022
10,-Ofast,1,0,0,0,17976,0.016
11,-O1,0,1,1,1,16472,0.024
12,-O1,1,1,0,1,16472,0.02
13,-O1,1,0,1,1,16472,0.019
14,-Og,0,0,0,0,16472,0.021
15,-O1,1,0,0,0,16472,0.026
16,-O0,0,0,0,0,16472,0.014
17,-O1,0,1,0,1,16472,0.017
18,-O1,0,1,1,0,16472,0.025
19,-O1,0,0,1,1,16472,0.026
2,-Ofast,0,0,0,1,17976,0.029
20,-O0,1,1,1,1,16472,0.026
21,-Og,0,0,1,0,16472,0.024
22,-Ofast,1,1,1,0,17976,0.027
23,-O0,1,0,0,1,16472,0.014
24,-Ofast,0,1,1,1,17976,0.023
25,-O2,1,0,0,1,16472,0.021
26,-Og,0,1,1,1,16472,0.017
27,-O2,1,1,1,1,16472,0.018
28,-Og,0,0,1,1,16472,0.021
29,-O0,0,1,0,0,16472,0.018
3,-O1,0,1,0,0,16472,0.021
30,-Og,1,1,1,1,16472,0.025
31,-Og,1,1,0,1,16472,0.016
32,-O2,0,0,1,0,16472,0.024
33,-Og,0,1,0,1,16472,0.02
34,-Ofast,1,1,0,1,17976,0.028
35,-O0,0,0,1,0,16472,0.017
36,-O2,1,0,1,1,16472,0.024
37,-O2,1,0,1,0,16472,0.023
38,-Ofast,1,1,0,0,17976,0.026
39,-O2,0,1,1,0,16472,0.022
4,-Og,1,0,0,0,16472,0.021
40,-O2,0,1,0,1,16472,0.02
41,-O0,0,1,1,0,16472,0.021
42,-O1,1,1,1,1,16472,0.023
43,-Og,1,1,1,0,16472,0.018
44,-O2,0,1,0,0,16472,0.029
45,-O0,0,0,1,1,16472,0.02
46,-O0,1,1,0,1,16472,0.01
47,-O0,0,1,0,1,16472,0.022
48,-O1,0,0,1,0,16472,0.028
49,-O1,1,1,1,0,16472,0.02
5,-O0,0,1,1,1,16472,0.018
50,-Ofast,0,1,0,0,17976,0.025
51,-O1,0,0,0,0,16472,0.024
52,-Og,0,1,1,0,16472,0.018
53,-Ofast,0,0,1,1,17976,0.026
54,-O2,1,1,0,0,16472,0.026
55,-Og,1,1,0,0,16472,0.024
56,-Og,0,0,0,1,16472,0.021
57,-O0,1,1,0,0,16472,0.021
58,-O1,1,1,0,0,16472,0.014
59,-Ofast,0,1,1,0,17976,0.025
6,-Og,1,0,1,0,16472,0.021
60,-Ofast,1,0,1,1,17976,0.018
61,-Ofast,0,1,0,1,17976,0.024
62,-O2,1,1,1,0,16472,0.023
63,-O2,1,1,0,1,16472,0.026
64,-O0,1,0,0,0,16472,0.013
65,-Ofast,0,0,0,0,17976,0.019
66,-O0,1,0,1,0,16472,0.026
67,-O2,1,0,0,0,16472,0.028
68,-O1,1,0,0,1,16472,0.025
69,-O0,0,0,0,1,16472,0.022
7,-O1,1,0,1,0,16472,0.024
70,-Ofast,1,0,0,1,17976,0.015
71,-O0,1,0,1,1,16472,0.024
72,-O0,1,1,1,0,16472,0.022
73,-O2,0,0,0,1,16472,0.018
74,-Ofast,1,1,1,1,17976,0.021
75,-Og,1,0,1,1,16472,0.016
76,-Ofast,0,0,1,0,17976,0.02
77,-Ofast,1,0,1,0,17976,0.025
78,-O1,0,0,0,1,16472,0.024
79,-O2,0,0,1,1,16472,0.025
8,-Og,0,1,0,0,16472,0.015
9,-O2,0,0,0,0,16472,0.024
