configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16464,0.016
1,-O2,0,1,1,1,16464,0.018
10,-Ofast,1,0,0,0,17976,0.015
11,-O1,0,1,1,1,16464,0.022
12,-O1,1,1,0,1,16464,0.021
13,-O1,1,0,1,1,16464,0.028
14,-Og,0,0,0,0,16464,0.027
15,-O1,1,0,0,0,16464,0.018
16,-O0,0,0,0,0,16464,0.016
17,-O1,0,1,0,1,16464,0.021
18,-O1,0,1,1,0,16464,0.015
19,-O1,0,0,1,1,16464,0.018
2,-Ofast,0,0,0,1,17976,0.021
20,-O0,1,1,1,1,16464,0.014
21,-Og,0,0,1,0,16464,0.025
22,-Ofast,1,1,1,0,17976,0.024
23,-O0,1,0,0,1,16464,0.022
24,-Ofast,0,1,1,1,17976,0.023
25,-O2,1,0,0,1,16464,0.02
26,-Og,0,1,1,1,16464,0.017
27,-O2,1,1,1,1,16464,0.019
28,-Og,0,0,1,1,16464,0.02
29,-O0,0,1,0,0,16464,0.013
3,-O1,0,1,0,0,16464,0.02
30,-Og,1,1,1,1,16464,0.027
31,-Og,1,1,0,1,16464,0.014
32,-O2,0,0,1,0,16464,0.024
33,-Og,0,1,0,1,16464,0.021
34,-Ofast,1,1,0,1,17976,0.019
35,-O0,0,0,1,0,16464,0.024
36,-O2,1,0,1,1,16464,0.016
37,-O2,1,0,1,0,16464,0.024
38,-Ofast,1,1,0,0,17976,0.018
39,-O2,0,1,1,0,16464,0.025
4,-Og,1,0,0,0,16464,0.022
40,-O2,0,1,0,1,16464,0.023
41,-O0,0,1,1,0,16464,0.022
42,-O1,1,1,1,1,16464,0.02
43,-Og,1,1,1,0,16464,0.016
44,-O2,0,1,0,0,16464,0.026
45,-O0,0,0,1,1,16464,0.021
46,-O0,1,1,0,1,16464,0.015
47,-O0,0,1,0,1,16464,0.022
48,-O1,0,0,1,0,16464,0.017
49,-O1,1,1,1,0,16464,0.021
5,-O0,0,1,1,1,16464,0.015
50,-Ofast,0,1,0,0,17976,0.019
51,-O1,0,0,0,0,16464,0.025
52,-Og,0,1,1,0,16464,0.022
53,-Ofast,0,0,1,1,17976,0.018
54,-O2,1,1,0,0,16464,0.017
55,-Og,1,1,0,0,16464,0.024
56,-Og,0,0,0,1,16464,0.012
57,-O0,1,1,0,0,16464,0.022
58,-O1,1,1,0,0,16464,0.021
59,-Ofast,0,1,1,0,17976,0.026
6,-Og,1,0,1,0,16464,0.011
60,-Ofast,1,0,1,1,17976,0.014
61,-Ofast,0,1,0,1,17976,0.02
62,-O2,1,1,1,0,16464,0.024
63,-O2,1,1,0,1,16464,0.019
64,-O0,1,0,0,0,16464,0.015
65,-Ofast,0,0,0,0,17976,0.024
66,-O0,1,0,1,0,16464,0.023
67,-O2,1,0,0,0,16464,0.016
68,-O1,1,0,0,1,16464,0.021
69,-O0,0,0,0,1,16464,0.019
7,-O1,1,0,1,0,16464,0.024
70,-Ofast,1,0,0,1,17976,0.018
71,-O0,1,0,1,1,16464,0.016
72,-O0,1,1,1,0,16464,0.018
73,-O2,0,0,0,1,16464,0.026
74,-Ofast,1,1,1,1,17976,0.023
75,-Og,1,0,1,1,16464,0.024
76,-Ofast,0,0,1,0,17976,0.025
77,-Ofast,1,0,1,0,17976,0.02
78,-O1,0,0,0,1,16464,0.025
79,-O2,0,0,1,1,16464,0.025
8,-Og,0,1,0,0,16464,0.016
9,-O2,0,0,0,0,16464,0.018
