configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16440,0.022
1,-O2,0,1,1,1,16440,0.022
10,-Ofast,1,0,0,0,17952,0.02
11,-O1,0,1,1,1,16440,0.022
12,-O1,1,1,0,1,16440,0.022
13,-O1,1,0,1,1,16440,0.026
14,-Og,0,0,0,0,16440,0.021
15,-O1,1,0,0,0,16440,0.014
16,-O0,0,0,0,0,16440,0.026
17,-O1,0,1,0,1,16440,0.021
18,-O1,0,1,1,0,16440,0.024
19,-O1,0,0,1,1,16440,0.025
2,-Ofast,0,0,0,1,17952,0.019
20,-O0,1,1,1,1,16440,0.025
21,-Og,0,0,1,0,16440,0.021
22,-Ofast,1,1,1,0,17952,0.021
23,-O0,1,0,0,1,16440,0.024
24,-Ofast,0,1,1,1,17952,0.02
25,-O2,1,0,0,1,16440,0.02
26,-Og,0,1,1,1,16440,0.014
27,-O2,1,1,1,1,16440,0.028
28,-Og,0,0,1,1,16440,0.02
29,-O0,0,1,0,0,16440,0.019
3,-O1,0,1,0,0,16440,0.02
30,-Og,1,1,1,1,16440,0.015
31,-Og,1,1,0,1,16440,0.021
32,-O2,0,0,1,0,16440,0.021
33,-Og,0,1,0,1,16440,0.024
34,-Ofast,1,1,0,1,17952,0.02
35,-O0,0,0,1,0,16440,0.02
36,-O2,1,0,1,1,16440,0.02
37,-O2,1,0,1,0,16440,0.022
38,-Ofast,1,1,0,0,17952,0.025
39,-O2,0,1,1,0,16440,0.028
4,-Og,1,0,0,0,16440,0.021
40,-O2,0,1,0,1,16440,0.025
41,-O0,0,1,1,0,16440,0.024
42,-O1,1,1,1,1,16440,0.019
43,-Og,1,1,1,0,16440,0.024
44,-O2,0,1,0,0,16440,0.022
45,-O0,0,0,1,1,16440,0.019
46,-O0,1,1,0,1,16440,0.025
47,-O0,0,1,0,1,16440,0.015
48,-O1,0,0,1,0,16440,0.025
49,-O1,1,1,1,0,16440,0.016
5,-O0,0,1,1,1,16440,0.014
50,-Ofast,0,1,0,0,17952,0.02
51,-O1,0,0,0,0,16440,0.021
52,-Og,0,1,1,0,16440,0.021
53,-Ofast,0,0,1,1,17952,0.023
54,-O2,1,1,0,0,16440,0.018
55,-Og,1,1,0,0,16440,0.014
56,-Og,0,0,0,1,16440,0.014
57,-O0,1,1,0,0,16440,0.021
58,-O1,1,1,0,0,16440,0.024
59,-Ofast,0,1,1,0,17952,0.02
6,-Og,1,0,1,0,16440,0.021
60,-Ofast,1,0,1,1,17952,0.019
61,-Ofast,0,1,0,1,17952,0.02
62,-O2,1,1,1,0,16440,0.019
63,-O2,1,1,0,1,16440,0.015
64,-O0,1,0,0,0,16440,0.025
65,-Ofast,0,0,0,0,17952,0.028
66,-O0,1,0,1,0,16440,0.017
67,-O2,1,0,0,0,16440,0.025
68,-O1,1,0,0,1,16440,0.02
69,-O0,0,0,0,1,16440,0.015
7,-O1,1,0,1,0,16440,0.02
70,-Ofast,1,0,0,1,17952,0.025
71,-O0,1,0,1,1,16440,0.02
72,-O0,1,1,1,0,16440,0.022
73,-O2,0,0,0,1,16440,0.018
74,-Ofast,1,1,1,1,17952,0.023
75,-Og,1,0,1,1,16440,0.021
76,-Ofast,0,0,1,0,17952,0.015
77,-Ofast,1,0,1,0,17952,0.022
78,-O1,0,0,0,1,16440,0.021
79,-O2,0,0,1,1,16440,0.017
8,-Og,0,1,0,0,16440,0.016
9,-O2,0,0,0,0,16440,0.024
