configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16464,0.019
1,-O2,0,1,1,1,16464,0.024
10,-Ofast,1,0,0,0,17976,0.016
11,-O1,0,1,1,1,16464,0.023
12,-O1,1,1,0,1,16464,0.024
13,-O1,1,0,1,1,16464,0.018
14,-Og,0,0,0,0,16464,0.016
15,-O1,1,0,0,0,16464,0.02
16,-O0,0,0,0,0,16464,0.02
17,-O1,0,1,0,1,16464,0.02
18,-O1,0,1,1,0,16464,0.018
19,-O1,0,0,1,1,16464,0.019
2,-Ofast,0,0,0,1,17976,0.022
20,-O0,1,1,1,1,16464,0.013
21,-Og,0,0,1,0,16464,0.022
22,-Ofast,1,1,1,0,17976,0.026
23,-O0,1,0,0,1,16464,0.022
24,-Ofast,0,1,1,1,17976,0.026
25,-O2,1,0,0,1,16464,0.024
26,-Og,0,1,1,1,16464,0.023
27,-O2,1,1,1,1,16464,0.025
28,-Og,0,0,1,1,16464,0.02
29,-O0,0,1,0,0,16464,0.011
3,-O1,0,1,0,0,16464,0.019
30,-Og,1,1,1,1,16464,0.012
31,-Og,1,1,0,1,16464,0.015
32,-O2,0,0,1,0,16464,0.024
33,-Og,0,1,0,1,16464,0.021
34,-Ofast,1,1,0,1,17976,0.022
35,-O0,0,0,1,0,16464,0.024
36,-O2,1,0,1,1,16464,0.023
37,-O2,1,0,1,0,16464,0.02
38,-Ofast,1,1,0,0,17976,0.03
39,-O2,0,1,1,0,16464,0.022
4,-Og,1,0,0,0,16464,0.014
40,-O2,0,1,0,1,16464,0.018
41,-O0,0,1,1,0,16464,0.021
42,-O1,1,1,1,1,16464,0.018
43,-Og,1,1,1,0,16464,0.023
44,-O2,0,1,0,0,16464,0.021
45,-O0,0,0,1,1,16464,0.021
46,-O0,1,1,0,1,16464,0.018
47,-O0,0,1,0,1,16464,0.015
48,-O1,0,0,1,0,16464,0.026
49,-O1,1,1,1,0,16464,0.017
5,-O0,0,1,1,1,16464,0.018
50,-Ofast,0,1,0,0,17976,0.019
51,-O1,0,0,0,0,16464,0.012
52,-Og,0,1,1,0,16464,0.021
53,-Ofast,0,0,1,1,17976,0.023
54,-O2,1,1,0,0,16464,0.017
55,-Og,1,1,0,0,16464,0.025
56,-Og,0,0,0,1,16464,0.02
57,-O0,1,1,0,0,16464,0.016
58,-O1,1,1,0,0,16464,0.018
59,-Ofast,0,1,1,0,17976,0.02
6,-Og,1,0,1,0,16464,0.02
60,-Ofast,1,0,1,1,17976,0.022
61,-Ofast,0,1,0,1,17976,0.024
62,-O2,1,1,1,0,16464,0.029
63,-O2,1,1,0,1,16464,0.024
64,-O0,1,0,0,0,16464,0.016
65,-Ofast,0,0,0,0,17976,0.027
66,-O0,1,0,1,0,16464,0.009
67,-O2,1,0,0,0,16464,0.028
68,-O1,1,0,0,1,16464,0.024
69,-O0,0,0,0,1,16464,0.022
7,-O1,1,0,1,0,16464,0.023
70,-Ofast,1,0,0,1,17976,0.024
71,-O0,1,0,1,1,16464,0.011
72,-O0,1,1,1,0,16464,0.021
73,-O2,0,0,0,1,16464,0.022
74,-Ofast,1,1,1,1,17976,0.026
75,-Og,1,0,1,1,16464,0.017
76,-Ofast,0,0,1,0,17976,0.023
77,-Ofast,1,0,1,0,17976,0.025
78,-O1,0,0,0,1,16464,0.018
79,-O2,0,0,1,1,16464,0.017
8,-Og,0,1,0,0,16464,0.025
9,-O2,0,0,0,0,16464,0.024
