configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16544,0.022
1,-O2,0,1,1,1,16544,0.04
10,-Ofast,1,0,0,0,18048,0.031
11,-O1,0,1,1,1,16544,0.03
12,-O1,1,1,0,1,16544,0.029
13,-O1,1,0,1,1,16544,0.035
14,-Og,0,0,0,0,16544,0.034
15,-O1,1,0,0,0,16544,0.03
16,-O0,0,0,0,0,16544,0.025
17,-O1,0,1,0,1,16544,0.033
18,-O1,0,1,1,0,16544,0.031
19,-O1,0,0,1,1,16544,0.033
2,-Ofast,0,0,0,1,18048,0.037
20,-O0,1,1,1,1,16544,0.024
21,-Og,0,0,1,0,16544,0.022
22,-Ofast,1,1,1,0,18048,0.045
23,-O0,1,0,0,1,16544,0.019
24,-Ofast,0,1,1,1,18048,0.035
25,-O2,1,0,0,1,16544,0.039
26,-Og,0,1,1,1,16544,0.028
27,-O2,1,1,1,1,16544,0.033
28,-Og,0,0,1,1,16544,0.032
29,-O0,0,1,0,0,16544,0.025
3,-O1,0,1,0,0,16544,0.034
30,-Og,1,1,1,1,16544,0.02
31,-Og,1,1,0,1,16544,0.026
32,-O2,0,0,1,0,16544,0.024
33,-Og,0,1,0,1,16544,0.031
34,-Ofast,1,1,0,1,18048,0.037
35,-O0,0,0,1,0,16544,0.029
36,-O2,1,0,1,1,16544,0.036
37,-O2,1,0,1,0,16544,0.025
38,-Ofast,1,1,0,0,18048,0.046
39,-O2,0,1,1,0,16544,0.032
4,-Og,1,0,0,0,16544,0.03
40,-O2,0,1,0,1,16544,0.042
41,-O0,0,1,1,0,16544,0.025
42,-O1,1,1,1,1,16544,0.034
43,-Og,1,1,1,0,16544,0.025
44,-O2,0,1,0,0,16544,0.031
45,-O0,0,0,1,1,16544,0.021
46,-O0,1,1,0,1,16544,0.023
47,-O0,0,1,0,1,16544,0.022
48,-O1,0,0,1,0,16544,0.031
49,-O1,1,1,1,0,16544,0.031
5,-O0,0,1,1,1,16544,0.02
50,-Ofast,0,1,0,0,18048,0.037
51,-O1,0,0,0,0,16544,0.032
52,-Og,0,1,1,0,16544,0.025
53,-Ofast,0,0,1,1,18048,0.044
54,-O2,1,1,0,0,16544,0.031
55,-Og,1,1,0,0,16544,0.03
56,-Og,0,0,0,1,16544,0.032
57,-O0,1,1,0,0,16544,0.02
58,-O1,1,1,0,0,16544,0.032
59,-Ofast,0,1,1,0,18048,0.043
6,-Og,1,0,1,0,16544,0.03
60,-Ofast,1,0,1,1,18048,0.034
61,-Ofast,0,1,0,1,18048,0.04
62,-O2,1,1,1,0,16544,0.042
63,-O2,1,1,0,1,16544,0.035
64,-O0,1,0,0,0,16544,0.017
65,-Ofast,0,0,0,0,18048,0.041
66,-O0,1,0,1,0,16544,0.025
67,-O2,1,0,0,0,16544,0.032
68,-O1,1,0,0,1,16544,0.032
69,-O0,0,0,0,1,16544,0.019
7,-O1,1,0,1,0,16544,0.031
70,-Ofast,1,0,0,1,18048,0.039
71,-O0,1,0,1,1,16544,0.025
72,-O0,1,1,1,0,16544,0.018
73,-O2,0,0,0,1,16544,0.036
74,-Ofast,1,1,1,1,18048,0.025
75,-Og,1,0,1,1,16544,0.027
76,-Ofast,0,0,1,0,18048,0.035
77,-Ofast,1,0,1,0,18048,0.046
78,-O1,0,0,0,1,16544,0.022
79,-O2,0,0,1,1,16544,0.042
8,-Og,0,1,0,0,16544,0.021
9,-O2,0,0,0,0,16544,0.037
