configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,16528,0.023
1,-O2,0,1,1,1,16528,0.04
10,-Ofast,1,0,0,0,18040,0.036
11,-O1,0,1,1,1,16528,0.034
12,-O1,1,1,0,1,16528,0.031
13,-O1,1,0,1,1,16528,0.034
14,-Og,0,0,0,0,16528,0.03
15,-O1,1,0,0,0,16528,0.027
16,-O0,0,0,0,0,16528,0.025
17,-O1,0,1,0,1,16528,0.029
18,-O1,0,1,1,0,16528,0.023
19,-O1,0,0,1,1,16528,0.033
2,-Ofast,0,0,0,1,18040,0.038
20,-O0,1,1,1,1,16528,0.021
21,-Og,0,0,1,0,16528,0.024
22,-Ofast,1,1,1,0,18040,0.036
23,-O0,1,0,0,1,16528,0.021
24,-Ofast,0,1,1,1,18040,0.036
25,-O2,1,0,0,1,16528,0.037
26,-Og,0,1,1,1,16528,0.02
27,-O2,1,1,1,1,16528,0.04
28,-Og,0,0,1,1,16528,0.024
29,-O0,0,1,0,0,16528,0.024
3,-O1,0,1,0,0,16528,0.019
30,-Og,1,1,1,1,16528,0.03
31,-Og,1,1,0,1,16528,0.026
32,-O2,0,0,1,0,16528,0.037
33,-Og,0,1,0,1,16528,0.024
34,-Ofast,1,1,0,1,18040,0.036
35,-O0,0,0,1,0,16528,0.022
36,-O2,1,0,1,1,16528,0.028
37,-O2,1,0,1,0,16528,0.041
38,-Ofast,1,1,0,0,18040,0.036
39,-O2,0,1,1,0,16528,0.032
4,-Og,1,0,0,0,16528,0.021
40,-O2,0,1,0,1,16528,0.031
41,-O0,0,1,1,0,16528,0.022
42,-O1,1,1,1,1,16528,0.036
43,-Og,1,1,1,0,16528,0.022
44,-O2,0,1,0,0,16528,0.042
45,-O0,0,0,1,1,16528,0.023
46,-O0,1,1,0,1,16528,0.021
47,-O0,0,1,0,1,16528,0.021
48,-O1,0,0,1,0,16528,0.031
49,-O1,1,1,1,0,16528,0.028
5,-O0,0,1,1,1,16528,0.018
50,-Ofast,0,1,0,0,18040,0.026
51,-O1,0,0,0,0,16528,0.03
52,-Og,0,1,1,0,16528,0.029
53,-Ofast,0,0,1,1,18040,0.04
54,-O2,1,1,0,0,16528,0.033
55,-Og,1,1,0,0,16528,0.018
56,-Og,0,0,0,1,16528,0.019
57,-O0,1,1,0,0,16528,0.027
58,-O1,1,1,0,0,16528,0.032
59,-Ofast,0,1,1,0,18040,0.039
6,-Og,1,0,1,0,16528,0.022
60,-Ofast,1,0,1,1,18040,0.041
61,-Ofast,0,1,0,1,18040,0.036
62,-O2,1,1,1,0,16528,0.038
63,-O2,1,1,0,1,16528,0.033
64,-O0,1,0,0,0,16528,0.017
65,-Ofast,0,0,0,0,18040,0.032
66,-O0,1,0,1,0,16528,0.02
67,-O2,1,0,0,0,16528,0.03
68,-O1,1,0,0,1,16528,0.031
69,-O0,0,0,0,1,16528,0.02
7,-O1,1,0,1,0,16528,0.031
70,-Ofast,1,0,0,1,18040,0.037
71,-O0,1,0,1,1,16528,0.022
72,-O0,1,1,1,0,16528,0.023
73,-O2,0,0,0,1,16528,0.036
74,-Ofast,1,1,1,1,18040,0.03
75,-Og,1,0,1,1,16528,0.025
76,-Ofast,0,0,1,0,18040,0.037
77,-Ofast,1,0,1,0,18040,0.035
78,-O1,0,0,0,1,16528,0.029
79,-O2,0,0,1,1,16528,0.026
8,-Og,0,1,0,0,16528,0.022
9,-O2,0,0,0,0,16528,0.032
