configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,time
0,-Og,1,0,0,1,17408,0.055
1,-O2,0,1,1,1,17408,0.087
10,-Ofast,1,0,0,0,18912,0.142
11,-O1,0,1,1,1,17408,0.065
12,-O1,1,1,0,1,17408,0.056
13,-O1,1,0,1,1,17408,0.059
14,-Og,0,0,0,0,17408,0.054
15,-O1,1,0,0,0,17408,0.064
16,-O0,0,0,0,0,17408,0.038
17,-O1,0,1,0,1,17408,0.071
18,-O1,0,1,1,0,17408,0.064
19,-O1,0,0,1,1,17408,0.068
2,-Ofast,0,0,0,1,18912,0.113
20,-O0,1,1,1,1,17408,0.043
21,-Og,0,0,1,0,17408,0.047
22,-Ofast,1,1,1,0,18912,0.134
23,-O0,1,0,0,1,17408,0.035
24,-Ofast,0,1,1,1,18912,0.125
25,-O2,1,0,0,1,17408,0.091
26,-Og,0,1,1,1,17408,0.048
27,-O2,1,1,1,1,17408,0.082
28,-Og,0,0,1,1,17408,0.054
29,-O0,0,1,0,0,17408,0.036
3,-O1,0,1,0,0,17408,0.072
30,-Og,1,1,1,1,17408,0.049
31,-Og,1,1,0,1,17408,0.059
32,-O2,0,0,1,0,17408,0.088
33,-Og,0,1,0,1,17408,0.058
34,-Ofast,1,1,0,1,18912,0.134
35,-O0,0,0,1,0,17408,0.042
36,-O2,1,0,1,1,17408,0.09
37,-O2,1,0,1,0,17408,0.092
38,-Ofast,1,1,0,0,18912,0.131
39,-O2,0,1,1,0,17408,0.085
4,-Og,1,0,0,0,17408,0.047
40,-O2,0,1,0,1,17408,0.083
41,-O0,0,1,1,0,17408,0.046
42,-O1,1,1,1,1,17408,0.067
43,-Og,1,1,1,0,17408,0.051
44,-O2,0,1,0,0,17408,0.083
45,-O0,0,0,1,1,17408,0.037
46,-O0,1,1,0,1,17408,0.032
47,-O0,0,1,0,1,17408,0.044
48,-O1,0,0,1,0,17408,0.064
49,-O1,1,1,1,0,17408,0.068
5,-O0,0,1,1,1,17408,0.036
50,-Ofast,0,1,0,0,18912,0.12
51,-O1,0,0,0,0,17408,0.064
52,-Og,0,1,1,0,17408,0.048
53,-Ofast,0,0,1,1,18912,0.131
54,-O2,1,1,0,0,17408,0.088
55,-Og,1,1,0,0,17408,0.051
56,-Og,0,0,0,1,17408,0.058
57,-O0,1,1,0,0,17408,0.045
58,-O1,1,1,0,0,17408,0.069
59,-Ofast,0,1,1,0,18912,0.131
6,-Og,1,0,1,0,17408,0.046
60,-Ofast,1,0,1,1,18912,0.139
61,-Ofast,0,1,0,1,18912,0.13
62,-O2,1,1,1,0,17408,0.084
63,-O2,1,1,0,1,17408,0.093
64,-O0,1,0,0,0,17408,0.034
65,-Ofast,0,0,0,0,18912,0.134
66,-O0,1,0,1,0,17408,0.034
67,-O2,1,0,0,0,17408,0.093
68,-O1,1,0,0,1,17408,0.063
69,-O0,0,0,0,1,17408,0.039
7,-O1,1,0,1,0,17408,0.063
70,-Ofast,1,0,0,1,18912,0.118
71,-O0,1,0,1,1,17408,0.036
72,-O0,1,1,1,0,17408,0.037
73,-O2,0,0,0,1,17408,0.088
74,-Ofast,1,1,1,1,18912,0.131
75,-Og,1,0,1,1,17408,0.049
76,-Ofast,0,0,1,0,18912,0.123
77,-Ofast,1,0,1,0,18912,0.118
78,-O1,0,0,0,1,17408,0.065
79,-O2,0,0,1,1,17408,0.089
8,-Og,0,1,0,0,17408,0.048
9,-O2,0,0,0,0,17408,0.087
