configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,1005012,2.02, 0.05, 0:00.43, 478, 300 , 703.68 , 803.21
1001,False,False,True,True,True,True,True,True,20,1,968668,1.69, 0.04, 0:00.35, 490, 300 , 877.98 , 774.16
1002,True,False,False,False,True,False,True,True,60,5,1095783,1.82, 0.05, 0:00.46, 406, 300 , 664.62 , 875.75
1003,False,False,False,True,True,True,False,False,20,9,750973,2.78, 0.03, 0:00.57, 493, 300 , 533.20 , 600.18
1004,False,False,True,False,False,True,True,False,20,9,854127,2.13, 0.05, 0:00.42, 518, 300 , 737.56 , 682.62
1005,True,False,False,True,False,True,False,False,20,1,845147,1.56, 0.03, 0:00.30, 523, 300 , 1004.88 , 675.44
1006,False,False,False,False,False,True,True,False,60,5,798849,1.87, 0.04, 0:00.36, 520, 300 , 828.26 , 638.44
1007,True,False,False,True,False,True,False,False,20,5,744734,2.10, 0.05, 0:00.43, 497, 300 , 700.90 , 595.19
1008,True,False,False,False,True,False,False,False,20,1,1120414,1.66, 0.05, 0:00.38, 451, 300 , 807.18 , 895.44
1009,False,False,True,True,False,False,True,True,40,9,1179234,2.27, 0.08, 0:00.55, 426, 300 , 558.10 , 942.44
1010,False,False,False,False,False,True,True,False,60,1,880886,1.64, 0.06, 0:00.33, 516, 300 , 925.89 , 704.00
101,False,False,True,False,False,True,True,True,40,9,852736,2.17, 0.05, 0:00.43, 513, 300 , 714.36 , 681.51
1011,False,False,False,True,True,True,False,False,20,1,882234,1.58, 0.04, 0:00.31, 526, 300 , 992.76 , 705.08
1012,False,False,True,False,False,True,True,False,20,1,967906,1.73, 0.06, 0:00.35, 503, 300 , 872.29 , 773.55
1013,True,False,False,False,True,False,False,False,20,5,992621,2.16, 0.07, 0:00.50, 439, 300 , 599.73 , 793.30
1014,True,False,False,True,False,True,False,False,20,9,723436,3.04, 0.05, 0:00.62, 492, 300 , 483.20 , 578.17
