configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,13.874012803832152
1,1,1,0,1,0,1,13.87780781472672
10,1,0,1,1,1,0,13.873452902224765
11,1,0,1,1,1,1,13.913664203117484
12,0,0,1,1,1,1,13.847040170563409
13,1,0,1,0,1,1,13.876268079777244
14,0,1,1,1,0,0,13.789651892463365
15,0,0,1,0,0,1,13.816683697463606
16,1,1,1,1,0,1,13.857268874774823
17,0,1,0,1,0,1,13.822476132604114
18,0,1,0,0,1,0,13.859255874931636
19,0,1,0,0,0,1,13.886847920044973
2,1,0,1,1,0,0,13.883520022026206
20,1,0,0,0,0,1,13.889800762748948
21,0,0,0,0,0,1,13.85836719451406
22,1,1,0,1,0,0,13.855249371733608
23,0,1,1,0,1,0,13.847389464693535
24,1,1,1,1,1,0,13.81558688673538
25,0,1,1,0,0,1,13.830703754502116
26,1,1,1,0,0,0,13.84534395410591
27,0,0,1,0,1,0,13.895719129393491
28,1,0,0,0,1,0,13.872309678553664
29,1,1,0,0,1,1,13.890454464889713
3,1,0,1,0,0,0,13.885576100205085
4,1,1,1,1,1,1,13.883696838214652
5,1,0,0,1,1,1,13.882683190916733
6,1,0,0,1,0,1,13.873479216901007
7,0,0,0,1,1,1,13.886263583477405
8,0,0,1,1,0,1,13.50329172696273
9,0,1,1,1,1,1,13.86329952444845
