configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,29727.134631220033
1,1,1,0,1,0,1,26571.717064356693
10,1,0,1,1,1,0,26731.892484328422
11,1,0,1,1,1,1,26498.13850576997
12,0,0,1,1,1,1,25830.248771125916
13,1,0,1,0,1,1,25685.481281705517
14,0,1,1,1,0,0,26701.98449148741
15,0,0,1,0,0,1,26102.777074452948
16,1,1,1,1,0,1,26860.203385460034
17,0,1,0,1,0,1,26119.07162371821
18,0,1,0,0,1,0,26561.05989253395
19,0,1,0,0,0,1,12345.7857043209
2,1,0,1,1,0,0,26630.02375398119
20,1,0,0,0,0,1,24976.64683520908
21,0,0,0,0,0,1,26660.48143497375
22,1,1,0,1,0,0,26637.96869505919
23,0,1,1,0,1,0,26076.70724202313
24,1,1,1,1,1,0,26450.827910913613
25,0,1,1,0,0,1,26959.482593610064
26,1,1,1,0,0,0,26287.288518763868
27,0,0,1,0,1,0,25680.797953754012
28,1,0,0,0,1,0,27082.58292009825
29,1,1,0,0,1,1,26614.714743487384
3,1,0,1,0,0,0,26431.252312734574
4,1,1,1,1,1,1,26817.272468851737
5,1,0,0,1,1,1,26538.292101673505
6,1,0,0,1,0,1,27155.46503733877
7,0,0,0,1,1,1,25922.920787330953
8,0,0,1,1,0,1,26346.989856408905
9,0,1,1,1,1,1,26221.323704863265
