,configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,frames,cpu,fps,kbs,etime,size
0,1,True,False,False,True,True,False,True,True,20.0,9.0,504,1121.2,134.204,11571.040000000003,3.783,14579510.0
1,1001,False,False,True,True,True,True,True,True,20.0,1.0,504,1466.8,252.598,7712.780000000001,2.032,9718103.0
2,1002,True,False,False,False,True,False,True,True,60.0,5.0,504,1020.8,135.62099999999998,12279.28,3.747,15471893.0
3,1003,False,False,False,True,True,True,False,False,20.0,9.0,504,1091.4,109.869,7110.76,4.613,8959552.0
4,1004,False,False,True,False,False,True,True,False,20.0,9.0,504,1086.9,135.045,7641.94,3.7620000000000005,9628845.0
5,1005,True,False,False,True,False,True,False,False,20.0,1.0,504,1532.3,276.033,6722.76,1.875,8470682.0
6,1006,False,False,False,False,False,True,True,False,60.0,5.0,504,1040.6,151.059,7159.280000000001,3.3619999999999997,9020689.0
7,1007,True,False,False,True,False,True,False,False,20.0,5.0,504,1025.1,137.34400000000002,6654.160000000001,3.6949999999999994,8384241.0
8,1008,True,False,False,False,True,False,False,False,20.0,1.0,504,1401.1,218.373,11739.59,2.341,14791878.0
9,1009,False,False,True,True,False,False,True,True,40.0,9.0,504,1077.5,117.14599999999999,13667.91,4.3340000000000005,17221565.0
10,1010,False,False,False,False,False,True,True,False,60.0,1.0,504,1509.4,261.452,7169.18,1.97,9033164.0
11,101,False,False,True,False,False,True,True,True,40.0,9.0,504,1076.8,134.656,7642.359999999999,3.774,9629379.0
12,1011,False,False,False,True,True,True,False,False,20.0,1.0,504,1504.7,259.992,7200.58,1.972,9072729.0
13,1012,False,False,True,False,False,True,True,False,20.0,1.0,504,1476.9,256.65999999999997,7671.149999999999,2.008,9665644.0
14,1013,True,False,False,False,True,False,False,False,20.0,5.0,504,1038.0,122.646,11519.03,4.1370000000000005,14513979.0
15,1014,True,False,False,True,False,True,False,False,20.0,9.0,504,1094.4,114.84,6644.06,4.414,8371518.0
16,1015,True,False,False,True,False,True,True,True,40.0,1.0,504,1552.7,284.721,6714.910000000001,1.818,8460782.0
17,1016,True,False,True,False,True,True,False,True,40.0,1.0,504,1503.4,281.71799999999996,7279.63,1.825,9172329.0
18,1017,True,False,True,False,False,False,True,True,20.0,9.0,504,1075.6,123.82000000000001,12397.08,4.104000000000001,15620327.0
19,1018,True,False,False,True,False,True,True,True,40.0,5.0,504,1066.1,161.083,6679.25,3.1529999999999996,8415851.0
20,1019,True,False,True,False,False,False,True,True,20.0,5.0,504,1009.0,132.35,12480.100000000002,3.84,15724928.0
21,1020,True,False,True,False,False,True,False,False,20.0,1.0,504,1456.8,259.17600000000004,7287.270000000001,1.9809999999999999,9181954.0
22,102,False,False,False,True,False,False,False,False,60.0,9.0,504,1079.8,96.63,12999.78,5.247,16379720.0
23,1021,True,False,False,False,True,False,False,False,40.0,1.0,504,1325.8,203.803,12325.16,2.503,15529707.0
24,1022,False,False,False,False,True,True,True,False,40.0,1.0,504,1512.7,258.05100000000004,7166.08,1.9939999999999998,9029259.0
25,1023,True,False,False,True,False,True,True,True,40.0,9.0,504,1171.2,148.238,6680.8,3.4259999999999997,8417804.0
26,1024,True,False,True,False,True,True,False,True,40.0,9.0,504,1027.6,111.171,7204.780000000001,4.564,9078027.0
27,1025,False,False,False,False,True,True,True,False,40.0,5.0,504,1038.1,149.805,7159.35,3.3890000000000002,9020785.0
28,1026,False,False,True,True,True,True,True,True,20.0,9.0,504,1098.7,135.907,7662.140000000001,3.7370000000000005,9654301.0
29,1027,True,False,True,False,True,True,False,True,40.0,5.0,504,964.9,130.10199999999998,7224.5,3.904,9102865.0
30,1028,False,False,False,False,True,True,True,False,40.0,9.0,504,1142.9,138.233,7153.0,3.6730000000000005,9012777.0
31,1029,False,False,True,False,True,False,True,True,60.0,5.0,504,976.8,120.61799999999998,13888.39,4.213,17499366.0
32,1030,True,False,False,False,False,False,False,False,60.0,1.0,504,1268.5,195.077,12462.05,2.62,15702182.0
33,103,True,False,False,True,False,True,False,True,20.0,5.0,504,1016.3,136.13899999999998,6637.479999999999,3.7300000000000004,8363229.0
34,1031,False,False,True,True,False,True,False,True,60.0,5.0,504,963.2,126.51799999999999,7639.3,4.013,9625522.0
35,1032,False,False,True,False,True,False,True,True,60.0,1.0,504,1229.4,176.35399999999998,14154.959999999997,2.898,17835254.0
36,1033,True,False,False,False,False,False,False,False,60.0,5.0,504,1023.5,116.247,12191.59,4.366,15361403.0
37,1034,True,False,True,False,False,False,True,True,20.0,1.0,504,1357.2,202.722,12655.41,2.523,15945817.0
38,1035,True,False,False,False,False,False,False,False,60.0,9.0,504,1084.1,100.005,12108.34,5.069999999999999,15256506.0
39,1036,True,False,False,True,True,False,False,True,40.0,5.0,504,1030.9,119.61200000000001,12144.380000000001,4.243,15301917.0
40,1037,False,False,True,True,False,False,False,True,40.0,1.0,504,1284.2,184.04000000000002,14050.9,2.779,17704132.0
41,1038,True,False,False,True,True,False,False,True,40.0,1.0,504,1329.8,207.63900000000004,12454.47,2.458,15692637.0
42,1039,False,False,True,True,False,False,False,True,60.0,9.0,504,1062.5,94.08,13723.64,5.394,17291791.0
43,1040,True,False,False,False,False,False,True,True,60.0,1.0,504,1257.7,193.95,12530.86,2.6420000000000003,15788879.0
44,104,True,False,True,False,False,False,True,True,60.0,9.0,504,1063.3,118.674,13076.490000000002,4.281999999999999,16476380.0
45,1041,True,False,False,True,True,False,False,True,20.0,9.0,504,1103.8,105.16900000000001,11523.740000000002,4.819,14519908.0
46,1042,False,False,True,False,True,True,True,True,60.0,9.0,504,1072.3,133.98,7646.359999999999,3.7939999999999996,9634413.0
47,1043,True,False,True,False,False,False,False,True,60.0,9.0,504,1035.6,96.78900000000002,13028.23,5.244,16415564.0
48,1044,True,False,False,False,False,False,True,True,60.0,5.0,504,1011.6,134.844,12282.41,3.7670000000000003,15475839.0
49,1045,False,False,True,False,True,False,True,True,20.0,9.0,504,1093.4,120.071,13060.649999999998,4.23,16456425.0
50,1046,True,False,False,False,False,False,True,True,60.0,9.0,504,1104.8,126.207,12205.11,4.023000000000001,15378439.0
51,1047,True,False,True,False,False,False,False,False,20.0,1.0,504,1351.1,208.24699999999999,12601.97,2.456,15878486.0
52,1048,False,False,True,False,True,False,True,True,20.0,5.0,504,986.9,126.436,13147.27,4.02,16565558.0
53,1049,False,False,False,True,True,True,False,False,40.0,9.0,504,1079.2,111.18999999999998,7110.76,4.559,8959552.0
54,1050,False,False,False,False,True,True,True,False,20.0,9.0,504,1140.3,138.55399999999997,7153.0,3.665,9012777.0
55,105,True,False,False,True,False,True,False,True,20.0,9.0,504,1081.9,116.33,6631.05,4.36,8355119.0
56,1051,False,False,True,True,True,True,True,True,40.0,5.0,504,984.2,144.89000000000001,7676.460000000001,3.507,9672344.0
57,1052,True,False,False,True,False,True,False,False,40.0,1.0,504,1534.3,278.302,6722.76,1.8510000000000002,8470682.0
58,1053,False,False,True,True,True,True,True,True,40.0,1.0,504,1502.7,274.349,7712.780000000001,1.871,9718103.0
59,1054,False,False,False,True,False,False,False,False,40.0,9.0,504,1097.3,98.66900000000001,12872.72,5.137,16219621.0
60,1055,False,False,False,True,True,True,False,False,40.0,1.0,504,1515.1,261.313,7200.58,1.9689999999999999,9072729.0
61,1056,True,False,False,True,False,True,False,False,40.0,5.0,504,1026.4,136.602,6654.160000000001,3.715,8384241.0
62,1057,True,False,False,False,True,False,False,False,40.0,5.0,504,1030.2,120.05800000000002,12059.28,4.227,15194691.0
63,1058,False,False,False,True,True,True,False,False,40.0,5.0,504,1008.4,130.438,7125.33,3.8899999999999997,8977915.0
64,1059,True,False,False,False,True,False,False,False,40.0,9.0,504,1104.1,102.572,11978.52,4.941,15092929.0
65,1060,True,False,False,True,False,True,False,False,40.0,9.0,504,1086.8,115.09599999999998,6644.06,4.403,8371518.0
66,106,False,False,True,False,False,True,False,True,60.0,5.0,504,956.5,126.42699999999999,7614.31,4.017,9594028.0
67,1061,False,False,False,True,False,False,True,False,20.0,1.0,504,1360.1,202.282,12718.11,2.527,16024814.0
68,1062,True,False,True,False,True,True,False,True,60.0,5.0,504,959.4,130.77000000000004,7224.5,3.882,9102865.0
69,1063,True,False,False,True,False,True,True,True,60.0,1.0,504,1544.3,277.75200000000007,6714.910000000001,1.844,8460782.0
70,1064,False,False,True,False,True,False,False,False,20.0,1.0,504,1333.6,194.76,13295.290000000003,2.631,16752063.0
71,1065,False,False,True,True,False,False,True,True,40.0,5.0,504,981.3,124.40799999999999,13766.0,4.0840000000000005,17345166.0
72,1066,True,False,False,True,False,True,True,True,60.0,5.0,504,1060.0,160.74599999999998,6679.25,3.16,8415851.0
73,1067,True,False,True,False,True,True,False,True,60.0,1.0,504,1502.4,279.96500000000003,7279.63,1.83,9172329.0
74,1068,True,False,True,False,False,False,True,True,40.0,9.0,504,1063.8,120.43300000000002,12952.64,4.220000000000001,16320331.0
75,1069,True,False,False,False,True,False,False,False,60.0,1.0,504,1263.8,190.983,12460.69,2.672,15700470.0
76,1070,False,False,False,False,True,True,True,False,20.0,1.0,504,1489.9,252.55100000000002,7166.08,2.028,9029259.0
77,107,False,False,True,False,False,True,True,True,40.0,1.0,504,1482.2,257.51099999999997,7670.600000000001,2.0,9664950.0
78,1071,True,False,False,True,False,True,True,True,60.0,9.0,504,1154.2,147.095,6680.8,3.4520000000000004,8417804.0
79,1072,False,False,False,False,True,True,True,False,20.0,5.0,504,1049.2,150.476,7159.35,3.374,9020785.0
80,1073,True,False,True,False,True,True,False,True,60.0,9.0,504,1037.0,110.975,7204.780000000001,4.571,9078027.0
81,1074,False,False,True,True,True,True,True,True,40.0,9.0,504,1101.5,135.93800000000002,7662.140000000001,3.739,9654301.0
82,1075,False,False,True,False,True,False,True,True,40.0,5.0,504,983.0,124.36000000000001,13755.969999999998,4.087999999999999,17332520.0
83,1076,True,False,True,False,False,True,False,False,20.0,5.0,504,961.8,131.02100000000002,7231.65,3.876,9111873.0
84,1077,True,False,True,False,False,False,False,False,20.0,5.0,504,988.9,116.674,12386.880000000001,4.351,15607470.0
85,1078,False,False,True,False,True,False,True,True,40.0,1.0,504,1282.5,179.04500000000002,13996.02,2.8560000000000003,17634991.0
86,1079,True,False,False,False,False,False,False,False,40.0,1.0,504,1326.5,202.066,12316.759999999998,2.527,15519120.0
87,1080,True,False,True,False,False,False,False,False,20.0,9.0,504,1066.7,100.556,12306.429999999998,5.043000000000001,15506096.0
