configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,14579510,41.64, 0.51, 0:03.81, 1105, 504 , 133.38 , 11571.04
1001,False,False,True,True,True,True,True,True,20,1,9718103,29.03, 0.32, 0:01.97, 1488, 504 , 259.77 , 7712.78
1002,True,False,False,False,True,False,True,True,60,5,15471893,38.25, 0.47, 0:03.72, 1038, 504 , 136.46 , 12279.28
1003,False,False,False,True,True,True,False,False,20,9,8959552,49.67, 0.51, 0:04.63, 1082, 504 , 109.38 , 7110.76
1004,False,False,True,False,False,True,True,False,20,9,9628845,41.77, 0.42, 0:03.83, 1099, 504 , 132.52 , 7641.94
1005,True,False,False,True,False,True,False,False,20,1,8470682,26.47, 0.38, 0:01.72, 1556, 504 , 297.21 , 6722.76
1006,False,False,False,False,False,True,True,False,60,5,9020689,35.62, 0.40, 0:03.41, 1054, 504 , 148.66 , 7159.28
1007,True,False,False,True,False,True,False,False,20,5,8384241,37.29, 0.46, 0:03.72, 1013, 504 , 136.33 , 6654.16
1008,True,False,False,False,True,False,False,False,20,1,14791878,33.08, 0.38, 0:02.40, 1391, 504 , 212.39 , 11739.59
1009,False,False,True,True,False,False,True,True,40,9,17221565,48.55, 0.66, 0:04.39, 1120, 504 , 115.70 , 13667.91
1010,False,False,False,False,False,True,True,False,60,1,9033164,29.10, 0.34, 0:02.03, 1448, 504 , 251.73 , 7169.18
101,False,False,True,False,False,True,True,True,40,9,9629379,39.24, 0.51, 0:03.73, 1065, 504 , 136.32 , 7642.36
1011,False,False,False,True,True,True,False,False,20,1,9072729,27.68, 0.31, 0:01.82, 1532, 504 , 280.55 , 7200.58
1012,False,False,True,False,False,True,True,False,20,1,9665644,27.17, 0.26, 0:01.81, 1508, 504 , 282.14 , 7671.15
1013,True,False,False,False,True,False,False,False,20,5,14513979,42.89, 0.54, 0:04.14, 1048, 504 , 122.60 , 11519.03
1014,True,False,False,True,False,True,False,False,20,9,8371518,47.24, 0.49, 0:04.40, 1082, 504 , 115.15 , 6644.06
1015,True,False,False,True,False,True,True,True,40,1,8460782,27.96, 0.32, 0:01.89, 1496, 504 , 270.85 , 6714.91
1016,True,False,True,False,True,True,False,True,40,1,9172329,25.21, 0.35, 0:01.63, 1563, 504 , 314.86 , 7279.63
1017,True,False,True,False,False,False,True,True,20,9,15620327,42.93, 0.50, 0:04.06, 1067, 504 , 125.02 , 12397.08
1018,True,False,False,True,False,True,True,True,40,5,8415851,33.10, 0.44, 0:03.16, 1061, 504 , 160.92 , 6679.25
1019,True,False,True,False,False,False,True,True,20,5,15724928,37.20, 0.47, 0:03.69, 1018, 504 , 137.53 , 12480.10
1020,True,False,True,False,False,True,False,False,20,1,9181954,29.08, 0.30, 0:02.02, 1449, 504 , 252.45 , 7287.27
102,False,False,False,True,False,False,False,False,60,9,16379720,59.25, 0.83, 0:05.42, 1107, 504 , 93.50 , 12999.78
1021,True,False,False,False,True,False,False,False,40,1,15529707,31.93, 0.44, 0:02.43, 1329, 504 , 209.80 , 12325.16
