configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,1670642,29.31, 0.39, 0:01.84, 1607, 601 , 331.01 , 1334.29
1001,False,False,True,True,True,True,True,True,20,1,2360273,20.01, 0.39, 0:01.38, 1472, 601 , 445.08 , 1885.08
1002,True,False,False,False,True,False,True,True,60,5,1739519,27.39, 0.43, 0:02.39, 1162, 601 , 254.46 , 1389.30
1003,False,False,False,True,True,True,False,False,20,9,2156097,39.17, 0.44, 0:02.71, 1460, 601 , 224.04 , 1722.01
1004,False,False,True,False,False,True,True,False,20,9,2044585,30.26, 0.32, 0:01.75, 1743, 601 , 349.39 , 1632.95
1005,True,False,False,True,False,True,False,False,20,1,1989710,20.57, 0.33, 0:01.38, 1509, 601 , 442.85 , 1589.12
1006,False,False,False,False,False,True,True,False,60,5,1900726,23.19, 0.30, 0:01.39, 1680, 601 , 438.49 , 1518.05
1007,True,False,False,True,False,True,False,False,20,5,1952360,26.08, 0.49, 0:01.59, 1663, 601 , 383.05 , 1559.29
1008,True,False,False,False,True,False,False,False,20,1,1583864,20.21, 0.40, 0:01.78, 1157, 601 , 343.13 , 1264.98
1009,False,False,True,True,False,False,True,True,40,9,1901476,26.98, 0.44, 0:02.08, 1315, 601 , 293.75 , 1518.65
1010,False,False,False,False,False,True,True,False,60,1,1901257,20.34, 0.24, 0:01.40, 1461, 601 , 434.63 , 1518.47
101,False,False,True,False,False,True,True,True,40,9,2047452,27.94, 0.42, 0:01.57, 1804, 601 , 390.26 , 1635.24
1011,False,False,False,True,True,True,False,False,20,1,2148740,22.24, 0.37, 0:01.51, 1497, 601 , 405.75 , 1716.13
1012,False,False,True,False,False,True,True,False,20,1,2086045,20.97, 0.34, 0:01.47, 1442, 601 , 415.73 , 1666.06
1013,True,False,False,False,True,False,False,False,20,5,1602761,26.14, 0.38, 0:01.89, 1403, 601 , 322.94 , 1280.08
1014,True,False,False,True,False,True,False,False,20,9,1938982,34.47, 0.41, 0:02.13, 1635, 601 , 285.62 , 1548.60
1015,True,False,False,True,False,True,True,True,40,1,1989710,21.01, 0.40, 0:01.49, 1431, 601 , 409.76 , 1589.12
1016,True,False,True,False,True,True,False,True,40,1,2028649,18.34, 0.28, 0:01.33, 1392, 601 , 460.34 , 1620.22
1017,True,False,True,False,False,False,True,True,20,9,1676161,27.97, 0.44, 0:02.04, 1387, 601 , 299.03 , 1338.70
1018,True,False,False,True,False,True,True,True,40,5,1964687,28.87, 0.43, 0:01.89, 1543, 601 , 321.50 , 1569.13
1019,True,False,True,False,False,False,True,True,20,5,1690982,20.85, 0.36, 0:01.62, 1309, 601 , 379.00 , 1350.53
1020,True,False,True,False,False,True,False,False,20,1,1997225,18.55, 0.34, 0:01.34, 1400, 601 , 455.49 , 1595.12
102,False,False,False,True,False,False,False,False,60,9,1771395,32.93, 0.39, 0:02.65, 1255, 601 , 228.94 , 1414.76
1021,True,False,False,False,True,False,False,False,40,1,1679352,18.83, 0.52, 0:02.11, 915, 601 , 288.80 , 1341.25
1022,False,False,False,False,True,True,True,False,40,1,1961664,23.60, 0.27, 0:01.54, 1545, 601 , 396.41 , 1566.72
1023,True,False,False,True,False,True,True,True,40,9,1948287,29.72, 0.41, 0:01.66, 1811, 601 , 367.82 , 1556.04
1024,True,False,True,False,True,True,False,True,40,9,2030743,35.84, 0.46, 0:02.49, 1455, 601 , 244.25 , 1621.89
1025,False,False,False,False,True,True,True,False,40,5,1997772,28.32, 0.33, 0:01.84, 1553, 601 , 331.02 , 1595.56
1026,False,False,True,True,True,True,True,True,20,9,2314743,34.25, 0.48, 0:02.14, 1621, 601 , 285.07 , 1848.71
1027,True,False,True,False,True,True,False,True,40,5,2029784,24.80, 0.41, 0:01.64, 1529, 601 , 371.93 , 1621.13
1028,False,False,False,False,True,True,True,False,40,9,2001465,36.36, 0.40, 0:02.37, 1550, 601 , 256.59 , 1598.51
1029,False,False,True,False,True,False,True,True,60,5,1938520,24.03, 0.43, 0:02.30, 1061, 601 , 265.21 , 1548.24
1030,True,False,False,False,False,False,False,False,60,1,1684371,20.02, 0.40, 0:02.38, 857, 601 , 255.72 , 1345.25
103,True,False,False,True,False,True,False,True,20,5,1952743,27.98, 0.35, 0:01.76, 1607, 601 , 346.50 , 1559.60
1031,False,False,True,True,False,True,False,True,60,5,2258929,26.86, 0.44, 0:01.76, 1549, 601 , 348.11 , 1804.14
1032,False,False,True,False,True,False,True,True,60,1,1910350,19.24, 0.45, 0:02.24, 876, 601 , 271.67 , 1525.74
1033,True,False,False,False,False,False,False,False,60,5,1670803,25.98, 0.47, 0:02.35, 1124, 601 , 259.41 , 1334.42
1034,True,False,True,False,False,False,True,True,20,1,1696432,18.87, 0.43, 0:01.85, 1039, 601 , 330.00 , 1354.89
1035,True,False,False,False,False,False,False,False,60,9,1656719,34.45, 0.46, 0:02.74, 1270, 601 , 221.34 , 1323.17
1036,True,False,False,True,True,False,False,True,40,5,1759673,29.16, 0.49, 0:02.46, 1205, 601 , 247.27 , 1405.40
1037,False,False,True,True,False,False,False,True,40,1,1942891,19.68, 0.54, 0:02.07, 974, 601 , 294.88 , 1551.73
1038,True,False,False,True,True,False,False,True,40,1,1756308,19.55, 0.35, 0:01.93, 1029, 601 , 315.69 , 1402.71
1039,False,False,True,True,False,False,False,True,60,9,1924100,32.00, 0.57, 0:02.52, 1292, 601 , 242.00 , 1536.72
1040,True,False,False,False,False,False,True,True,60,1,1684371,19.89, 0.62, 0:02.34, 873, 601 , 259.64 , 1345.25
104,True,False,True,False,False,False,True,True,60,9,1811342,27.39, 0.44, 0:02.34, 1185, 601 , 260.10 , 1446.66
