configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,42417,0.36, 0.02, 0:00.12, 324, 300 , 2626.88 , 33.90
1001,False,False,True,True,True,True,True,True,20,1,61012,0.27, 0.02, 0:00.09, 311, 300 , 3503.08 , 48.76
1002,True,False,False,False,True,False,True,True,60,5,47565,0.33, 0.02, 0:00.12, 289, 300 , 2466.56 , 38.01
1003,False,False,False,True,True,True,False,False,20,9,55270,0.43, 0.03, 0:00.14, 317, 300 , 2112.74 , 44.17
1004,False,False,True,False,False,True,True,False,20,9,59853,0.35, 0.02, 0:00.11, 321, 300 , 2800.34 , 47.83
1005,True,False,False,True,False,True,False,False,20,1,55228,0.28, 0.01, 0:00.09, 326, 300 , 3420.95 , 44.14
1006,False,False,False,False,False,True,True,False,60,5,56734,0.31, 0.01, 0:00.09, 336, 300 , 3288.72 , 45.34
1007,True,False,False,True,False,True,False,False,20,5,54981,0.37, 0.04, 0:00.13, 318, 300 , 2418.22 , 43.94
1008,True,False,False,False,True,False,False,False,20,1,41056,0.22, 0.05, 0:00.08, 320, 300 , 3685.55 , 32.81
1009,False,False,True,True,False,False,True,True,40,9,49044,0.34, 0.02, 0:00.12, 298, 300 , 2678.21 , 39.20
1010,False,False,False,False,False,True,True,False,60,1,55161,0.26, 0.02, 0:00.08, 337, 300 , 3837.84 , 44.08
101,False,False,True,False,False,True,True,True,40,9,60868,0.37, 0.03, 0:00.12, 325, 300 , 2659.53 , 48.65
1011,False,False,False,True,True,True,False,False,20,1,55810,0.25, 0.02, 0:00.08, 333, 300 , 3791.28 , 44.60
1012,False,False,True,False,False,True,True,False,20,1,58924,0.31, 0.02, 0:00.10, 310, 300 , 3098.73 , 47.09
1013,True,False,False,False,True,False,False,False,20,5,41167,0.32, 0.01, 0:00.11, 299, 300 , 2758.93 , 32.90
1014,True,False,False,True,False,True,False,False,20,9,54700,0.49, 0.02, 0:00.16, 320, 300 , 1943.65 , 43.72
1015,True,False,False,True,False,True,True,True,40,1,56087,0.28, 0.01, 0:00.08, 343, 300 , 3653.99 , 44.82
1016,True,False,True,False,True,True,False,True,40,1,58990,0.29, 0.01, 0:00.10, 309, 300 , 3347.69 , 47.14
1017,True,False,True,False,False,False,True,True,20,9,42942,0.35, 0.02, 0:00.12, 310, 300 , 2707.97 , 34.32
1018,True,False,False,True,False,True,True,True,40,5,56716,0.30, 0.01, 0:00.09, 342, 300 , 3351.39 , 45.33
1019,True,False,True,False,False,False,True,True,20,5,43150,0.30, 0.03, 0:00.10, 311, 300 , 2920.19 , 34.49
1020,True,False,True,False,False,True,False,False,20,1,57914,0.28, 0.02, 0:00.09, 321, 300 , 3547.40 , 46.28
102,False,False,False,True,False,False,False,False,60,9,46931,0.41, 0.03, 0:00.16, 277, 300 , 1936.43 , 37.51
1021,True,False,False,False,True,False,False,False,40,1,45067,0.23, 0.02, 0:00.09, 290, 300 , 3539.15 , 36.02
1022,False,False,False,False,True,True,True,False,40,1,55434,0.26, 0.01, 0:00.08, 332, 300 , 3806.53 , 44.30
1023,True,False,False,True,False,True,True,True,40,9,57008,0.37, 0.03, 0:00.11, 343, 300 , 2659.90 , 45.56
1024,True,False,True,False,True,True,False,True,40,9,58511,0.46, 0.03, 0:00.16, 301, 300 , 1967.42 , 46.76
1025,False,False,False,False,True,True,True,False,40,5,56758,0.33, 0.01, 0:00.10, 339, 300 , 2935.33 , 45.36
1026,False,False,True,True,True,True,True,True,20,9,61229,0.41, 0.02, 0:00.13, 321, 300 , 2366.73 , 48.93
1027,True,False,True,False,True,True,False,True,40,5,58988,0.39, 0.03, 0:00.14, 296, 300 , 2288.85 , 47.14
1028,False,False,False,False,True,True,True,False,40,9,56626,0.43, 0.02, 0:00.13, 336, 300 , 2316.32 , 45.26
1029,False,False,True,False,True,False,True,True,60,5,51759,0.33, 0.03, 0:00.13, 264, 300 , 2406.72 , 41.37
1030,True,False,False,False,False,False,False,False,60,1,46966,0.26, 0.00, 0:00.10, 274, 300 , 3161.16 , 37.54
103,True,False,False,True,False,True,False,True,20,5,55945,0.35, 0.02, 0:00.11, 335, 300 , 2765.13 , 44.71
1031,False,False,True,True,False,True,False,True,60,5,60404,0.33, 0.02, 0:00.11, 312, 300 , 2796.03 , 48.27
1032,False,False,True,False,True,False,True,True,60,1,50385,0.27, 0.02, 0:00.11, 263, 300 , 3020.48 , 40.27
1033,True,False,False,False,False,False,False,False,60,5,46709,0.34, 0.03, 0:00.13, 275, 300 , 2259.41 , 37.33
1034,True,False,True,False,False,False,True,True,20,1,42598,0.25, 0.02, 0:00.09, 288, 300 , 3578.20 , 34.04
1035,True,False,False,False,False,False,False,False,60,9,46287,0.37, 0.04, 0:00.15, 271, 300 , 2054.20 , 36.99
1036,True,False,False,True,True,False,False,True,40,5,45769,0.35, 0.01, 0:00.13, 283, 300 , 2423.09 , 36.58
1037,False,False,True,True,False,False,False,True,40,1,48648,0.27, 0.02, 0:00.10, 279, 300 , 3099.78 , 38.88
1038,True,False,False,True,True,False,False,True,40,1,45675,0.25, 0.01, 0:00.09, 290, 300 , 3448.67 , 36.50
1039,False,False,True,True,False,False,False,True,60,9,50097,0.38, 0.02, 0:00.15, 264, 300 , 2138.20 , 40.04
1040,True,False,False,False,False,False,True,True,60,1,46720,0.24, 0.02, 0:00.09, 271, 300 , 3237.61 , 37.34
104,True,False,True,False,False,False,True,True,60,9,49647,0.32, 0.03, 0:00.12, 284, 300 , 2667.38 , 39.68
1041,True,False,False,True,True,False,False,True,20,9,41766,0.43, 0.01, 0:00.14, 303, 300 , 2108.76 , 33.38
1042,False,False,True,False,True,True,True,True,60,9,61306,0.40, 0.02, 0:00.13, 323, 300 , 2446.84 , 49.00
1043,True,False,True,False,False,False,False,True,60,9,49286,0.42, 0.02, 0:00.16, 269, 300 , 1951.94 , 39.39
1044,True,False,False,False,False,False,True,True,60,5,47338,0.27, 0.03, 0:00.11, 280, 300 , 2887.56 , 37.83
1045,False,False,True,False,True,False,True,True,20,9,44984,0.45, 0.03, 0:00.15, 308, 300 , 2045.12 , 35.95
1046,True,False,False,False,False,False,True,True,60,9,47762,0.34, 0.03, 0:00.13, 283, 300 , 2405.56 , 38.17
