configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,2986718,10.92, 0.22, 0:01.79, 619, 2000 , 1119.19 , 358.05
1001,False,False,True,True,True,True,True,True,20,1,5153651,9.66, 0.25, 0:01.60, 617, 2000 , 1257.90 , 617.82
1002,True,False,False,False,True,False,True,True,60,5,3431869,10.74, 0.34, 0:02.01, 548, 2000 , 997.05 , 411.41
1003,False,False,False,True,True,True,False,False,20,9,3886636,16.96, 0.28, 0:03.13, 550, 2000 , 640.84 , 465.93
1004,False,False,True,False,False,True,True,False,20,9,4332254,13.10, 0.22, 0:02.31, 575, 2000 , 869.80 , 519.35
1005,True,False,False,True,False,True,False,False,20,1,4139973,8.90, 0.18, 0:01.38, 657, 2000 , 1455.40 , 496.30
1006,False,False,False,False,False,True,True,False,60,5,3892801,11.13, 0.24, 0:02.07, 548, 2000 , 967.93 , 466.67
1007,True,False,False,True,False,True,False,False,20,5,3820386,12.34, 0.32, 0:02.34, 541, 2000 , 857.10 , 457.99
1008,True,False,False,False,True,False,False,False,20,1,3379896,8.84, 0.20, 0:01.58, 572, 2000 , 1273.39 , 405.18
1009,False,False,True,True,False,False,True,True,40,9,3919876,12.64, 0.27, 0:02.28, 565, 2000 , 880.72 , 469.92
1010,False,False,False,False,False,True,True,False,60,1,4186084,9.81, 0.19, 0:01.61, 620, 2000 , 1246.20 , 501.83
101,False,False,True,False,False,True,True,True,40,9,4323264,12.89, 0.29, 0:02.31, 570, 2000 , 871.96 , 518.27
1011,False,False,False,True,True,True,False,False,20,1,4308910,9.41, 0.21, 0:01.50, 641, 2000 , 1339.22 , 516.55
1012,False,False,True,False,False,True,True,False,20,1,4984942,10.26, 0.16, 0:01.73, 602, 2000 , 1165.14 , 597.60
1013,True,False,False,False,True,False,False,False,20,5,3014560,12.54, 0.34, 0:02.47, 519, 2000 , 810.02 , 361.39
1014,True,False,False,True,False,True,False,False,20,9,3745757,15.61, 0.33, 0:02.88, 553, 2000 , 696.54 , 449.04
1015,True,False,False,True,False,True,True,True,40,1,4139973,9.15, 0.18, 0:01.43, 650, 2000 , 1399.62 , 496.30
1016,True,False,True,False,True,True,False,True,40,1,4851202,9.31, 0.19, 0:01.53, 618, 2000 , 1311.53 , 581.56
1017,True,False,True,False,False,False,True,True,20,9,3382649,11.59, 0.26, 0:02.05, 578, 2000 , 983.93 , 405.51
1018,True,False,False,True,False,True,True,True,40,5,3836701,10.19, 0.27, 0:01.83, 571, 2000 , 1097.77 , 459.94
1019,True,False,True,False,False,False,True,True,20,5,3581778,10.07, 0.30, 0:01.91, 540, 2000 , 1050.47 , 429.38
1020,True,False,True,False,False,True,False,False,20,1,4848432,9.76, 0.23, 0:01.64, 607, 2000 , 1226.48 , 581.23
102,False,False,False,True,False,False,False,False,60,9,3474330,17.98, 0.34, 0:03.48, 525, 2000 , 575.66 , 416.50
1021,True,False,False,False,True,False,False,False,40,1,3779426,9.35, 0.23, 0:01.73, 551, 2000 , 1156.99 , 453.08
1022,False,False,False,False,True,True,True,False,40,1,4176083,9.97, 0.16, 0:01.61, 626, 2000 , 1242.16 , 500.63
1023,True,False,False,True,False,True,True,True,40,9,3774133,12.07, 0.23, 0:02.03, 604, 2000 , 987.71 , 452.44
1024,True,False,True,False,True,True,False,True,40,9,4130556,17.35, 0.26, 0:03.21, 548, 2000 , 625.43 , 495.17
1025,False,False,False,False,True,True,True,False,40,5,3891896,11.66, 0.24, 0:02.14, 554, 2000 , 935.02 , 466.56
