,configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,frames,cpu,fps,kbs,etime,size
0,1,True,False,False,True,True,False,True,True,20.0,9.0,494,336.5,2277.7470000000003,38.34000000000001,0.21800000000000003,79002.0
1,1001,False,False,True,True,True,True,True,True,20.0,1.0,494,332.0,3064.96,49.69,0.16799999999999998,102390.0
2,1002,True,False,False,False,True,False,True,True,60.0,5.0,494,305.5,2603.2480000000005,40.95,0.191,84363.0
3,1003,False,False,False,True,True,True,False,False,20.0,9.0,494,299.8,1480.8570000000002,47.290000000000006,0.33299999999999996,97426.0
4,1004,False,False,True,False,False,True,True,False,20.0,9.0,494,332.2,2117.179,48.720000000000006,0.24100000000000002,100390.0
5,1005,True,False,False,True,False,True,False,False,20.0,1.0,494,346.5,3279.1150000000002,44.05,0.151,90758.0
6,1006,False,False,False,False,False,True,True,False,60.0,5.0,494,343.3,2573.8370000000004,46.39,0.193,95588.0
7,1007,True,False,False,True,False,True,False,False,20.0,5.0,494,323.5,2158.1369999999997,43.81,0.22999999999999998,90270.0
8,1008,True,False,False,False,True,False,False,False,20.0,1.0,494,330.7,3397.1730000000002,37.14,0.14900000000000002,76530.0
9,1009,False,False,True,True,False,False,True,True,40.0,9.0,494,319.1,2330.2300000000005,42.89,0.22200000000000003,88365.0
10,1010,False,False,False,False,False,True,True,False,60.0,1.0,494,341.5,2988.531,45.63,0.16799999999999998,94014.0
11,101,False,False,True,False,False,True,True,True,40.0,9.0,494,338.8,2209.4300000000003,48.970000000000006,0.23399999999999999,100893.0
12,1011,False,False,False,True,True,True,False,False,20.0,1.0,494,338.4,3066.6459999999997,47.11,0.16199999999999998,97074.0
13,1012,False,False,True,False,False,True,True,False,20.0,1.0,494,325.6,2908.921,48.38,0.177,99678.0
14,1013,True,False,False,False,True,False,False,False,20.0,5.0,494,295.4,2105.1369999999997,37.33,0.23500000000000001,76906.0
