configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,29657456,144.29, 1.16, 0:06.25, 2326, 500 , 80.54 , 23725.96
1001,False,False,True,True,True,True,True,True,20,1,22922055,110.48, 0.80, 0:04.52, 2458, 500 , 111.58 , 18337.64
1002,True,False,False,False,True,False,True,True,60,5,29720823,103.13, 0.90, 0:04.84, 2148, 500 , 104.12 , 23776.66
1003,False,False,False,True,True,True,False,False,20,9,20230013,168.75, 1.04, 0:07.77, 2184, 500 , 64.66 , 16184.01
1004,False,False,True,False,False,True,True,False,20,9,22781705,116.12, 1.00, 0:04.44, 2635, 500 , 113.62 , 18225.36
1005,True,False,False,True,False,True,False,False,20,1,19792497,100.80, 0.78, 0:04.02, 2525, 500 , 125.56 , 15834.00
1006,False,False,False,False,False,True,True,False,60,5,20428333,124.41, 0.73, 0:05.26, 2379, 500 , 95.74 , 16342.67
1007,True,False,False,True,False,True,False,False,20,5,19551575,116.02, 0.82, 0:05.25, 2222, 500 , 95.75 , 15641.26
1008,True,False,False,False,True,False,False,False,20,1,29085269,106.29, 0.82, 0:04.58, 2335, 500 , 109.91 , 23268.22
1009,False,False,True,True,False,False,True,True,40,9,34466950,131.54, 1.11, 0:05.50, 2409, 500 , 91.50 , 27573.56
1010,False,False,False,False,False,True,True,False,60,1,20257515,108.06, 0.69, 0:04.28, 2540, 500 , 117.83 , 16206.01
101,False,False,True,False,False,True,True,True,40,9,22786705,126.05, 0.97, 0:05.39, 2354, 500 , 93.41 , 18229.36
1011,False,False,False,True,True,True,False,False,20,1,20523188,107.67, 0.71, 0:04.31, 2514, 500 , 117.07 , 16418.55
1012,False,False,True,False,False,True,True,False,20,1,22582666,89.05, 0.76, 0:03.79, 2369, 500 , 133.33 , 18066.13
1013,True,False,False,False,True,False,False,False,20,5,28790772,130.91, 0.79, 0:06.10, 2156, 500 , 82.41 , 23032.62
1014,True,False,False,True,False,True,False,False,20,9,19412408,153.45, 1.02, 0:06.94, 2225, 500 , 72.45 , 15529.93
1015,True,False,False,True,False,True,True,True,40,1,19792497,103.75, 0.83, 0:04.06, 2575, 500 , 124.12 , 15834.00
1016,True,False,True,False,True,True,False,True,40,1,21718777,77.74, 0.71, 0:03.18, 2467, 500 , 159.38 , 17375.02
1017,True,False,True,False,False,False,True,True,20,9,32521890,128.15, 1.06, 0:05.30, 2435, 500 , 94.93 , 26017.51
