,configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,frames,cpu,fps,kbs,etime,size
0,1,True,False,False,True,True,False,True,True,20.0,9.0,1374,703.2,1315.615,225.03000000000003,1.052,1289567.0
1,1001,False,False,True,True,True,True,True,True,20.0,1.0,1374,726.8,1832.9990000000003,281.44,0.759,1612870.0
2,1002,True,False,False,False,True,False,True,True,60.0,5.0,1374,614.3,1319.6349999999998,239.30000000000004,1.049,1371341.0
3,1003,False,False,False,True,True,True,False,False,20.0,9.0,1374,631.4,935.269,249.34,1.474,1428898.0
4,1004,False,False,True,False,False,True,True,False,20.0,9.0,1374,728.1,1315.951,270.2200000000001,1.055,1548544.0
5,1005,True,False,False,True,False,True,False,False,20.0,1.0,1374,753.3,1927.08,251.6,0.718,1441837.0
6,1006,False,False,False,False,False,True,True,False,60.0,5.0,1374,723.0,1533.3380000000002,254.92,0.9019999999999999,1460892.0
7,1007,True,False,False,True,False,True,False,False,20.0,5.0,1374,657.1,1281.5739999999998,243.83,1.079,1397314.0
8,1008,True,False,False,False,True,False,False,False,20.0,1.0,1374,637.1,1692.786,227.20999999999998,0.818,1302096.0
9,1009,False,False,True,True,False,False,True,True,40.0,9.0,1374,656.0,1175.5459999999998,259.05000000000007,1.1829999999999998,1484530.0
10,1010,False,False,False,False,False,True,True,False,60.0,1.0,1374,725.7,1744.788,257.39,0.7909999999999999,1475022.0
11,101,False,False,True,False,False,True,True,True,40.0,9.0,1374,729.0,1329.242,270.32000000000005,1.0450000000000002,1549124.0
12,1011,False,False,False,True,True,True,False,False,20.0,1.0,1374,748.4,1914.5309999999997,261.67,0.723,1499584.0
13,1012,False,False,True,False,False,True,True,False,20.0,1.0,1374,705.4,1683.3999999999996,275.92999999999995,0.828,1581252.0
14,1013,True,False,False,False,True,False,False,False,20.0,5.0,1374,629.5,1273.9289999999999,221.06,1.0830000000000002,1266835.0
15,1014,True,False,False,True,False,True,False,False,20.0,9.0,1374,635.1,951.025,239.33,1.452,1371520.0
16,1015,True,False,False,True,False,True,True,True,40.0,1.0,1374,751.7,1923.5,251.75,0.721,1442701.0
17,1016,True,False,True,False,True,True,False,True,40.0,1.0,1374,738.8,1961.6439999999998,268.9700000000001,0.7129999999999999,1541412.0
18,1017,True,False,True,False,False,False,True,True,20.0,9.0,1374,693.2,1334.8799999999999,238.70999999999998,1.042,1368001.0
19,1018,True,False,False,True,False,True,True,True,40.0,5.0,1374,736.7,1614.571,248.22999999999996,0.8560000000000001,1422553.0
20,1019,True,False,True,False,False,False,True,True,20.0,5.0,1374,650.9,1466.062,242.27000000000004,0.9490000000000001,1388402.0
21,1020,True,False,True,False,False,True,False,False,20.0,1.0,1374,726.8,1874.6449999999998,268.14,0.744,1536615.0
22,102,False,False,False,True,False,False,False,False,60.0,9.0,1374,586.5,870.134,238.73999999999995,1.589,1368141.0
23,1021,True,False,False,False,True,False,False,False,40.0,1.0,1374,597.4,1524.6799999999998,237.94999999999996,0.9099999999999999,1363642.0
24,1022,False,False,False,False,True,True,True,False,40.0,1.0,1374,750.6,1893.5819999999999,257.67999999999995,0.7310000000000001,1476685.0
25,1023,True,False,False,True,False,True,True,True,40.0,9.0,1374,755.7,1401.1280000000002,245.82000000000002,0.9869999999999998,1408728.0
26,1024,True,False,True,False,True,True,False,True,40.0,9.0,1374,632.6,978.6790000000001,257.40999999999997,1.4149999999999998,1475161.0
27,1025,False,False,False,False,True,True,True,False,40.0,5.0,1374,715.2,1515.416,255.38000000000002,0.9129999999999999,1463534.0
28,1026,False,False,True,True,True,True,True,True,20.0,9.0,1374,722.2,1299.674,274.87,1.0690000000000002,1575210.0
29,1027,True,False,True,False,True,True,False,True,40.0,5.0,1374,648.4,1297.3790000000001,262.17,1.0690000000000002,1502402.0
30,1028,False,False,False,False,True,True,True,False,40.0,9.0,1374,737.5,1326.8200000000002,252.65,1.042,1447848.0
31,1029,False,False,True,False,True,False,True,True,60.0,5.0,1374,588.5,1201.6100000000001,264.09000000000003,1.1569999999999998,1513447.0
32,1030,True,False,False,False,False,False,False,False,60.0,1.0,1374,575.0,1426.085,241.05000000000004,0.9710000000000001,1381416.0
33,103,True,False,False,True,False,True,False,True,20.0,5.0,1374,658.3,1288.1070000000002,244.02000000000004,1.072,1398405.0
34,1031,False,False,True,True,False,True,False,True,60.0,5.0,1374,634.3,1185.406,273.12,1.171,1565155.0
35,1032,False,False,True,False,True,False,True,True,60.0,1.0,1374,559.8,1323.068,266.48999999999995,1.052,1527204.0
36,1033,True,False,False,False,False,False,False,False,60.0,5.0,1374,591.7,1161.142,233.61000000000004,1.19,1338760.0
37,1034,True,False,True,False,False,False,True,True,20.0,1.0,1374,621.6,1633.011,244.65,0.851,1402025.0
38,1035,True,False,False,False,False,False,False,False,60.0,9.0,1374,594.0,923.799,228.92,1.498,1311866.0
39,1036,True,False,False,True,True,False,False,True,40.0,5.0,1374,598.6,1161.6960000000001,234.19999999999996,1.191,1342131.0
40,1037,False,False,True,True,False,False,False,True,40.0,1.0,1374,596.1,1438.6370000000002,266.05000000000007,0.968,1524661.0
41,1038,True,False,False,True,True,False,False,True,40.0,1.0,1374,600.7,1540.8290000000002,241.61000000000004,0.898,1384576.0
42,1039,False,False,True,True,False,False,False,True,60.0,9.0,1374,572.5,870.8120000000001,257.0299999999999,1.5939999999999999,1472966.0
43,1040,True,False,False,False,False,False,True,True,60.0,1.0,1374,574.8,1402.1709999999998,241.19,0.9879999999999999,1382185.0
44,104,True,False,True,False,False,False,True,True,60.0,9.0,1374,639.3,1168.2019999999998,253.52000000000004,1.19,1452838.0
45,1041,True,False,False,True,True,False,False,True,20.0,9.0,1374,614.7,967.983,219.58,1.427,1258356.0
46,1042,False,False,True,False,True,True,True,True,60.0,9.0,1374,717.5,1267.566,271.19999999999993,1.0970000000000002,1554188.0
47,1043,True,False,True,False,False,False,False,True,60.0,9.0,1374,579.9,901.0310000000002,247.86000000000004,1.541,1420444.0
48,1044,True,False,False,False,False,False,True,True,60.0,5.0,1374,613.7,1303.683,238.05000000000004,1.063,1364221.0
49,1045,False,False,True,False,True,False,True,True,20.0,9.0,1374,674.2,1229.213,245.92,1.131,1409281.0
50,1046,True,False,False,False,False,False,True,True,60.0,9.0,1374,656.6,1171.364,235.01000000000005,1.1809999999999998,1346783.0
51,1047,True,False,True,False,False,False,False,False,20.0,1.0,1374,622.2,1619.8379999999997,244.61000000000004,0.859,1401776.0
52,1048,False,False,True,False,True,False,True,True,20.0,5.0,1374,645.8,1404.046,249.19999999999996,0.9879999999999999,1428105.0
53,1049,False,False,False,True,True,True,False,False,40.0,9.0,1374,629.9,943.2909999999999,249.34,1.463,1428898.0
54,1050,False,False,False,False,True,True,True,False,20.0,9.0,1374,736.9,1308.643,252.65,1.056,1447848.0
55,105,True,False,False,True,False,True,False,True,20.0,9.0,1374,640.2,956.8299999999999,239.38000000000002,1.442,1371796.0
56,1051,False,False,True,True,True,True,True,True,40.0,5.0,1374,702.2,1496.202,278.14,0.93,1593939.0
