configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,21242991,56.41, 0.50, 0:03.67, 1549, 500 , 137.35 , 16994.39
1001,False,False,True,True,True,True,True,True,20,1,15551305,37.59, 0.39, 0:02.50, 1518, 500 , 202.52 , 12441.04
1002,True,False,False,False,True,False,True,True,60,5,21011610,48.75, 0.48, 0:03.42, 1438, 500 , 147.70 , 16809.29
1003,False,False,False,True,True,True,False,False,20,9,11469459,62.69, 0.38, 0:04.89, 1288, 500 , 102.66 , 9175.57
1004,False,False,True,False,False,True,True,False,20,9,13460896,46.37, 0.52, 0:03.20, 1461, 500 , 157.61 , 10768.72
1005,True,False,False,True,False,True,False,False,20,1,11080132,33.22, 0.39, 0:02.20, 1522, 500 , 229.42 , 8864.11
1006,False,False,False,False,False,True,True,False,60,5,11531287,43.11, 0.44, 0:03.04, 1430, 500 , 165.79 , 9225.03
1007,True,False,False,True,False,True,False,False,20,5,10982276,51.26, 0.46, 0:03.94, 1312, 500 , 127.84 , 8785.82
1008,True,False,False,False,True,False,False,False,20,1,20060113,40.89, 0.46, 0:02.77, 1489, 500 , 182.15 , 16048.09
1009,False,False,True,True,False,False,True,True,40,9,25275816,54.73, 0.75, 0:03.77, 1471, 500 , 134.09 , 20220.65
1010,False,False,False,False,False,True,True,False,60,1,11485705,36.47, 0.48, 0:02.49, 1480, 500 , 202.69 , 9188.56
101,False,False,True,False,False,True,True,True,40,9,15471893,48.93, 0.49, 0:03.28, 1505, 500 , 154.04 , 12377.51
1011,False,False,False,True,True,True,False,False,20,1,11519292,36.90, 0.36, 0:02.58, 1443, 500 , 195.97 , 9215.43
1012,False,False,True,False,False,True,True,False,20,1,13431062,34.47, 0.45, 0:02.31, 1507, 500 , 219.02 , 10744.85
1013,True,False,False,False,True,False,False,False,20,5,19940964,56.18, 0.58, 0:04.23, 1341, 500 , 119.07 , 15952.77
1014,True,False,False,True,False,True,False,False,20,9,10954859,62.44, 0.55, 0:04.89, 1287, 500 , 102.83 , 8763.89
1015,True,False,False,True,False,True,True,True,40,1,12656246,34.35, 0.47, 0:02.20, 1579, 500 , 229.85 , 10125.00
1016,True,False,True,False,True,True,False,True,40,1,14970295,34.84, 0.32, 0:02.23, 1570, 500 , 226.55 , 11976.24
1017,True,False,True,False,False,False,True,True,20,9,24451399,54.35, 0.44, 0:03.61, 1516, 500 , 139.75 , 19561.12
1018,True,False,False,True,False,True,True,True,40,5,12706764,43.50, 0.51, 0:02.90, 1518, 500 , 173.92 , 10165.41
1019,True,False,True,False,False,False,True,True,20,5,24452741,45.59, 0.48, 0:03.07, 1497, 500 , 164.38 , 19562.19
1020,True,False,True,False,False,True,False,False,20,1,13011349,35.77, 0.35, 0:02.32, 1552, 500 , 217.96 , 10409.08
102,False,False,False,True,False,False,False,False,60,9,20810690,71.92, 0.77, 0:05.74, 1265, 500 , 87.46 , 16648.55
1021,True,False,False,False,True,False,False,False,40,1,20080764,40.10, 0.41, 0:02.84, 1425, 500 , 178.00 , 16064.61
1022,False,False,False,False,True,True,True,False,40,1,11496100,36.26, 0.44, 0:02.45, 1493, 500 , 205.81 , 9196.88
1023,True,False,False,True,False,True,True,True,40,9,12723134,49.04, 0.40, 0:03.28, 1505, 500 , 153.57 , 10178.51
1024,True,False,True,False,True,True,False,True,40,9,14881340,60.28, 0.49, 0:04.48, 1355, 500 , 112.36 , 11905.07
1025,False,False,False,False,True,True,True,False,40,5,11530467,42.72, 0.45, 0:03.00, 1439, 500 , 168.40 , 9224.37
1026,False,False,True,True,True,True,True,True,20,9,15638044,51.00, 0.39, 0:03.42, 1500, 500 , 147.51 , 12510.44
1027,True,False,True,False,True,True,False,True,40,5,14924277,49.28, 0.42, 0:03.60, 1379, 500 , 140.14 , 11939.42
1028,False,False,False,False,True,True,True,False,40,9,11547674,50.89, 0.42, 0:03.52, 1456, 500 , 143.14 , 9238.14
1029,False,False,True,False,True,False,True,True,60,5,25090828,54.57, 0.52, 0:03.82, 1439, 500 , 131.98 , 20072.66
1030,True,False,False,False,False,False,False,False,60,1,20079167,42.22, 0.44, 0:03.08, 1381, 500 , 163.35 , 16063.33
103,True,False,False,True,False,True,False,True,20,5,12610933,46.85, 0.48, 0:03.38, 1396, 500 , 148.78 , 10088.75
1031,False,False,True,True,False,True,False,True,60,5,15549278,49.32, 0.41, 0:03.54, 1402, 500 , 142.42 , 12439.42
1032,False,False,True,False,True,False,True,True,60,1,24986143,42.17, 0.52, 0:02.97, 1437, 500 , 170.53 , 19988.91
1033,True,False,False,False,False,False,False,False,60,5,19952247,55.46, 0.60, 0:04.31, 1299, 500 , 116.87 , 15961.80
1034,True,False,True,False,False,False,True,True,20,1,24363813,42.64, 0.50, 0:02.80, 1536, 500 , 180.43 , 19491.05
1035,True,False,False,False,False,False,False,False,60,9,19924445,71.66, 0.53, 0:05.63, 1280, 500 , 89.29 , 15939.56
