configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,844233,1.26, 0.02, 0:00.28, 452, 150 , 545.66 , 1349.42
1001,False,False,True,True,True,True,True,True,20,1,754862,1.14, 0.03, 0:00.23, 503, 150 , 683.81 , 1206.57
1002,True,False,False,False,True,False,True,True,60,5,863657,1.15, 0.07, 0:00.31, 388, 150 , 488.83 , 1380.47
1003,False,False,False,True,True,True,False,False,20,9,657829,1.57, 0.04, 0:00.33, 489, 150 , 465.08 , 1051.47
1004,False,False,True,False,False,True,True,False,20,9,736346,1.32, 0.02, 0:00.27, 497, 150 , 584.11 , 1176.98
1005,True,False,False,True,False,True,False,False,20,1,652972,0.95, 0.02, 0:00.19, 516, 150 , 817.97 , 1043.71
1006,False,False,False,False,False,True,True,False,60,5,675071,1.16, 0.04, 0:00.23, 506, 150 , 652.33 , 1079.03
1007,True,False,False,True,False,True,False,False,20,5,630792,1.23, 0.06, 0:00.26, 492, 150 , 585.47 , 1008.26
1008,True,False,False,False,True,False,False,False,20,1,844959,1.00, 0.03, 0:00.23, 437, 150 , 649.17 , 1350.58
1009,False,False,True,True,False,False,True,True,40,9,962908,1.48, 0.06, 0:00.35, 431, 150 , 438.10 , 1539.11
1010,False,False,False,False,False,True,True,False,60,1,684814,1.02, 0.03, 0:00.20, 515, 150 , 749.61 , 1094.61
101,False,False,True,False,False,True,True,True,40,9,739299,1.31, 0.04, 0:00.27, 501, 150 , 589.25 , 1181.70
1011,False,False,False,True,True,True,False,False,20,1,685317,1.03, 0.03, 0:00.21, 509, 150 , 739.98 , 1095.41
1012,False,False,True,False,False,True,True,False,20,1,753355,1.16, 0.02, 0:00.24, 497, 150 , 660.97 , 1204.16
1013,True,False,False,False,True,False,False,False,20,5,817283,1.32, 0.05, 0:00.31, 442, 150 , 493.14 , 1306.35
1014,True,False,False,True,False,True,False,False,20,9,626842,1.55, 0.03, 0:00.31, 501, 150 , 482.47 , 1001.95
1015,True,False,False,True,False,True,True,True,40,1,657180,0.96, 0.03, 0:00.19, 527, 150 , 821.93 , 1050.44
1016,True,False,True,False,True,True,False,True,40,1,730627,1.10, 0.03, 0:00.23, 483, 150 , 678.66 , 1167.84
1017,True,False,True,False,False,False,True,True,20,9,925432,1.35, 0.03, 0:00.31, 440, 150 , 499.77 , 1479.21
1018,True,False,False,True,False,True,True,True,40,5,647149,1.05, 0.04, 0:00.21, 522, 150 , 740.02 , 1034.40
1019,True,False,True,False,False,False,True,True,20,5,930801,1.18, 0.06, 0:00.29, 424, 150 , 531.91 , 1487.79
