configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,1164016,2.69, 0.03, 0:00.40, 671, 260 , 657.74 , 1074.48
1001,False,False,True,True,True,True,True,True,20,1,1072100,2.21, 0.03, 0:00.33, 681, 260 , 827.55 , 989.63
1002,True,False,False,False,True,False,True,True,60,5,1159750,2.35, 0.06, 0:00.40, 599, 260 , 661.92 , 1070.54
1003,False,False,False,True,True,True,False,False,20,9,954794,3.88, 0.07, 0:00.63, 622, 260 , 414.83 , 881.35
1004,False,False,True,False,False,True,True,False,20,9,1068241,2.69, 0.04, 0:00.40, 682, 260 , 676.83 , 986.07
1005,True,False,False,True,False,True,False,False,20,1,954910,2.12, 0.04, 0:00.30, 710, 260 , 872.11 , 881.46
1006,False,False,False,False,False,True,True,False,60,5,963146,2.28, 0.05, 0:00.33, 688, 260 , 788.85 , 889.06
1007,True,False,False,True,False,True,False,False,20,5,943434,3.26, 0.04, 0:00.53, 619, 260 , 494.02 , 870.86
1008,True,False,False,False,True,False,False,False,20,1,1157956,2.20, 0.03, 0:00.33, 666, 260 , 795.34 , 1068.88
1009,False,False,True,True,False,False,True,True,40,9,1305449,2.96, 0.06, 0:00.49, 612, 260 , 545.84 , 1205.03
1010,False,False,False,False,False,True,True,False,60,1,962655,2.13, 0.06, 0:00.31, 691, 260 , 837.03 , 888.60
101,False,False,True,False,False,True,True,True,40,9,1068141,2.66, 0.06, 0:00.40, 679, 260 , 672.42 , 985.98
1011,False,False,False,True,True,True,False,False,20,1,969144,2.11, 0.04, 0:00.31, 692, 260 , 858.05 , 894.59
1012,False,False,True,False,False,True,True,False,20,1,1069329,2.19, 0.02, 0:00.32, 692, 260 , 845.41 , 987.07
1013,True,False,False,False,True,False,False,False,20,5,1144036,2.87, 0.05, 0:00.46, 627, 260 , 566.89 , 1056.03
1014,True,False,False,True,False,True,False,False,20,9,939430,3.63, 0.03, 0:00.59, 619, 260 , 445.64 , 867.17
1015,True,False,False,True,False,True,True,True,40,1,954852,2.01, 0.03, 0:00.29, 703, 260 , 919.43 , 881.40
1016,True,False,True,False,True,True,False,True,40,1,1041051,2.00, 0.06, 0:00.30, 688, 260 , 906.79 , 960.97
1017,True,False,True,False,False,False,True,True,20,9,1265610,2.66, 0.05, 0:00.41, 659, 260 , 657.63 , 1168.26
1018,True,False,False,True,False,True,True,True,40,5,955639,2.35, 0.04, 0:00.35, 685, 260 , 762.33 , 882.13
1019,True,False,True,False,False,False,True,True,20,5,1268166,2.37, 0.05, 0:00.38, 634, 260 , 707.41 , 1170.61
1020,True,False,True,False,False,True,False,False,20,1,1041580,2.10, 0.01, 0:00.32, 654, 260 , 841.64 , 961.46
102,False,False,False,True,False,False,False,False,60,9,1166929,4.03, 0.08, 0:00.71, 577, 260 , 370.80 , 1077.17
1021,True,False,False,False,True,False,False,False,40,1,1159774,2.14, 0.06, 0:00.35, 622, 260 , 753.16 , 1070.56
1022,False,False,False,False,True,True,True,False,40,1,965567,2.14, 0.08, 0:00.32, 685, 260 , 822.00 , 891.29
1023,True,False,False,True,False,True,True,True,40,9,953887,2.56, 0.05, 0:00.37, 706, 260 , 721.02 , 880.51
1024,True,False,True,False,True,True,False,True,40,9,1028326,3.69, 0.05, 0:00.62, 604, 260 , 429.90 , 949.22
1025,False,False,False,False,True,True,True,False,40,5,964438,2.37, 0.05, 0:00.35, 680, 260 , 746.34 , 890.25
1026,False,False,True,True,True,True,True,True,20,9,1076049,2.69, 0.05, 0:00.39, 688, 260 , 677.55 , 993.28
1027,True,False,True,False,True,True,False,True,40,5,1033550,3.20, 0.05, 0:00.54, 597, 260 , 490.88 , 954.05
1028,False,False,False,False,True,True,True,False,40,9,962301,2.69, 0.04, 0:00.40, 685, 260 , 668.11 , 888.28
1029,False,False,True,False,True,False,True,True,60,5,1305076,2.58, 0.05, 0:00.45, 585, 260 , 600.04 , 1204.69
1030,True,False,False,False,False,False,False,False,60,1,1158715,2.23, 0.08, 0:00.38, 599, 260 , 689.03 , 1069.58
103,True,False,False,True,False,True,False,True,20,5,943114,2.95, 0.04, 0:00.48, 618, 260 , 546.15 , 870.57
1031,False,False,True,True,False,True,False,True,60,5,1063897,2.93, 0.03, 0:00.48, 614, 260 , 554.37 , 982.06
1032,False,False,True,False,True,False,True,True,60,1,1301567,2.33, 0.06, 0:00.40, 593, 260 , 670.84 , 1201.45
1033,True,False,False,False,False,False,False,False,60,5,1144947,3.16, 0.07, 0:00.56, 575, 260 , 471.17 , 1056.87
1034,True,False,True,False,False,False,True,True,20,1,1265078,2.07, 0.05, 0:00.32, 648, 260 , 832.59 , 1167.76
1035,True,False,False,False,False,False,False,False,60,9,1141525,3.63, 0.09, 0:00.64, 578, 260 , 411.90 , 1053.72
1036,True,False,False,True,True,False,False,True,40,5,1152261,3.08, 0.05, 0:00.53, 587, 260 , 496.32 , 1063.63
1037,False,False,True,True,False,False,False,True,40,1,1304153,2.27, 0.07, 0:00.38, 616, 260 , 712.23 , 1203.83
1038,True,False,False,True,True,False,False,True,40,1,1165197,2.16, 0.05, 0:00.35, 622, 260 , 749.13 , 1075.57
1039,False,False,True,True,False,False,False,True,60,9,1291001,3.83, 0.07, 0:00.67, 577, 260 , 395.87 , 1191.69
1040,True,False,False,False,False,False,True,True,60,1,1158720,2.40, 0.06, 0:00.43, 573, 260 , 619.54 , 1069.59
104,True,False,True,False,False,False,True,True,60,9,1268750,3.04, 0.05, 0:00.52, 591, 260 , 515.52 , 1171.15
1041,True,False,False,True,True,False,False,True,20,9,1147073,3.72, 0.09, 0:00.61, 623, 260 , 432.20 , 1058.84
1042,False,False,True,False,True,True,True,True,60,9,1070926,2.83, 0.04, 0:00.42, 677, 260 , 629.46 , 988.55
1043,True,False,True,False,False,False,False,True,60,9,1252622,3.92, 0.07, 0:00.69, 574, 260 , 384.18 , 1156.27
1044,True,False,False,False,False,False,True,True,60,5,1159718,2.34, 0.07, 0:00.40, 596, 260 , 658.85 , 1070.51
1045,False,False,True,False,True,False,True,True,20,9,1301864,3.13, 0.07, 0:00.51, 625, 260 , 524.83 , 1201.72
1046,True,False,False,False,False,False,True,True,60,9,1159828,2.78, 0.06, 0:00.48, 588, 260 , 551.10 , 1070.61
1047,True,False,True,False,False,False,False,False,20,1,1265121,2.01, 0.05, 0:00.31, 653, 260 , 861.79 , 1167.80
1048,False,False,True,False,True,False,True,True,20,5,1303420,2.63, 0.06, 0:00.41, 654, 260 , 646.54 , 1203.16
1049,False,False,False,True,True,True,False,False,40,9,954794,3.89, 0.04, 0:00.62, 628, 260 , 419.30 , 881.35
1050,False,False,False,False,True,True,True,False,20,9,962301,2.72, 0.07, 0:00.40, 686, 260 , 653.03 , 888.28
105,True,False,False,True,False,True,False,True,20,9,939253,3.76, 0.05, 0:00.61, 618, 260 , 428.08 , 867.00
1051,False,False,True,True,True,True,True,True,40,5,1077656,2.66, 0.05, 0:00.41, 659, 260 , 646.69 , 994.76
1052,True,False,False,True,False,True,False,False,40,1,954910,2.06, 0.05, 0:00.30, 704, 260 , 884.78 , 881.46
1053,False,False,True,True,True,True,True,True,40,1,1072100,2.17, 0.06, 0:00.34, 658, 260 , 797.98 , 989.63
1054,False,False,False,True,False,False,False,False,40,9,1166481,3.93, 0.05, 0:00.67, 595, 260 , 395.00 , 1076.75
1055,False,False,False,True,True,True,False,False,40,1,969144,2.16, 0.04, 0:00.31, 694, 260 , 837.22 , 894.59
1056,True,False,False,True,False,True,False,False,40,5,943434,2.92, 0.06, 0:00.48, 612, 260 , 541.66 , 870.86
1057,True,False,False,False,True,False,False,False,40,5,1146917,3.03, 0.07, 0:00.52, 591, 260 , 505.38 , 1058.69
1058,False,False,False,True,True,True,False,False,40,5,960466,3.26, 0.06, 0:00.54, 612, 260 , 487.21 , 886.58
1059,True,False,False,False,True,False,False,False,40,9,1142498,3.89, 0.09, 0:00.66, 601, 260 , 399.03 , 1054.61
