,configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,frames,cpu,fps,kbs,etime,size
0,1,True,False,False,True,True,False,True,True,20.0,9.0,130,593.7,476.47700000000003,875.8700000000001,0.2800000000000001,948855.0
1,1001,False,False,True,True,True,True,True,True,20.0,1.0,130,640.1,656.617,823.6900000000002,0.20900000000000002,892329.0
2,1002,True,False,False,False,True,False,True,True,60.0,5.0,130,510.1,454.5559999999999,874.3799999999999,0.29300000000000004,947241.0
3,1003,False,False,False,True,True,True,False,False,20.0,9.0,130,597.9,364.919,732.4400000000002,0.36300000000000004,793472.0
4,1004,False,False,True,False,False,True,True,False,20.0,9.0,130,641.5,550.3679999999999,819.2,0.24699999999999997,887470.0
5,1005,True,False,False,True,False,True,False,False,20.0,1.0,130,672.3,726.06,738.67,0.182,800225.0
6,1006,False,False,False,False,False,True,True,False,60.0,5.0,130,651.4,595.164,738.41,0.225,799941.0
7,1007,True,False,False,True,False,True,False,False,20.0,5.0,130,617.3,467.611,728.6900000000002,0.28200000000000003,789414.0
8,1008,True,False,False,False,True,False,False,False,20.0,1.0,130,598.6,582.4010000000001,878.36,0.22800000000000004,951561.0
9,1009,False,False,True,True,False,False,True,True,40.0,9.0,130,555.0,433.49300000000005,971.5499999999998,0.31199999999999994,1052508.0
10,1010,False,False,False,False,False,True,True,False,60.0,1.0,130,643.6,642.956,739.6000000000001,0.20900000000000002,801231.0
11,101,False,False,True,False,False,True,True,True,40.0,9.0,130,638.1,544.1179999999999,818.59,0.25,886802.0
12,1011,False,False,False,True,True,True,False,False,20.0,1.0,130,659.7,657.705,741.41,0.202,803192.0
13,1012,False,False,True,False,False,True,True,False,20.0,1.0,130,640.5,657.4580000000001,821.93,0.20800000000000002,890423.0
14,1013,True,False,False,False,True,False,False,False,20.0,5.0,130,584.6,431.56499999999994,869.75,0.307,942233.0
15,1014,True,False,False,True,False,True,False,False,20.0,9.0,130,600.7,382.954,728.63,0.34500000000000003,789348.0
16,1015,True,False,False,True,False,True,True,True,40.0,1.0,130,662.4,714.2520000000001,738.42,0.184,799952.0
17,1016,True,False,True,False,True,True,False,True,40.0,1.0,130,636.9,695.2160000000001,805.28,0.197,872385.0
18,1017,True,False,True,False,False,False,True,True,20.0,9.0,130,592.4,482.0,947.26,0.27999999999999997,1026198.0
19,1018,True,False,False,True,False,True,True,True,40.0,5.0,130,660.6,641.046,736.4400000000002,0.20800000000000002,797810.0
20,1019,True,False,True,False,False,False,True,True,20.0,5.0,130,577.8,539.618,950.4500000000002,0.253,1029654.0
21,1020,True,False,True,False,False,True,False,False,20.0,1.0,130,640.6,703.117,805.63,0.195,872770.0
22,102,False,False,False,True,False,False,False,False,60.0,9.0,130,538.1,307.34100000000007,875.96,0.43099999999999994,948960.0
23,1021,True,False,False,False,True,False,False,False,40.0,1.0,130,543.1,527.6270000000001,878.8399999999999,0.254,952076.0
24,1022,False,False,False,False,True,True,True,False,40.0,1.0,130,655.6,656.415,740.4300000000001,0.202,802136.0
25,1023,True,False,False,True,False,True,True,True,40.0,9.0,130,666.1,600.127,735.97,0.22200000000000003,797296.0
26,1024,True,False,True,False,True,True,False,True,40.0,9.0,130,582.9,383.975,792.7,0.35,858759.0
27,1025,False,False,False,False,True,True,True,False,40.0,5.0,130,652.0,588.606,737.8599999999999,0.22599999999999998,799347.0
28,1026,False,False,True,True,True,True,True,True,20.0,9.0,130,643.0,551.827,819.6600000000001,0.248,887964.0
29,1027,True,False,True,False,True,True,False,True,40.0,5.0,130,606.8,485.532,795.24,0.277,861515.0
30,1028,False,False,False,False,True,True,True,False,40.0,9.0,130,658.2,550.45,738.0699999999999,0.242,799581.0
31,1029,False,False,True,False,True,False,True,True,60.0,5.0,130,508.0,441.37299999999993,971.18,0.307,1052117.0
32,1030,True,False,False,False,False,False,False,False,60.0,1.0,130,509.0,497.46099999999996,878.5800000000002,0.26799999999999996,951793.0
33,103,True,False,False,True,False,True,False,True,20.0,5.0,130,610.6,456.12,729.6800000000001,0.28900000000000003,790490.0
34,1031,False,False,True,True,False,True,False,True,60.0,5.0,130,607.6,453.0,815.26,0.296,883193.0
35,1032,False,False,True,False,True,False,True,True,60.0,1.0,130,506.2,476.776,974.2900000000002,0.28500000000000003,1055485.0
36,1033,True,False,False,False,False,False,False,False,60.0,5.0,130,516.9,376.04799999999994,870.3399999999999,0.352,942870.0
37,1034,True,False,True,False,False,False,True,True,20.0,1.0,130,585.1,580.9549999999999,954.5899999999999,0.23399999999999999,1034134.0
38,1035,True,False,False,False,False,False,False,False,60.0,9.0,130,533.2,314.90600000000006,866.6600000000001,0.422,938878.0
39,1036,True,False,False,True,True,False,False,True,40.0,5.0,130,549.3,401.633,872.3300000000002,0.33,945021.0
40,1037,False,False,True,True,False,False,False,True,40.0,1.0,130,543.6,506.42300000000006,976.49,0.26800000000000007,1057863.0
41,1038,True,False,False,True,True,False,False,True,40.0,1.0,130,552.2,540.6210000000001,881.82,0.24499999999999997,955302.0
42,1039,False,False,True,True,False,False,False,True,60.0,9.0,130,531.7,308.911,964.18,0.43499999999999994,1044524.0
43,1040,True,False,False,False,False,False,True,True,60.0,1.0,130,507.7,503.22700000000003,879.4400000000002,0.26399999999999996,952725.0
44,104,True,False,True,False,False,False,True,True,60.0,9.0,130,515.7,429.3169999999999,947.4799999999999,0.317,1026440.0
45,1041,True,False,False,True,True,False,False,True,20.0,9.0,130,594.3,354.29900000000004,868.64,0.373,941028.0
46,1042,False,False,True,False,True,True,True,True,60.0,9.0,130,638.4,541.8410000000001,817.42,0.25200000000000006,885541.0
