configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,948855,1.89, 0.03, 0:00.33, 568, 130 , 397.06 , 875.87
1001,False,False,True,True,True,True,True,True,20,1,892329,1.29, 0.01, 0:00.19, 670, 130 , 705.79 , 823.69
1002,True,False,False,False,True,False,True,True,60,5,947241,1.50, 0.05, 0:00.30, 514, 130 , 446.28 , 874.38
1003,False,False,False,True,True,True,False,False,20,9,793472,2.14, 0.04, 0:00.36, 600, 130 , 365.91 , 732.44
1004,False,False,True,False,False,True,True,False,20,9,887470,1.54, 0.03, 0:00.24, 651, 130 , 570.94 , 819.20
1005,True,False,False,True,False,True,False,False,20,1,800225,1.16, 0.04, 0:00.17, 683, 130 , 760.20 , 738.67
1006,False,False,False,False,False,True,True,False,60,5,799941,1.43, 0.02, 0:00.22, 657, 130 , 611.14 , 738.41
1007,True,False,False,True,False,True,False,False,20,5,789414,1.75, 0.03, 0:00.28, 626, 130 , 469.05 , 728.69
1008,True,False,False,False,True,False,False,False,20,1,951561,1.34, 0.02, 0:00.22, 604, 130 , 597.07 , 878.36
1009,False,False,True,True,False,False,True,True,40,9,1052508,1.68, 0.04, 0:00.30, 568, 130 , 445.97 , 971.55
1010,False,False,False,False,False,True,True,False,60,1,801231,1.25, 0.03, 0:00.19, 658, 130 , 691.19 , 739.60
101,False,False,True,False,False,True,True,True,40,9,886802,1.54, 0.05, 0:00.24, 650, 130 , 563.47 , 818.59
1011,False,False,False,True,True,True,False,False,20,1,803192,1.35, 0.02, 0:00.20, 669, 130 , 654.89 , 741.41
1012,False,False,True,False,False,True,True,False,20,1,890423,1.36, 0.02, 0:00.23, 601, 130 , 601.67 , 821.93
1013,True,False,False,False,True,False,False,False,20,5,942233,1.74, 0.03, 0:00.30, 580, 130 , 436.25 , 869.75
1014,True,False,False,True,False,True,False,False,20,9,789348,1.94, 0.04, 0:00.32, 616, 130 , 411.95 , 728.63
1015,True,False,False,True,False,True,True,True,40,1,799952,1.19, 0.03, 0:00.17, 684, 130 , 753.86 , 738.42
1016,True,False,True,False,True,True,False,True,40,1,872385,1.20, 0.02, 0:00.18, 664, 130 , 735.06 , 805.28
1017,True,False,True,False,False,False,True,True,20,9,1026198,1.64, 0.04, 0:00.28, 593, 130 , 473.05 , 947.26
1018,True,False,False,True,False,True,True,True,40,5,797810,1.37, 0.02, 0:00.21, 656, 130 , 636.49 , 736.44
1019,True,False,True,False,False,False,True,True,20,5,1029654,1.43, 0.04, 0:00.25, 585, 130 , 539.00 , 950.45
1020,True,False,True,False,False,True,False,False,20,1,872770,1.23, 0.03, 0:00.19, 638, 130 , 703.21 , 805.63
102,False,False,False,True,False,False,False,False,60,9,948960,2.22, 0.05, 0:00.43, 527, 130 , 309.56 , 875.96
1021,True,False,False,False,True,False,False,False,40,1,952076,1.51, 0.02, 0:00.29, 527, 130 , 456.42 , 878.84
1022,False,False,False,False,True,True,True,False,40,1,802136,1.42, 0.02, 0:00.22, 650, 130 , 607.30 , 740.43
1023,True,False,False,True,False,True,True,True,40,9,797296,1.52, 0.05, 0:00.24, 649, 130 , 556.43 , 735.97
1024,True,False,True,False,True,True,False,True,40,9,858759,2.08, 0.04, 0:00.37, 565, 130 , 360.83 , 792.70
1025,False,False,False,False,True,True,True,False,40,5,799347,1.46, 0.03, 0:00.23, 651, 130 , 588.76 , 737.86
1026,False,False,True,True,True,True,True,True,20,9,887964,1.56, 0.04, 0:00.24, 644, 130 , 559.20 , 819.66
1027,True,False,True,False,True,True,False,True,40,5,861515,1.67, 0.02, 0:00.27, 608, 130 , 489.73 , 795.24
1028,False,False,False,False,True,True,True,False,40,9,799581,1.59, 0.02, 0:00.24, 652, 130 , 544.97 , 738.07
1029,False,False,True,False,True,False,True,True,60,5,1052117,1.53, 0.03, 0:00.31, 502, 130 , 440.81 , 971.18
1030,True,False,False,False,False,False,False,False,60,1,951793,1.30, 0.07, 0:00.26, 516, 130 , 506.73 , 878.58
103,True,False,False,True,False,True,False,True,20,5,790490,1.68, 0.04, 0:00.27, 629, 130 , 488.10 , 729.68
1031,False,False,True,True,False,True,False,True,60,5,883193,1.76, 0.05, 0:00.29, 617, 130 , 465.05 , 815.26
1032,False,False,True,False,True,False,True,True,60,1,1055485,1.42, 0.02, 0:00.28, 506, 130 , 484.34 , 974.29
1033,True,False,False,False,False,False,False,False,60,5,942870,1.79, 0.06, 0:00.35, 519, 130 , 374.34 , 870.34
1034,True,False,True,False,False,False,True,True,20,1,1034134,1.37, 0.03, 0:00.23, 597, 130 , 587.54 , 954.59
1035,True,False,False,False,False,False,False,False,60,9,938878,2.11, 0.05, 0:00.40, 538, 130 , 332.39 , 866.66
1036,True,False,False,True,True,False,False,True,40,5,945021,1.68, 0.05, 0:00.31, 547, 130 , 423.67 , 872.33
1037,False,False,True,True,False,False,False,True,40,1,1057863,1.44, 0.03, 0:00.26, 551, 130 , 515.06 , 976.49
1038,True,False,False,True,True,False,False,True,40,1,955302,1.37, 0.03, 0:00.24, 573, 130 , 538.03 , 881.82
1039,False,False,True,True,False,False,False,True,60,9,1044524,2.20, 0.03, 0:00.42, 528, 130 , 320.84 , 964.18
1040,True,False,False,False,False,False,True,True,60,1,952725,1.27, 0.08, 0:00.26, 505, 130 , 506.20 , 879.44
104,True,False,True,False,False,False,True,True,60,9,1026440,1.55, 0.06, 0:00.31, 509, 130 , 431.61 , 947.48
1041,True,False,False,True,True,False,False,True,20,9,941028,2.15, 0.04, 0:00.36, 597, 130 , 363.40 , 868.64
1042,False,False,True,False,True,True,True,True,60,9,885541,1.59, 0.03, 0:00.25, 628, 130 , 531.79 , 817.42
1043,True,False,True,False,False,False,False,True,60,9,1020609,2.14, 0.06, 0:00.41, 527, 130 , 320.86 , 942.10
1044,True,False,False,False,False,False,True,True,60,5,948334,1.46, 0.04, 0:00.29, 513, 130 , 460.24 , 875.39
1045,False,False,True,False,True,False,True,True,20,9,1049413,1.77, 0.01, 0:00.31, 572, 130 , 439.25 , 968.69
1046,True,False,False,False,False,False,True,True,60,9,947048,1.58, 0.03, 0:00.30, 532, 130 , 441.44 , 874.20
1047,True,False,True,False,False,False,False,False,20,1,1034621,1.43, 0.02, 0:00.26, 560, 130 , 533.96 , 955.03
1048,False,False,True,False,True,False,True,True,20,5,1052537,1.61, 0.02, 0:00.29, 557, 130 , 466.60 , 971.57
1049,False,False,False,True,True,True,False,False,40,9,793472,2.15, 0.04, 0:00.36, 609, 130 , 368.87 , 732.44
1050,False,False,False,False,True,True,True,False,20,9,799581,1.56, 0.03, 0:00.24, 644, 130 , 543.48 , 738.07
105,True,False,False,True,False,True,False,True,20,9,789829,2.09, 0.03, 0:00.36, 580, 130 , 364.11 , 729.07
1051,False,False,True,True,True,True,True,True,40,5,889370,1.41, 0.06, 0:00.22, 652, 130 , 609.83 , 820.96
1052,True,False,False,True,False,True,False,False,40,1,800225,1.25, 0.02, 0:00.19, 656, 130 , 695.34 , 738.67
1053,False,False,True,True,True,True,True,True,40,1,892329,1.30, 0.04, 0:00.20, 643, 130 , 670.78 , 823.69
1054,False,False,False,True,False,False,False,False,40,9,949000,2.19, 0.04, 0:00.39, 565, 130 , 337.15 , 876.00
1055,False,False,False,True,True,True,False,False,40,1,803192,1.38, 0.02, 0:00.21, 653, 130 , 626.01 , 741.41
1056,True,False,False,True,False,True,False,False,40,5,789414,1.67, 0.04, 0:00.27, 627, 130 , 491.83 , 728.69
1057,True,False,False,False,True,False,False,False,40,5,941568,1.79, 0.04, 0:00.33, 553, 130 , 403.78 , 869.14
1058,False,False,False,True,True,True,False,False,40,5,794194,1.76, 0.04, 0:00.28, 627, 130 , 467.18 , 733.10
1059,True,False,False,False,True,False,False,False,40,9,938952,2.08, 0.04, 0:00.38, 559, 130 , 349.63 , 866.72
1060,True,False,False,True,False,True,False,False,40,9,789348,2.00, 0.03, 0:00.33, 608, 130 , 397.89 , 728.63
106,False,False,True,False,False,True,False,True,60,5,881035,1.96, 0.03, 0:00.33, 603, 130 , 408.86 , 813.26
1061,False,False,False,True,False,False,True,False,20,1,959956,1.39, 0.03, 0:00.23, 597, 130 , 566.92 , 886.11
1062,True,False,True,False,True,True,False,True,60,5,861515,1.70, 0.03, 0:00.28, 606, 130 , 476.52 , 795.24
1063,True,False,False,True,False,True,True,True,60,1,799952,1.28, 0.02, 0:00.19, 680, 130 , 708.69 , 738.42
1064,False,False,True,False,True,False,False,False,20,1,1055357,1.45, 0.04, 0:00.25, 596, 130 , 556.23 , 974.18
1065,False,False,True,True,False,False,True,True,40,5,1056859,1.57, 0.03, 0:00.30, 535, 130 , 460.58 , 975.56
1066,True,False,False,True,False,True,True,True,60,5,797810,1.34, 0.03, 0:00.20, 662, 130 , 650.79 , 736.44
1067,True,False,True,False,True,True,False,True,60,1,872385,1.34, 0.02, 0:00.22, 615, 130 , 627.03 , 805.28
1068,True,False,True,False,False,False,True,True,40,9,1026375,1.58, 0.05, 0:00.29, 556, 130 , 467.54 , 947.42
1069,True,False,False,False,True,False,False,False,60,1,951656,1.31, 0.04, 0:00.26, 509, 130 , 505.63 , 878.45
1070,False,False,False,False,True,True,True,False,20,1,802136,1.33, 0.02, 0:00.20, 661, 130 , 663.72 , 740.43
107,False,False,True,False,False,True,True,True,40,1,890275,1.32, 0.03, 0:00.22, 618, 130 , 632.66 , 821.79
1071,True,False,False,True,False,True,True,True,60,9,797296,1.52, 0.03, 0:00.23, 666, 130 , 581.67 , 735.97
1072,False,False,False,False,True,True,True,False,20,5,799347,1.42, 0.02, 0:00.22, 655, 130 , 612.89 , 737.86
1073,True,False,True,False,True,True,False,True,60,9,858759,2.11, 0.04, 0:00.39, 551, 130 , 346.86 , 792.70
1074,False,False,True,True,True,True,True,True,40,9,887964,1.70, 0.03, 0:00.27, 633, 130 , 503.13 , 819.66
1075,False,False,True,False,True,False,True,True,40,5,1052275,1.59, 0.02, 0:00.29, 545, 130 , 465.12 , 971.33
1076,True,False,True,False,False,True,False,False,20,5,860962,1.69, 0.04, 0:00.28, 621, 130 , 490.56 , 794.73
1077,True,False,True,False,False,False,False,False,20,5,1024797,1.86, 0.03, 0:00.32, 587, 130 , 423.42 , 945.97
1078,False,False,True,False,True,False,True,True,40,1,1055303,1.43, 0.04, 0:00.27, 540, 130 , 505.37 , 974.13
1079,True,False,False,False,False,False,False,False,40,1,952057,1.30, 0.04, 0:00.24, 546, 130 , 551.70 , 878.82
1080,True,False,True,False,False,False,False,False,20,9,1020815,2.16, 0.05, 0:00.38, 580, 130 , 355.79 , 942.29
108,False,False,True,False,False,True,False,True,60,9,878055,2.14, 0.02, 0:00.36, 595, 130 , 372.86 , 810.51
1081,False,False,False,True,False,False,True,False,20,9,956058,1.71, 0.03, 0:00.28, 606, 130 , 467.76 , 882.52
1082,True,False,False,False,False,False,False,False,40,5,942839,1.76, 0.03, 0:00.32, 553, 130 , 413.11 , 870.31
1083,True,False,False,True,True,False,False,True,20,5,943701,1.78, 0.03, 0:00.31, 582, 130 , 429.25 , 871.11
1084,False,False,True,True,False,False,False,True,60,1,1057831,1.41, 0.04, 0:00.28, 519, 130 , 493.77 , 976.46
1085,True,False,True,False,False,False,True,True,40,5,1030381,1.59, 0.04, 0:00.31, 521, 130 , 436.96 , 951.12
1086,False,False,True,False,True,False,False,False,20,9,1041718,2.43, 0.05, 0:00.43, 569, 130 , 310.09 , 961.59
1087,False,False,True,True,False,True,False,True,60,1,891945,1.36, 0.04, 0:00.22, 627, 130 , 619.94 , 823.33
1088,True,False,False,False,False,False,False,False,40,9,938786,2.31, 0.05, 0:00.42, 562, 130 , 317.54 , 866.57
1089,True,False,False,True,True,False,False,True,20,1,954890,1.31, 0.04, 0:00.23, 591, 130 , 585.20 , 881.44
