configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,2540422,3.09, 0.06, 0:00.47, 662, 250 , 536.51 , 2436.37
1001,False,False,True,True,True,True,True,True,20,1,1944694,2.49, 0.04, 0:00.37, 680, 250 , 698.10 , 1865.04
1002,True,False,False,False,True,False,True,True,60,5,2559949,2.87, 0.07, 0:00.48, 602, 250 , 523.04 , 2455.10
1003,False,False,False,True,True,True,False,False,20,9,1754377,4.03, 0.07, 0:00.65, 626, 250 , 387.52 , 1682.52
1004,False,False,True,False,False,True,True,False,20,9,1898987,3.22, 0.05, 0:00.50, 653, 250 , 516.72 , 1821.21
1005,True,False,False,True,False,True,False,False,20,1,1746987,2.20, 0.06, 0:00.31, 713, 250 , 807.22 , 1675.43
1006,False,False,False,False,False,True,True,False,60,5,1786641,2.81, 0.03, 0:00.42, 674, 250 , 601.88 , 1713.46
1007,True,False,False,True,False,True,False,False,20,5,1692554,3.22, 0.04, 0:00.52, 628, 250 , 487.27 , 1623.23
1008,True,False,False,False,True,False,False,False,20,1,2613435,2.64, 0.04, 0:00.40, 667, 250 , 633.02 , 2506.39
1009,False,False,True,True,False,False,True,True,40,9,2804509,3.76, 0.06, 0:00.62, 616, 250 , 411.56 , 2689.64
1010,False,False,False,False,False,True,True,False,60,1,1818812,2.42, 0.03, 0:00.35, 701, 250 , 727.17 , 1744.32
101,False,False,True,False,False,True,True,True,40,9,1896876,2.98, 0.06, 0:00.44, 677, 250 , 578.91 , 1819.18
1011,False,False,False,True,True,True,False,False,20,1,1822176,2.51, 0.05, 0:00.36, 696, 250 , 695.38 , 1747.54
1012,False,False,True,False,False,True,True,False,20,1,1943035,2.58, 0.08, 0:00.39, 676, 250 , 660.79 , 1863.45
1013,True,False,False,False,True,False,False,False,20,5,2525299,3.25, 0.06, 0:00.53, 619, 250 , 474.45 , 2421.87
1014,True,False,False,True,False,True,False,False,20,9,1681528,3.68, 0.06, 0:00.61, 613, 250 , 416.11 , 1612.65
1015,True,False,False,True,False,True,True,True,40,1,1746799,2.17, 0.05, 0:00.31, 714, 250 , 825.17 , 1675.25
1016,True,False,True,False,True,True,False,True,40,1,1869060,2.38, 0.02, 0:00.35, 682, 250 , 735.21 , 1792.51
1017,True,False,True,False,False,False,True,True,20,9,2713482,3.45, 0.09, 0:00.56, 625, 250 , 454.16 , 2602.34
1018,True,False,False,True,False,True,True,True,40,5,1715130,2.69, 0.04, 0:00.39, 701, 250 , 650.11 , 1644.88
1019,True,False,True,False,False,False,True,True,20,5,2727381,3.09, 0.05, 0:00.49, 634, 250 , 519.55 , 2615.67
1020,True,False,True,False,False,True,False,False,20,1,1869523,2.45, 0.03, 0:00.35, 693, 250 , 724.28 , 1792.95
102,False,False,False,True,False,False,False,False,60,9,2598132,4.43, 0.08, 0:00.82, 549, 250 , 308.49 , 2491.72
1021,True,False,False,False,True,False,False,False,40,1,2621832,2.59, 0.04, 0:00.41, 631, 250 , 613.70 , 2514.44
