configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,348021,1.69, 0.05, 0:00.26, 657, 240 , 936.13 , 348.02
1001,False,False,True,True,True,True,True,True,20,1,381674,1.32, 0.04, 0:00.19, 711, 240 , 1347.76 , 381.67
1002,True,False,False,False,True,False,True,True,60,5,346898,1.52, 0.05, 0:00.27, 568, 240 , 902.54 , 346.90
1003,False,False,False,True,True,True,False,False,20,9,345767,2.22, 0.06, 0:00.36, 622, 240 , 668.05 , 345.77
1004,False,False,True,False,False,True,True,False,20,9,374658,1.72, 0.03, 0:00.24, 712, 240 , 1041.07 , 374.66
1005,True,False,False,True,False,True,False,False,20,1,343361,1.32, 0.02, 0:00.18, 742, 240 , 1387.79 , 343.36
1006,False,False,False,False,False,True,True,False,60,5,350780,1.63, 0.03, 0:00.26, 625, 240 , 929.58 , 350.78
1007,True,False,False,True,False,True,False,False,20,5,335884,1.75, 0.02, 0:00.26, 661, 240 , 914.16 , 335.88
1008,True,False,False,False,True,False,False,False,20,1,344931,1.30, 0.05, 0:00.23, 584, 240 , 1088.05 , 344.93
1009,False,False,True,True,False,False,True,True,40,9,384862,1.65, 0.06, 0:00.28, 598, 240 , 892.74 , 384.86
1010,False,False,False,False,False,True,True,False,60,1,349147,1.35, 0.05, 0:00.19, 722, 240 , 1289.30 , 349.15
101,False,False,True,False,False,True,True,True,40,9,375301,1.71, 0.05, 0:00.25, 702, 240 , 1014.06 , 375.30
1011,False,False,False,True,True,True,False,False,20,1,355428,1.39, 0.05, 0:00.20, 698, 240 , 1202.89 , 355.43
1012,False,False,True,False,False,True,True,False,20,1,375902,1.25, 0.04, 0:00.18, 711, 240 , 1425.13 , 375.90
1013,True,False,False,False,True,False,False,False,20,5,337400,1.71, 0.04, 0:00.30, 576, 240 , 811.69 , 337.40
1014,True,False,False,True,False,True,False,False,20,9,332762,2.05, 0.06, 0:00.32, 650, 240 , 758.04 , 332.76
