configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,1005012,1.97, 0.05, 0:00.42, 477, 300 , 723.94 , 803.21
1001,False,False,True,True,True,True,True,True,20,1,968668,1.77, 0.05, 0:00.37, 489, 300 , 834.58 , 774.16
1002,True,False,False,False,True,False,True,True,60,5,1095783,1.80, 0.06, 0:00.45, 408, 300 , 671.61 , 875.75
1003,False,False,False,True,True,True,False,False,20,9,750973,2.75, 0.05, 0:00.56, 501, 300 , 544.05 , 600.18
1004,False,False,True,False,False,True,True,False,20,9,854127,2.28, 0.05, 0:00.45, 512, 300 , 677.91 , 682.62
1005,True,False,False,True,False,True,False,False,20,1,845147,1.55, 0.02, 0:00.30, 526, 300 , 1023.14 , 675.44
1006,False,False,False,False,False,True,True,False,60,5,798849,1.77, 0.06, 0:00.35, 517, 300 , 863.90 , 638.44
1007,True,False,False,True,False,True,False,False,20,5,744734,2.04, 0.07, 0:00.42, 498, 300 , 714.89 , 595.19
1008,True,False,False,False,True,False,False,False,20,1,1120414,1.58, 0.03, 0:00.36, 442, 300 , 836.30 , 895.44
1009,False,False,True,True,False,False,True,True,40,9,1179234,2.30, 0.08, 0:00.55, 430, 300 , 559.74 , 942.44
1010,False,False,False,False,False,True,True,False,60,1,880886,1.66, 0.04, 0:00.33, 516, 300 , 929.70 , 704.00
101,False,False,True,False,False,True,True,True,40,9,852736,2.12, 0.05, 0:00.42, 510, 300 , 730.20 , 681.51
1011,False,False,False,True,True,True,False,False,20,1,882234,1.63, 0.06, 0:00.32, 518, 300 , 938.14 , 705.08
1012,False,False,True,False,False,True,True,False,20,1,967906,1.72, 0.06, 0:00.35, 501, 300 , 873.76 , 773.55
1013,True,False,False,False,True,False,False,False,20,5,992621,2.10, 0.05, 0:00.49, 439, 300 , 619.85 , 793.30
1014,True,False,False,True,False,True,False,False,20,9,723436,2.74, 0.04, 0:00.55, 503, 300 , 547.98 , 578.17
1015,True,False,False,True,False,True,True,True,40,1,845147,1.53, 0.03, 0:00.29, 534, 300 , 1044.14 , 675.44
1016,True,False,True,False,True,True,False,True,40,1,938376,1.63, 0.06, 0:00.33, 506, 300 , 931.14 , 749.95
1017,True,False,True,False,False,False,True,True,20,9,1093134,2.21, 0.02, 0:00.49, 455, 300 , 620.11 , 873.63
1018,True,False,False,True,False,True,True,True,40,5,766064,1.69, 0.05, 0:00.33, 523, 300 , 918.66 , 612.24
1019,True,False,True,False,False,False,True,True,20,5,1117564,1.92, 0.02, 0:00.45, 432, 300 , 683.97 , 893.16
1020,True,False,True,False,False,True,False,False,20,1,941999,1.77, 0.05, 0:00.36, 497, 300 , 843.67 , 752.85
