configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,27417130,98.66, 0.68, 0:05.91, 1681, 250 , 42.61 , 21933.70
1001,False,False,True,True,True,True,True,True,20,1,31172015,65.26, 0.56, 0:04.05, 1624, 250 , 62.32 , 24937.61
1002,True,False,False,False,True,False,True,True,60,5,27072842,76.64, 0.92, 0:05.90, 1314, 250 , 42.65 , 21658.27
1003,False,False,False,True,True,True,False,False,20,9,24976007,169.77, 0.88, 0:09.56, 1784, 250 , 26.25 , 19980.81
1004,False,False,True,False,False,True,True,False,20,9,30274435,93.95, 0.79, 0:05.69, 1664, 250 , 44.28 , 24219.55
1005,True,False,False,True,False,True,False,False,20,1,26679161,73.74, 0.63, 0:03.93, 1890, 250 , 64.17 , 21343.33
1006,False,False,False,False,False,True,True,False,60,5,24510178,81.86, 0.59, 0:05.03, 1639, 250 , 50.07 , 19608.14
1007,True,False,False,True,False,True,False,False,20,5,26293734,107.85, 0.66, 0:06.65, 1631, 250 , 37.82 , 21034.99
1008,True,False,False,False,True,False,False,False,20,1,27550637,66.52, 0.69, 0:04.43, 1516, 250 , 56.89 , 22040.51
1009,False,False,True,True,False,False,True,True,40,9,32415142,99.68, 0.70, 0:06.39, 1569, 250 , 39.37 , 25932.11
1010,False,False,False,False,False,True,True,False,60,1,24696658,57.60, 0.59, 0:04.16, 1398, 250 , 60.59 , 19757.33
101,False,False,True,False,False,True,True,True,40,9,30274493,91.81, 0.68, 0:05.72, 1615, 250 , 44.01 , 24219.59
1011,False,False,False,True,True,True,False,False,20,1,25002806,67.70, 0.55, 0:04.06, 1681, 250 , 62.17 , 20002.24
1012,False,False,True,False,False,True,True,False,20,1,30756665,63.21, 0.53, 0:04.21, 1514, 250 , 59.98 , 24605.33
1013,True,False,False,False,True,False,False,False,20,5,26951528,112.05, 0.70, 0:06.87, 1641, 250 , 36.57 , 21561.22
1014,True,False,False,True,False,True,False,False,20,9,25988439,170.43, 0.79, 0:09.67, 1770, 250 , 25.95 , 20790.75
1015,True,False,False,True,False,True,True,True,40,1,26679161,73.36, 0.63, 0:03.93, 1881, 250 , 64.13 , 21343.33
1016,True,False,True,False,True,True,False,True,40,1,30943211,62.32, 0.76, 0:03.87, 1630, 250 , 65.19 , 24754.57
1017,True,False,True,False,False,False,True,True,20,9,31701475,87.21, 0.71, 0:05.59, 1570, 250 , 45.02 , 25361.18
1018,True,False,False,True,False,True,True,True,40,5,26372871,80.15, 0.58, 0:04.69, 1721, 250 , 53.79 , 21098.30
1019,True,False,True,False,False,False,True,True,20,5,32069883,73.82, 0.72, 0:04.91, 1515, 250 , 51.30 , 25655.91
1020,True,False,True,False,False,True,False,False,20,1,30943508,53.51, 0.75, 0:03.85, 1406, 250 , 65.51 , 24754.81
102,False,False,False,True,False,False,False,False,60,9,26278541,167.23, 0.92, 0:10.13, 1658, 250 , 24.77 , 21022.83
1021,True,False,False,False,True,False,False,False,40,1,27551352,62.21, 0.79, 0:04.78, 1318, 250 , 52.73 , 22041.08
1022,False,False,False,False,True,True,True,False,40,1,24701332,69.91, 0.66, 0:04.09, 1724, 250 , 61.66 , 19761.07
1023,True,False,False,True,False,True,True,True,40,9,26041689,91.78, 0.79, 0:05.59, 1654, 250 , 45.00 , 20833.35
1024,True,False,True,False,True,True,False,True,40,9,29858138,157.17, 0.82, 0:09.11, 1732, 250 , 27.55 , 23886.51
1025,False,False,False,False,True,True,True,False,40,5,24513802,73.75, 0.69, 0:04.95, 1504, 250 , 50.93 , 19611.04
1026,False,False,True,True,True,True,True,True,20,9,30849553,96.58, 0.75, 0:05.79, 1680, 250 , 43.46 , 24679.64
