configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,806512,5.31, 0.10, 0:00.77, 695, 1007 , 1310.41 , 192.03
1001,False,False,True,True,True,True,True,True,20,1,933096,3.75, 0.08, 0:00.52, 734, 1007 , 1963.32 , 222.16
1002,True,False,False,False,True,False,True,True,60,5,893579,4.66, 0.12, 0:00.78, 613, 1007 , 1309.45 , 212.76
1003,False,False,False,True,True,True,False,False,20,9,837151,6.98, 0.12, 0:01.12, 633, 1007 , 906.66 , 199.32
1004,False,False,True,False,False,True,True,False,20,9,901237,5.76, 0.10, 0:00.82, 707, 1007 , 1236.97 , 214.58
1005,True,False,False,True,False,True,False,False,20,1,825417,4.29, 0.11, 0:00.63, 696, 1007 , 1608.90 , 196.53
1006,False,False,False,False,False,True,True,False,60,5,850369,5.07, 0.12, 0:00.74, 697, 1007 , 1365.64 , 202.47
1007,True,False,False,True,False,True,False,False,20,5,804521,5.12, 0.10, 0:00.78, 662, 1007 , 1289.60 , 191.55
1008,True,False,False,False,True,False,False,False,20,1,813323,4.05, 0.08, 0:00.64, 641, 1007 , 1575.25 , 193.65
1009,False,False,True,True,False,False,True,True,40,9,962522,5.88, 0.14, 0:00.98, 614, 1007 , 1044.92 , 229.17
1010,False,False,False,False,False,True,True,False,60,1,850789,4.25, 0.11, 0:00.61, 715, 1007 , 1673.20 , 202.57
101,False,False,True,False,False,True,True,True,40,9,903685,5.83, 0.12, 0:00.86, 687, 1007 , 1183.74 , 215.16
1011,False,False,False,True,True,True,False,False,20,1,862747,3.79, 0.09, 0:00.51, 753, 1007 , 1964.31 , 205.41
1012,False,False,True,False,False,True,True,False,20,1,915342,3.90, 0.06, 0:00.55, 712, 1007 , 1850.40 , 217.94
1013,True,False,False,False,True,False,False,False,20,5,797013,5.19, 0.13, 0:00.89, 592, 1007 , 1129.24 , 189.76
1014,True,False,False,True,False,True,False,False,20,9,796355,6.68, 0.11, 0:01.07, 631, 1007 , 944.28 , 189.61
1015,True,False,False,True,False,True,True,True,40,1,828388,4.12, 0.13, 0:00.63, 668, 1007 , 1600.98 , 197.23
1016,True,False,True,False,True,True,False,True,40,1,896285,3.84, 0.10, 0:00.57, 686, 1007 , 1795.32 , 213.40
1017,True,False,True,False,False,False,True,True,20,9,861405,5.20, 0.11, 0:00.78, 675, 1007 , 1303.11 , 205.10
1018,True,False,False,True,False,True,True,True,40,5,820704,4.55, 0.07, 0:00.62, 738, 1007 , 1625.58 , 195.40
1019,True,False,True,False,False,False,True,True,20,5,870939,4.22, 0.11, 0:00.68, 636, 1007 , 1509.62 , 207.36
1020,True,False,True,False,False,True,False,False,20,1,890294,3.96, 0.08, 0:00.59, 680, 1007 , 1732.72 , 211.97
102,False,False,False,True,False,False,False,False,60,9,894955,6.56, 0.18, 0:01.21, 555, 1007 , 839.40 , 213.08
1021,True,False,False,False,True,False,False,False,40,1,880399,4.00, 0.12, 0:00.70, 588, 1007 , 1457.51 , 209.62
1022,False,False,False,False,True,True,True,False,40,1,854769,4.01, 0.10, 0:00.55, 736, 1007 , 1828.62 , 203.52
1023,True,False,False,True,False,True,True,True,40,9,814694,5.52, 0.10, 0:00.74, 757, 1007 , 1373.98 , 193.97
