configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,7275621,87.21, 1.04, 0:03.95, 2232, 500 , 127.83 , 2910.25
1001,False,False,True,True,True,True,True,True,20,1,10667540,59.66, 0.90, 0:02.84, 2129, 500 , 178.52 , 4267.02
1002,True,False,False,False,True,False,True,True,60,5,7364214,70.14, 1.02, 0:03.98, 1784, 500 , 126.76 , 2945.69
1003,False,False,False,True,True,True,False,False,20,9,8546415,116.52, 1.01, 0:05.65, 2077, 500 , 89.07 , 3418.57
1004,False,False,True,False,False,True,True,False,20,9,9403299,91.66, 0.98, 0:03.95, 2340, 500 , 127.77 , 3761.32
1005,True,False,False,True,False,True,False,False,20,1,8858799,77.73, 0.92, 0:03.34, 2350, 500 , 151.10 , 3543.52
1006,False,False,False,False,False,True,True,False,60,5,8234949,90.09, 0.81, 0:03.90, 2327, 500 , 129.14 , 3293.98
1007,True,False,False,True,False,True,False,False,20,5,8342195,98.85, 0.83, 0:04.57, 2177, 500 , 110.18 , 3336.88
1008,True,False,False,False,True,False,False,False,20,1,7211742,55.74, 0.87, 0:03.21, 1763, 500 , 157.61 , 2884.70
1009,False,False,True,True,False,False,True,True,40,9,9072036,91.59, 1.09, 0:04.35, 2128, 500 , 115.97 , 3628.81
1010,False,False,False,False,False,True,True,False,60,1,8489401,74.47, 0.75, 0:03.24, 2321, 500 , 156.27 , 3395.76
101,False,False,True,False,False,True,True,True,40,9,9420381,109.02, 0.96, 0:04.70, 2335, 500 , 107.21 , 3768.15
1011,False,False,False,True,True,True,False,False,20,1,9020599,75.01, 0.78, 0:03.39, 2231, 500 , 148.87 , 3608.24
1012,False,False,True,False,False,True,True,False,20,1,9995139,58.95, 0.80, 0:02.76, 2162, 500 , 183.85 , 3998.06
1013,True,False,False,False,True,False,False,False,20,5,6949090,86.43, 0.88, 0:04.52, 1929, 500 , 111.37 , 2779.64
1014,True,False,False,True,False,True,False,False,20,9,8202871,128.80, 0.80, 0:06.17, 2097, 500 , 81.48 , 3281.15
1015,True,False,False,True,False,True,True,True,40,1,8864958,72.50, 0.70, 0:03.24, 2254, 500 , 155.77 , 3545.98
1016,True,False,True,False,True,True,False,True,40,1,9745679,58.33, 0.83, 0:02.86, 2066, 500 , 177.26 , 3898.27
1017,True,False,True,False,False,False,True,True,20,9,7995893,89.46, 0.91, 0:04.18, 2159, 500 , 120.79 , 3198.36
1018,True,False,False,True,False,True,True,True,40,5,8426800,71.37, 0.79, 0:03.15, 2291, 500 , 160.70 , 3370.72
1019,True,False,True,False,False,False,True,True,20,5,8118472,66.64, 0.86, 0:03.33, 2025, 500 , 152.08 , 3247.39
1020,True,False,True,False,False,True,False,False,20,1,9706998,64.84, 0.80, 0:03.11, 2108, 500 , 162.75 , 3882.80
102,False,False,False,True,False,False,False,False,60,9,7838000,114.55, 1.11, 0:06.22, 1858, 500 , 80.82 , 3135.20
1021,True,False,False,False,True,False,False,False,40,1,7541127,63.20, 0.88, 0:04.01, 1595, 500 , 125.69 , 3016.45
1022,False,False,False,False,True,True,True,False,40,1,8508598,77.73, 0.66, 0:03.56, 2200, 500 , 141.83 , 3403.44
1023,True,False,False,True,False,True,True,True,40,9,8301162,88.93, 0.94, 0:03.85, 2333, 500 , 131.21 , 3320.46
1024,True,False,True,False,True,True,False,True,40,9,9100799,117.48, 0.99, 0:05.76, 2053, 500 , 87.37 , 3640.32
1025,False,False,False,False,True,True,True,False,40,5,8262852,88.89, 0.79, 0:04.02, 2230, 500 , 125.66 , 3305.14
1026,False,False,True,True,True,True,True,True,20,9,9969895,118.73, 1.11, 0:05.13, 2334, 500 , 98.29 , 3987.96
1027,True,False,True,False,True,True,False,True,40,5,9259629,91.47, 0.93, 0:04.39, 2105, 500 , 115.01 , 3703.85
1028,False,False,False,False,True,True,True,False,40,9,8145996,122.31, 0.81, 0:05.10, 2412, 500 , 98.62 , 3258.40
1029,False,False,True,False,True,False,True,True,60,5,8963637,76.25, 0.89, 0:04.12, 1868, 500 , 122.36 , 3585.45
1030,True,False,False,False,False,False,False,False,60,1,7562460,59.08, 1.14, 0:03.90, 1540, 500 , 129.22 , 3024.98
103,True,False,False,True,False,True,False,True,20,5,8366686,101.10, 0.88, 0:04.68, 2175, 500 , 107.44 , 3346.67
1031,False,False,True,True,False,True,False,True,60,5,9965836,98.51, 0.83, 0:04.49, 2208, 500 , 112.25 , 3986.33
1032,False,False,True,False,True,False,True,True,60,1,9255213,57.08, 0.96, 0:03.55, 1632, 500 , 142.54 , 3702.09
1033,True,False,False,False,False,False,False,False,60,5,7270868,83.14, 1.09, 0:04.74, 1774, 500 , 106.25 , 2908.35
1034,True,False,True,False,False,False,True,True,20,1,8436225,53.55, 0.75, 0:03.02, 1793, 500 , 167.50 , 3374.49
1035,True,False,False,False,False,False,False,False,60,9,7152309,102.80, 1.20, 0:05.61, 1852, 500 , 89.72 , 2860.92
1036,True,False,False,True,True,False,False,True,40,5,7652408,78.39, 1.07, 0:04.38, 1811, 500 , 115.06 , 3060.96
1037,False,False,True,True,False,False,False,True,40,1,9595002,55.96, 0.90, 0:03.28, 1730, 500 , 154.32 , 3838.00
1038,True,False,False,True,True,False,False,True,40,1,8013812,57.25, 0.95, 0:03.41, 1704, 500 , 148.19 , 3205.52
1039,False,False,True,True,False,False,False,True,60,9,9064590,122.35, 0.97, 0:06.50, 1896, 500 , 77.48 , 3625.84
1040,True,False,False,False,False,False,True,True,60,1,7562027,56.98, 1.00, 0:03.87, 1496, 500 , 130.42 , 3024.81
104,True,False,True,False,False,False,True,True,60,9,8442685,85.66, 1.08, 0:04.48, 1933, 500 , 112.60 , 3377.07
1041,True,False,False,True,True,False,False,True,20,9,7212898,116.69, 1.05, 0:06.05, 1944, 500 , 83.19 , 2885.16
1042,False,False,True,False,True,True,True,True,60,9,9508407,99.29, 1.01, 0:04.28, 2340, 500 , 117.95 , 3803.36
1043,True,False,True,False,False,False,False,True,60,9,8351675,101.29, 1.12, 0:05.69, 1797, 500 , 88.43 , 3340.67
1044,True,False,False,False,False,False,True,True,60,5,7310571,64.89, 1.11, 0:03.76, 1755, 500 , 134.49 , 2924.23
1045,False,False,True,False,True,False,True,True,20,9,8355315,101.14, 1.06, 0:04.66, 2192, 500 , 108.39 , 3342.13
1046,True,False,False,False,False,False,True,True,60,9,7199093,84.61, 1.06, 0:04.28, 2000, 500 , 117.75 , 2879.64
1047,True,False,True,False,False,False,False,False,20,1,8431299,57.11, 0.94, 0:03.31, 1751, 500 , 152.86 , 3372.52
1048,False,False,True,False,True,False,True,True,20,5,8482002,79.00, 0.84, 0:04.01, 1989, 500 , 125.83 , 3392.80
1049,False,False,False,True,True,True,False,False,40,9,8546415,125.91, 0.87, 0:06.04, 2099, 500 , 83.34 , 3418.57
1050,False,False,False,False,True,True,True,False,20,9,8145996,116.94, 0.88, 0:04.97, 2368, 500 , 101.28 , 3258.40
105,True,False,False,True,False,True,False,True,20,9,8238274,114.46, 0.97, 0:05.42, 2129, 500 , 92.93 , 3295.31
1051,False,False,True,True,True,True,True,True,40,5,10107621,84.82, 1.09, 0:03.89, 2205, 500 , 129.85 , 4043.05
1052,True,False,False,True,False,True,False,False,40,1,8858799,80.18, 0.74, 0:03.33, 2427, 500 , 151.66 , 3543.52
1053,False,False,True,True,True,True,True,True,40,1,10667540,74.03, 0.82, 0:03.32, 2252, 500 , 152.44 , 4267.02
1054,False,False,False,True,False,False,False,False,40,9,7765169,121.79, 1.13, 0:06.31, 1947, 500 , 79.70 , 3106.07
1055,False,False,False,True,True,True,False,False,40,1,9020599,73.52, 0.81, 0:03.35, 2217, 500 , 150.88 , 3608.24
1056,True,False,False,True,False,True,False,False,40,5,8342195,98.39, 0.80, 0:04.60, 2153, 500 , 109.55 , 3336.88
1057,True,False,False,False,True,False,False,False,40,5,7270571,78.62, 1.01, 0:04.31, 1843, 500 , 116.81 , 2908.23
1058,False,False,False,True,True,True,False,False,40,5,8673764,105.10, 0.86, 0:04.91, 2154, 500 , 102.39 , 3469.51
1059,True,False,False,False,True,False,False,False,40,9,7146442,109.05, 0.93, 0:05.90, 1861, 500 , 85.26 , 2858.58
1060,True,False,False,True,False,True,False,False,40,9,8202871,106.55, 0.94, 0:05.16, 2080, 500 , 97.51 , 3281.15
