configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,371177,0.99, 0.04, 0:00.22, 469, 150 , 708.28 , 593.29
1001,False,False,True,True,True,True,True,True,20,1,405509,0.87, 0.02, 0:00.19, 468, 150 , 839.88 , 648.17
1002,True,False,False,False,True,False,True,True,60,5,376641,1.02, 0.04, 0:00.27, 393, 150 , 570.85 , 602.02
1003,False,False,False,True,True,True,False,False,20,9,359588,1.26, 0.02, 0:00.26, 482, 150 , 580.56 , 574.77
1004,False,False,True,False,False,True,True,False,20,9,392949,1.06, 0.02, 0:00.22, 488, 150 , 721.63 , 628.09
1005,True,False,False,True,False,True,False,False,20,1,358239,0.76, 0.03, 0:00.15, 516, 150 , 1000.42 , 572.61
1006,False,False,False,False,False,True,True,False,60,5,368420,0.97, 0.02, 0:00.20, 496, 150 , 780.48 , 588.88
1007,True,False,False,True,False,True,False,False,20,5,345854,0.99, 0.04, 0:00.21, 485, 150 , 724.69 , 552.81
1008,True,False,False,False,True,False,False,False,20,1,379648,0.77, 0.03, 0:00.18, 438, 150 , 855.94 , 606.83
1009,False,False,True,True,False,False,True,True,40,9,420383,1.08, 0.04, 0:00.26, 421, 150 , 582.35 , 671.94
1010,False,False,False,False,False,True,True,False,60,1,374878,0.80, 0.05, 0:00.17, 496, 150 , 907.23 , 599.21
101,False,False,True,False,False,True,True,True,40,9,396266,1.03, 0.03, 0:00.21, 506, 150 , 740.22 , 633.39
1011,False,False,False,True,True,True,False,False,20,1,375732,0.81, 0.03, 0:00.16, 504, 150 , 929.31 , 600.57
1012,False,False,True,False,False,True,True,False,20,1,400111,0.84, 0.03, 0:00.18, 465, 150 , 859.01 , 639.54
1013,True,False,False,False,True,False,False,False,20,5,367562,1.00, 0.03, 0:00.23, 442, 150 , 660.10 , 587.51
1014,True,False,False,True,False,True,False,False,20,9,341652,1.17, 0.04, 0:00.24, 489, 150 , 626.40 , 546.10
1015,True,False,False,True,False,True,True,True,40,1,360843,0.78, 0.04, 0:00.16, 506, 150 , 954.92 , 576.77
1016,True,False,True,False,True,True,False,True,40,1,390051,0.82, 0.02, 0:00.18, 472, 150 , 903.88 , 623.46
1017,True,False,True,False,False,False,True,True,20,9,402497,1.02, 0.03, 0:00.24, 439, 150 , 662.81 , 643.35
1018,True,False,False,True,False,True,True,True,40,5,354885,0.87, 0.02, 0:00.17, 510, 150 , 883.96 , 567.25
1019,True,False,True,False,False,False,True,True,20,5,406041,0.93, 0.02, 0:00.22, 418, 150 , 699.29 , 649.02
1020,True,False,True,False,False,True,False,False,20,1,386929,0.81, 0.02, 0:00.17, 472, 150 , 899.86 , 618.47
102,False,False,False,True,False,False,False,False,60,9,386682,1.27, 0.03, 0:00.31, 411, 150 , 487.19 , 618.07
1021,True,False,False,False,True,False,False,False,40,1,383731,0.80, 0.03, 0:00.20, 405, 150 , 759.39 , 613.36
1022,False,False,False,False,True,True,True,False,40,1,374754,0.87, 0.04, 0:00.19, 473, 150 , 808.29 , 599.01
1023,True,False,False,True,False,True,True,True,40,9,351906,0.99, 0.02, 0:00.19, 523, 150 , 803.65 , 562.49
