configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,350814,1.68, 0.06, 0:00.28, 613, 260 , 941.50 , 323.50
1001,False,False,True,True,True,True,True,True,20,1,354593,1.35, 0.07, 0:00.22, 647, 260 , 1259.06 , 326.99
1002,True,False,False,False,True,False,True,True,60,5,395350,1.48, 0.06, 0:00.29, 527, 260 , 910.92 , 364.57
1003,False,False,False,True,True,True,False,False,20,9,307779,2.28, 0.05, 0:00.36, 645, 260 , 734.83 , 283.82
1004,False,False,True,False,False,True,True,False,20,9,358521,2.05, 0.05, 0:00.33, 621, 260 , 804.86 , 330.61
1005,True,False,False,True,False,True,False,False,20,1,304147,1.28, 0.04, 0:00.18, 714, 260 , 1459.85 , 280.47
1006,False,False,False,False,False,True,True,False,60,5,319484,1.62, 0.06, 0:00.24, 696, 260 , 1117.28 , 294.61
1007,True,False,False,True,False,True,False,False,20,5,294822,1.82, 0.03, 0:00.28, 656, 260 , 943.62 , 271.87
1008,True,False,False,False,True,False,False,False,20,1,347813,1.34, 0.06, 0:00.25, 549, 260 , 1046.75 , 320.74
1009,False,False,True,True,False,False,True,True,40,9,444786,1.86, 0.06, 0:00.35, 539, 260 , 766.89 , 410.16
1010,False,False,False,False,False,True,True,False,60,1,314216,1.36, 0.03, 0:00.19, 703, 260 , 1367.54 , 289.76
101,False,False,True,False,False,True,True,True,40,9,359436,1.90, 0.03, 0:00.28, 674, 260 , 959.72 , 331.46
1011,False,False,False,True,True,True,False,False,20,1,311360,1.38, 0.03, 0:00.20, 685, 260 , 1311.34 , 287.12
1012,False,False,True,False,False,True,True,False,20,1,358067,1.37, 0.04, 0:00.21, 654, 260 , 1291.66 , 330.19
1013,True,False,False,False,True,False,False,False,20,5,342445,1.68, 0.08, 0:00.31, 559, 260 , 849.51 , 315.79
1014,True,False,False,True,False,True,False,False,20,9,295066,2.24, 0.08, 0:00.35, 657, 260 , 753.76 , 272.10
1015,True,False,False,True,False,True,True,True,40,1,304147,1.35, 0.03, 0:00.20, 673, 260 , 1308.70 , 280.47
1016,True,False,True,False,True,True,False,True,40,1,341913,1.44, 0.05, 0:00.22, 675, 260 , 1253.71 , 315.30
1017,True,False,True,False,False,False,True,True,20,9,390665,1.80, 0.05, 0:00.31, 586, 260 , 864.86 , 360.25
1018,True,False,False,True,False,True,True,True,40,5,301601,1.56, 0.04, 0:00.23, 674, 260 , 1134.13 , 278.12
1019,True,False,True,False,False,False,True,True,20,5,389388,1.56, 0.01, 0:00.29, 541, 260 , 946.76 , 359.08
1020,True,False,True,False,False,True,False,False,20,1,344172,1.37, 0.05, 0:00.21, 664, 260 , 1297.55 , 317.38
102,False,False,False,True,False,False,False,False,60,9,399909,2.23, 0.08, 0:00.44, 523, 260 , 602.26 , 368.78
1021,True,False,False,False,True,False,False,False,40,1,383785,1.32, 0.06, 0:00.26, 534, 260 , 1030.94 , 353.91
1022,False,False,False,False,True,True,True,False,40,1,313326,1.41, 0.04, 0:00.20, 698, 260 , 1297.85 , 288.94
1023,True,False,False,True,False,True,True,True,40,9,305470,1.92, 0.02, 0:00.28, 677, 260 , 933.13 , 281.69
1024,True,False,True,False,True,True,False,True,40,9,333780,2.40, 0.03, 0:00.38, 630, 260 , 699.20 , 307.80
1025,False,False,False,False,True,True,True,False,40,5,319010,1.52, 0.04, 0:00.22, 687, 260 , 1197.46 , 294.18
1026,False,False,True,True,True,True,True,True,20,9,352921,1.98, 0.03, 0:00.29, 680, 260 , 923.60 , 325.45
1027,True,False,True,False,True,True,False,True,40,5,333009,2.04, 0.06, 0:00.35, 589, 260 , 761.24 , 307.09
1028,False,False,False,False,True,True,True,False,40,9,322037,1.82, 0.03, 0:00.26, 690, 260 , 1002.31 , 296.97
1029,False,False,True,False,True,False,True,True,60,5,457631,1.82, 0.06, 0:00.39, 475, 260 , 677.75 , 422.01
1030,True,False,False,False,False,False,False,False,60,1,392549,1.34, 0.06, 0:00.28, 500, 260 , 961.46 , 361.99
103,True,False,False,True,False,True,False,True,20,5,294493,1.80, 0.05, 0:00.28, 658, 260 , 945.78 , 271.57
1031,False,False,True,True,False,True,False,True,60,5,344440,1.77, 0.07, 0:00.29, 621, 260 , 923.48 , 317.63
1032,False,False,True,False,True,False,True,True,60,1,454922,1.42, 0.05, 0:00.31, 468, 260 , 873.32 , 419.51
1033,True,False,False,False,False,False,False,False,60,5,385919,1.66, 0.06, 0:00.35, 495, 260 , 768.41 , 355.88
