configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,7275621,101.27, 1.04, 0:04.51, 2268, 500 , 111.97 , 2910.25
1001,False,False,True,True,True,True,True,True,20,1,10667540,75.74, 0.86, 0:03.34, 2293, 500 , 151.69 , 4267.02
1002,True,False,False,False,True,False,True,True,60,5,7364214,74.86, 0.95, 0:04.10, 1847, 500 , 123.03 , 2945.69
1003,False,False,False,True,True,True,False,False,20,9,8546415,134.22, 1.02, 0:06.49, 2083, 500 , 77.53 , 3418.57
1004,False,False,True,False,False,True,True,False,20,9,9403299,114.47, 0.89, 0:04.89, 2357, 500 , 102.99 , 3761.32
1005,True,False,False,True,False,True,False,False,20,1,8858799,73.03, 0.84, 0:03.16, 2333, 500 , 159.81 , 3543.52
1006,False,False,False,False,False,True,True,False,60,5,8234949,81.79, 0.87, 0:03.70, 2234, 500 , 136.62 , 3293.98
1007,True,False,False,True,False,True,False,False,20,5,8342195,102.39, 0.82, 0:04.75, 2171, 500 , 105.95 , 3336.88
1008,True,False,False,False,True,False,False,False,20,1,7211742,56.08, 0.93, 0:03.34, 1706, 500 , 151.41 , 2884.70
1009,False,False,True,True,False,False,True,True,40,9,9072036,99.05, 0.89, 0:04.59, 2177, 500 , 110.06 , 3628.81
1010,False,False,False,False,False,True,True,False,60,1,8489401,77.08, 0.71, 0:03.41, 2278, 500 , 148.08 , 3395.76
101,False,False,True,False,False,True,True,True,40,9,9420381,95.12, 0.92, 0:04.14, 2318, 500 , 122.05 , 3768.15
1011,False,False,False,True,True,True,False,False,20,1,9020599,73.05, 0.70, 0:03.25, 2269, 500 , 155.61 , 3608.24
1012,False,False,True,False,False,True,True,False,20,1,9995139,73.94, 0.79, 0:03.39, 2200, 500 , 148.80 , 3998.06
1013,True,False,False,False,True,False,False,False,20,5,6949090,81.48, 0.89, 0:04.27, 1925, 500 , 118.10 , 2779.64
1014,True,False,False,True,False,True,False,False,20,9,8202871,112.04, 0.92, 0:05.32, 2120, 500 , 94.55 , 3281.15
1015,True,False,False,True,False,True,True,True,40,1,8864958,71.34, 0.79, 0:03.31, 2179, 500 , 152.79 , 3545.98
1016,True,False,True,False,True,True,False,True,40,1,9745679,62.15, 0.79, 0:03.01, 2089, 500 , 168.27 , 3898.27
1017,True,False,True,False,False,False,True,True,20,9,7995893,99.19, 0.99, 0:04.55, 2201, 500 , 111.02 , 3198.36
1018,True,False,False,True,False,True,True,True,40,5,8426800,67.60, 0.80, 0:03.05, 2237, 500 , 165.71 , 3370.72
1019,True,False,True,False,False,False,True,True,20,5,8118472,64.01, 1.01, 0:03.53, 1839, 500 , 143.22 , 3247.39
1020,True,False,True,False,False,True,False,False,20,1,9706998,74.70, 0.62, 0:03.21, 2344, 500 , 157.58 , 3882.80
