configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,371177,0.98, 0.05, 0:00.22, 464, 150 , 698.08 , 593.29
1001,False,False,True,True,True,True,True,True,20,1,405509,0.89, 0.02, 0:00.19, 479, 150 , 822.73 , 648.17
1002,True,False,False,False,True,False,True,True,60,5,376641,0.91, 0.02, 0:00.23, 394, 150 , 646.42 , 602.02
1003,False,False,False,True,True,True,False,False,20,9,359588,1.25, 0.04, 0:00.27, 467, 150 , 559.41 , 574.77
1004,False,False,True,False,False,True,True,False,20,9,392949,1.05, 0.03, 0:00.21, 507, 150 , 727.01 , 628.09
1005,True,False,False,True,False,True,False,False,20,1,358239,0.80, 0.03, 0:00.16, 521, 150 , 977.91 , 572.61
1006,False,False,False,False,False,True,True,False,60,5,368420,1.00, 0.05, 0:00.22, 475, 150 , 700.30 , 588.88
1007,True,False,False,True,False,True,False,False,20,5,345854,0.99, 0.02, 0:00.21, 485, 150 , 738.97 , 552.81
1008,True,False,False,False,True,False,False,False,20,1,379648,0.78, 0.04, 0:00.18, 438, 150 , 825.78 , 606.83
1009,False,False,True,True,False,False,True,True,40,9,420383,1.05, 0.03, 0:00.26, 412, 150 , 603.17 , 671.94
1010,False,False,False,False,False,True,True,False,60,1,374878,0.84, 0.01, 0:00.17, 500, 150 , 917.95 , 599.21
101,False,False,True,False,False,True,True,True,40,9,396266,1.06, 0.04, 0:00.22, 496, 150 , 707.57 , 633.39
1011,False,False,False,True,True,True,False,False,20,1,375732,0.85, 0.03, 0:00.17, 498, 150 , 877.30 , 600.57
1012,False,False,True,False,False,True,True,False,20,1,400111,0.85, 0.04, 0:00.19, 465, 150 , 831.72 , 639.54
1013,True,False,False,False,True,False,False,False,20,5,367562,1.19, 0.02, 0:00.28, 426, 150 , 543.16 , 587.51
1014,True,False,False,True,False,True,False,False,20,9,341652,1.19, 0.03, 0:00.25, 489, 150 , 618.29 , 546.10
1015,True,False,False,True,False,True,True,True,40,1,360843,0.79, 0.02, 0:00.15, 524, 150 , 993.88 , 576.77
1016,True,False,True,False,True,True,False,True,40,1,390051,0.89, 0.03, 0:00.19, 469, 150 , 808.90 , 623.46
