configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,24572940,154.99, 1.10, 0:06.79, 2298, 690 , 102.23 , 7122.59
1001,False,False,True,True,True,True,True,True,20,1,30307710,127.20, 0.85, 0:05.52, 2318, 690 , 125.85 , 8784.84
1002,True,False,False,False,True,False,True,True,60,5,23919117,149.35, 1.35, 0:06.99, 2153, 690 , 99.21 , 6933.08
1003,False,False,False,True,True,True,False,False,20,9,24693831,221.73, 1.19, 0:10.64, 2094, 690 , 65.03 , 7157.63
1004,False,False,True,False,False,True,True,False,20,9,28271447,161.35, 1.09, 0:07.04, 2306, 690 , 98.61 , 8194.62
1005,True,False,False,True,False,True,False,False,20,1,25106524,127.68, 1.00, 0:05.37, 2393, 690 , 129.20 , 7277.25
1006,False,False,False,False,False,True,True,False,60,5,24190846,142.18, 1.18, 0:06.46, 2216, 690 , 107.33 , 7011.84
1007,True,False,False,True,False,True,False,False,20,5,24011825,164.37, 1.19, 0:07.96, 2078, 690 , 87.06 , 6959.95
1008,True,False,False,False,True,False,False,False,20,1,24371648,115.91, 0.99, 0:05.13, 2275, 690 , 135.35 , 7064.25
1009,False,False,True,True,False,False,True,True,40,9,29882791,214.88, 1.23, 0:09.21, 2346, 690 , 75.25 , 8661.68
1010,False,False,False,False,False,True,True,False,60,1,24657106,122.70, 1.01, 0:05.42, 2279, 690 , 128.03 , 7146.99
101,False,False,True,False,False,True,True,True,40,9,28234979,158.41, 1.16, 0:06.99, 2282, 690 , 99.27 , 8184.05
1011,False,False,False,True,True,True,False,False,20,1,25530226,138.35, 0.94, 0:05.89, 2362, 690 , 117.73 , 7400.07
1012,False,False,True,False,False,True,True,False,20,1,29127758,126.48, 1.07, 0:05.44, 2343, 690 , 127.77 , 8442.83
1013,True,False,False,False,True,False,False,False,20,5,23389097,155.07, 1.02, 0:07.53, 2070, 690 , 92.01 , 6779.45
1014,True,False,False,True,False,True,False,False,20,9,23787103,206.32, 1.23, 0:09.89, 2098, 690 , 70.03 , 6894.81
1015,True,False,False,True,False,True,True,True,40,1,25097129,141.47, 0.93, 0:05.52, 2575, 690 , 125.65 , 7274.53
1016,True,False,True,False,True,True,False,True,40,1,28138101,115.81, 0.97, 0:05.14, 2271, 690 , 135.33 , 8155.97
1017,True,False,True,False,False,False,True,True,20,9,27474064,149.63, 1.11, 0:06.60, 2283, 690 , 105.15 , 7963.50
1018,True,False,False,True,False,True,True,True,40,5,24337246,144.29, 1.00, 0:06.35, 2286, 690 , 109.22 , 7054.27
1019,True,False,True,False,False,False,True,True,20,5,27723699,135.01, 1.15, 0:06.11, 2226, 690 , 113.66 , 8035.85
1020,True,False,True,False,False,True,False,False,20,1,28110459,95.36, 0.85, 0:04.19, 2293, 690 , 166.06 , 8147.96
102,False,False,False,True,False,False,False,False,60,9,25180746,217.47, 1.53, 0:10.65, 2055, 690 , 64.98 , 7298.77
1021,True,False,False,False,True,False,False,False,40,1,24566831,118.69, 0.97, 0:05.52, 2164, 690 , 125.73 , 7120.82
1022,False,False,False,False,True,True,True,False,40,1,24780457,146.62, 0.92, 0:05.81, 2539, 690 , 119.49 , 7182.74
1023,True,False,False,True,False,True,True,True,40,9,24185151,156.14, 1.20, 0:06.53, 2406, 690 , 106.19 , 7010.19
1024,True,False,True,False,True,True,False,True,40,9,26520617,197.68, 1.07, 0:09.47, 2096, 690 , 73.08 , 7687.14
1025,False,False,False,False,True,True,True,False,40,5,24327069,164.91, 0.98, 0:07.03, 2357, 690 , 98.54 , 7051.32
1026,False,False,True,True,True,True,True,True,20,9,29381608,173.12, 1.14, 0:07.69, 2264, 690 , 90.08 , 8516.41
1027,True,False,True,False,True,True,False,True,40,5,26853598,174.27, 1.25, 0:08.28, 2118, 690 , 83.71 , 7783.65
1028,False,False,False,False,True,True,True,False,40,9,24173606,204.54, 1.13, 0:08.71, 2360, 690 , 79.54 , 7006.84
1029,False,False,True,False,True,False,True,True,60,5,29250330,125.20, 1.21, 0:06.46, 1955, 690 , 107.49 , 8478.36
1030,True,False,False,False,False,False,False,False,60,1,24517842,107.47, 1.06, 0:05.60, 1936, 690 , 123.87 , 7106.62
103,True,False,False,True,False,True,False,True,20,5,23989786,169.85, 1.06, 0:07.96, 2146, 690 , 87.07 , 6953.56
1031,False,False,True,True,False,True,False,True,60,5,29057716,175.45, 1.10, 0:08.44, 2089, 690 , 82.11 , 8422.53
1032,False,False,True,False,True,False,True,True,60,1,29830644,113.31, 1.17, 0:05.71, 2003, 690 , 121.61 , 8646.56
1033,True,False,False,False,False,False,False,False,60,5,23526764,160.78, 1.32, 0:07.91, 2047, 690 , 87.50 , 6819.35
1034,True,False,True,False,False,False,True,True,20,1,28471696,102.33, 1.09, 0:04.87, 2121, 690 , 142.82 , 8252.67
1035,True,False,False,False,False,False,False,False,60,9,23264755,211.95, 1.56, 0:10.39, 2053, 690 , 66.64 , 6743.41
1036,True,False,False,True,True,False,False,True,40,5,24636952,151.21, 1.28, 0:07.35, 2074, 690 , 94.36 , 7141.15
1037,False,False,True,True,False,False,False,True,40,1,30772811,140.15, 1.10, 0:06.29, 2243, 690 , 110.38 , 8919.66
1038,True,False,False,True,True,False,False,True,40,1,25634177,101.83, 0.91, 0:04.98, 2061, 690 , 139.59 , 7430.20
1039,False,False,True,True,False,False,False,True,60,9,29436889,207.54, 1.34, 0:10.10, 2067, 690 , 68.59 , 8532.43
1040,True,False,False,False,False,False,True,True,60,1,24516491,106.62, 1.03, 0:05.49, 1958, 690 , 126.47 , 7106.23
104,True,False,True,False,False,False,True,True,60,9,27732464,152.51, 1.11, 0:06.99, 2197, 690 , 99.35 , 8038.40
1041,True,False,False,True,True,False,False,True,20,9,24185077,218.03, 1.33, 0:10.24, 2141, 690 , 67.63 , 7010.17
1042,False,False,True,False,True,True,True,True,60,9,28373604,158.76, 1.21, 0:07.01, 2281, 690 , 99.01 , 8224.23
