configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,1689282,1.61,0.25, 0:00.45,412,599,2042.7,676.16,0.45
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,552325,4.8,0.41, 0:01.00,520,599,720.77,221.08,1.0
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,606726,3.77,0.29, 0:00.72,562,599,1061.98,242.85,0.72
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,606157,4.49,0.34, 0:00.75,637,599,1015.91,242.62,0.75
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,650559,4.77,0.34, 0:00.78,652,599,975.1,260.4,0.78
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,677100,3.91,0.31, 0:00.62,680,599,1290.82,271.02,0.62
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,708523,2.91,0.31, 0:00.67,478,599,1173.35,283.6,0.67
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,817029,3.53,0.33, 0:00.73,526,599,1053.08,327.03,0.73
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,506873,3.3,0.32, 0:00.72,503,599,1075.92,202.88,0.72
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,515331,3.75,0.32, 0:00.77,527,599,986.03,206.27,0.77
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,664072,3.57,0.39, 0:00.75,523,599,1004.37,265.81,0.75
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,1302522,1.97,0.3, 0:00.46,490,599,1957.45,521.36,0.46
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,708278,4.79,0.28, 0:00.79,640,599,965.51,283.5,0.79
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,525559,3.99,0.35, 0:00.76,567,599,970.61,210.36,0.76
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,518574,4.83,0.27, 0:00.86,594,599,841.28,207.57,0.86
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,514949,4.18,0.28, 0:00.76,585,599,960.79,206.12,0.76
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,647540,4.75,0.3, 0:00.80,626,599,922.47,259.19,0.8
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,517106,4.59,0.28, 0:00.91,531,599,793.23,206.98,0.91
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,521592,4.32,0.28, 0:00.80,575,599,944.76,208.78,0.8
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,602162,4.52,0.33, 0:00.88,547,599,828.77,241.03,0.88
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,507384,4.98,0.35, 0:01.00,529,599,703.68,203.09,1.0
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,498173,5.07,0.34, 0:00.99,544,599,714.19,199.4,0.99
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,1302522,1.94,0.27, 0:00.47,468,599,1876.46,521.36,0.47
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,650463,5.24,0.38, 0:01.04,540,599,674.64,260.36,1.04
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,509086,4.95,0.41, 0:00.97,551,599,738.04,203.77,0.97
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,517571,5.69,0.32, 0:01.26,475,599,543.1,207.17,1.26
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,815935,4.81,0.27, 0:00.79,644,599,960.49,326.59,0.79
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,786202,4.81,0.32, 0:00.78,655,599,925.56,314.69,0.78
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,821241,4.78,0.3, 0:00.77,657,599,971.3,328.72,0.77
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,508030,3.27,0.33, 0:00.68,526,599,1148.33,203.35,0.68
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,512016,3.67,0.29, 0:00.66,593,599,1143.4,204.94,0.66
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,585474,3.86,0.27, 0:00.68,605,599,1109.08,234.35,0.68
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,707578,3.35,0.33, 0:00.56,649,599,1456.62,283.22,0.56
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,1687737,1.54,0.24, 0:00.44,397,599,2071.93,675.55,0.44
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,746740,4.15,0.3, 0:00.59,746,599,1382.55,298.9,0.59
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,737249,4.67,0.29, 0:00.63,786,599,1216.16,295.1,0.63
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,743111,3.9,0.33, 0:00.63,666,599,1259.75,297.44,0.63
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,521592,4.47,0.36, 0:00.83,578,599,892.83,208.78,0.83
