configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3809809,1.24,0.11, 0:00.34,396,600,2644.93,1522.4,0.34
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,1153929,5.57,0.3, 0:01.42,411,600,463.56,461.11,1.42
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,1126785,5.14,0.26, 0:01.19,451,600,560.12,450.26,1.19
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,1171256,5.7,0.24, 0:01.22,485,600,545.59,468.03,1.22
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,1015761,5.99,0.23, 0:00.93,668,600,745.52,405.9,0.93
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,1081092,4.36,0.22, 0:00.73,622,600,980.4,432.0,0.73
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1580942,3.03,0.21, 0:00.67,477,600,1086.6,631.75,0.67
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1536052,2.94,0.16, 0:00.66,465,600,1105.21,613.81,0.66
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1000665,4.06,0.17, 0:00.96,439,600,716.62,399.87,0.96
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1027652,4.09,0.2, 0:00.94,453,600,730.35,410.65,0.94
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,1465839,4.07,0.21, 0:00.96,442,600,709.83,585.75,0.96
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,1919944,1.48,0.18, 0:00.33,491,600,2758.23,767.21,0.33
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,1101522,5.57,0.21, 0:00.82,702,600,853.92,440.17,0.82
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,1157849,4.95,0.21, 0:01.03,499,600,662.05,462.68,1.03
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1139654,5.43,0.25, 0:01.03,547,600,656.89,455.41,1.03
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1060400,5.01,0.18, 0:01.03,504,600,669.95,423.74,1.03
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,1593661,5.93,0.21, 0:00.98,624,600,698.32,636.83,0.98
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,1144255,5.91,0.19, 0:01.06,574,600,640.07,457.24,1.06
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1143495,5.23,0.23, 0:01.03,528,600,659.82,456.94,1.03
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1294096,4.98,0.22, 0:01.02,509,600,675.71,517.12,1.02
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1058310,5.88,0.28, 0:01.34,460,600,495.3,422.9,1.34
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,1024974,6.05,0.26, 0:01.34,470,600,488.26,409.58,1.34
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,1919944,1.51,0.18, 0:00.33,500,600,2778.96,767.21,0.33
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,1486967,5.84,0.31, 0:01.35,454,600,490.95,594.19,1.35
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,1063616,5.78,0.3, 0:01.34,452,600,491.9,425.02,1.34
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1054762,6.43,0.3, 0:01.32,507,600,501.55,421.48,1.32
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,1154819,5.34,0.21, 0:01.09,510,600,622.43,461.47,1.09
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,1154820,5.54,0.21, 0:01.10,522,600,615.49,461.47,1.1
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,1160066,5.75,0.25, 0:01.17,512,600,574.11,463.56,1.17
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1047918,4.07,0.23, 0:00.82,522,600,864.67,418.75,0.82
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1111751,4.17,0.29, 0:00.84,530,600,840.18,444.26,0.84
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1253969,4.54,0.33, 0:00.86,564,600,814.07,501.09,0.86
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1004852,3.51,0.25, 0:00.56,667,600,1340.87,401.54,0.56
