configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,51354530,24.52,2.46, 0:04.35,619,1199,385.46,20558.94,4.35
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,24725945,88.53,3.29, 0:09.34,982,1199,148.03,9898.63,9.34
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,27138483,77.87,2.83, 0:07.15,1127,1199,199.99,10864.45,7.15
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,27192792,96.03,2.88, 0:07.74,1277,1199,183.98,10886.19,7.74
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,24063117,177.66,3.24, 0:11.10,1628,1199,121.35,9633.27,11.1
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,25045255,112.48,3.0, 0:07.40,1559,1199,194.42,10026.46,7.4
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,34207989,71.08,2.65, 0:06.71,1098,1199,220.73,13694.61,6.71
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,31576787,71.47,2.92, 0:06.65,1117,1199,221.5,12641.25,6.65
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,24100960,70.99,2.97, 0:07.75,954,1199,183.8,9648.42,7.75
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,24359660,78.41,2.95, 0:07.61,1068,1199,188.89,9751.99,7.61
