configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,80483859,20.03,2.7, 0:04.36,520,1179,373.99,32220.85,4.36
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,35740645,75.34,2.66, 0:07.57,1029,1179,186.32,14308.38,7.57
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,56477043,74.39,2.66, 0:06.34,1214,1179,220.46,22609.98,6.34
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,56337693,90.12,2.43, 0:06.70,1380,1179,207.94,22554.19,6.7
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,29847010,117.13,2.64, 0:08.26,1448,1179,162.57,11948.93,8.26
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,30115332,91.16,2.55, 0:06.83,1371,1179,208.8,12056.35,6.83
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,49828064,69.18,2.72, 0:07.72,931,1179,181.12,19948.13,7.72
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,45927135,81.9,2.55, 0:07.28,1158,1179,194.4,18386.44,7.28
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,33667051,56.85,2.75, 0:06.53,912,1179,220.27,13478.24,6.53
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,34080245,66.58,2.91, 0:06.73,1031,1179,212.21,13643.66,6.73
