configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2682548,3.35,0.85, 0:01.26,333,599,672.94,1080.4,1.26
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,1080356,10.85,0.76, 0:01.65,702,599,468.8,435.11,1.65
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,812820,8.47,1.04, 0:01.50,633,599,517.44,327.36,1.5
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,815563,10.55,0.83, 0:01.48,768,599,537.39,328.47,1.48
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,1370660,12.75,1.05, 0:01.77,780,599,425.09,552.04,1.77
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,1403132,10.77,0.89, 0:01.47,791,599,532.79,565.11,1.47
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1154559,6.85,0.88, 0:01.51,510,599,528.09,465.0,1.51
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1429502,8.17,0.98, 0:01.57,583,599,498.02,575.73,1.57
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1017753,7.93,0.88, 0:01.55,568,599,509.01,409.9,1.55
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1047658,8.76,0.87, 0:01.48,647,599,510.11,421.95,1.48
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,1207249,8.02,0.75, 0:01.46,597,599,516.77,486.22,1.46
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2645495,5.3,0.7, 0:01.18,506,599,676.83,1065.48,1.18
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,1466241,11.6,0.94, 0:01.57,799,599,496.08,590.53,1.57
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,1119142,10.56,0.88, 0:01.64,696,599,470.97,450.74,1.64
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1095120,10.86,0.92, 0:01.63,721,599,479.37,441.06,1.63
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1089241,10.22,1.02, 0:01.63,689,599,476.73,438.69,1.63
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,1236539,11.11,0.85, 0:01.57,759,599,496.6,498.02,1.57
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,1103229,11.22,0.86, 0:01.87,645,599,396.37,444.33,1.87
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1102763,11.29,0.98, 0:01.67,734,599,461.38,444.14,1.67
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1227792,10.94,0.88, 0:01.69,698,599,454.3,494.49,1.69
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1048013,11.78,1.1, 0:01.86,692,599,403.11,422.09,1.86
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,1003767,12.29,1.04, 0:01.86,715,599,404.47,404.27,1.86
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2645495,5.29,0.74, 0:01.18,508,599,681.48,1065.48,1.18
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,1204701,10.84,1.1, 0:01.88,634,599,393.14,485.19,1.88
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,1046511,11.42,1.16, 0:01.86,676,599,402.46,421.48,1.86
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1059072,12.77,1.09, 0:02.88,481,599,238.53,426.54,2.88
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,1193772,11.71,0.99, 0:01.62,783,599,484.69,480.79,1.62
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,1184377,11.56,0.98, 0:01.55,806,599,497.18,477.01,1.55
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,1186799,11.37,1.04, 0:01.52,813,599,496.94,477.98,1.52
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1020825,8.51,1.09, 0:01.52,628,599,499.53,411.14,1.52
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1028371,10.15,0.93, 0:01.53,721,599,497.37,414.18,1.53
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1134991,10.63,0.95, 0:01.53,756,599,496.0,457.12,1.53
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1487779,10.09,1.01, 0:01.47,751,599,536.92,599.2,1.47
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2677601,3.31,0.92, 0:01.22,344,599,698.58,1078.41,1.22
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1513588,11.4,0.93, 0:01.47,836,599,538.58,609.6,1.47
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1511328,12.29,0.88, 0:01.47,891,599,538.24,608.69,1.47
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,1507466,10.89,1.0, 0:01.50,790,599,528.82,607.13,1.5
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,1102763,10.75,0.91, 0:01.59,730,599,489.59,444.14,1.59
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1505904,9.2,0.86, 0:01.47,684,599,533.31,606.5,1.47
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,1239793,9.18,0.87, 0:01.63,615,599,473.14,499.33,1.63
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1505523,9.42,0.79, 0:01.39,732,599,568.0,606.35,1.39
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,1131172,42.36,0.96, 0:06.26,691,599,101.88,455.58,6.26
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,1173484,61.06,0.84, 0:05.64,1097,599,114.23,472.62,5.64
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,1103522,22.44,0.96, 0:02.95,791,599,226.88,444.44,2.95
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2682548,3.39,0.74, 0:01.20,345,599,680.25,1080.4,1.2
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,1271028,24.07,0.72, 0:02.54,973,599,270.61,511.91,2.54
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1385238,25.54,1.03, 0:04.76,558,599,136.06,557.91,4.76
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,1141087,17.58,1.08, 0:03.60,517,599,184.18,459.57,3.6
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1487982,42.45,1.21, 0:08.00,545,599,78.52,599.29,8.0
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,1224623,18.8,0.81, 0:03.12,627,599,213.79,493.22,3.12
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,1089195,15.39,0.79, 0:02.06,783,599,343.26,438.67,2.06
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,1395050,9.66,0.78, 0:01.58,661,599,478.79,561.86,1.58
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,1986268,22.21,0.96, 0:03.19,725,599,208.44,799.97,3.19
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,1984705,23.17,1.06, 0:03.29,736,599,202.23,799.34,3.29
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,1448498,13.49,0.85, 0:01.57,908,599,496.13,583.38,1.57
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,2682548,3.54,0.82, 0:01.25,349,599,679.24,1080.4,1.25
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,1643607,24.44,1.05, 0:03.22,790,599,209.95,661.96,3.22
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,1405099,17.32,0.96, 0:01.99,918,599,367.49,565.91,1.99
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,1407244,15.72,0.96, 0:01.86,894,599,398.99,566.77,1.86
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,1402812,15.78,0.84, 0:01.84,900,599,406.17,564.98,1.84
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,1468280,11.98,0.89, 0:01.51,849,599,518.79,591.35,1.51
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,1707132,15.29,0.84, 0:01.82,886,599,415.65,687.55,1.82
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,1035376,20.93,0.86, 0:03.11,699,599,213.8,417.0,3.11
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,1094803,16.9,0.76, 0:02.67,660,599,259.91,440.93,2.67
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,1084608,23.88,0.78, 0:02.86,860,599,240.41,436.83,2.86
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,1003496,17.25,1.06, 0:02.35,778,599,302.58,404.16,2.35
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,2682548,3.46,0.83, 0:01.26,339,599,664.55,1080.4,1.26
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,1076687,10.7,0.83, 0:01.78,647,599,424.75,433.64,1.78
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,1427641,17.88,1.15, 0:02.19,865,599,326.95,574.98,2.19
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,2123054,19.62,1.06, 0:03.29,628,599,205.34,855.06,3.29
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,1309393,11.56,0.82, 0:01.94,637,599,366.85,527.36,1.94
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,2175143,13.05,0.97, 0:01.62,864,599,459.83,876.04,1.62
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,2466210,17.76,1.05, 0:03.09,608,599,218.84,993.27,3.09
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,2175933,11.63,0.72, 0:01.67,737,599,458.26,876.36,1.67
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,1057165,13.91,0.78, 0:01.73,847,599,422.99,425.77,1.73
169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,1040037,14.49,1.02, 0:02.28,679,599,312.86,418.88,2.28
170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,1089056,17.51,0.91, 0:02.83,650,599,244.35,438.62,2.83
17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2682864,3.43,0.73, 0:01.19,349,599,684.05,1080.53,1.19
171,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,1081321,17.23,0.79, 0:02.61,688,599,266.56,435.5,2.61
172,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,0,1236081,15.83,0.72, 0:02.58,640,599,270.9,497.83,2.58
173,1,2,1:0:0,0x3:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,1058926,7.06,1.2, 0:01.49,552,599,510.54,426.48,1.49
174,1,3,1:0:0,0x3:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,0,69,1,1440611,11.77,0.97, 0:01.51,842,599,500.86,580.21,1.51
