configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,50240980,15.31,1.28, 0:02.00,827,500,350.1,20096.39,2.0
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,36930815,59.0,1.68, 0:05.84,1039,500,94.65,14772.33,5.84
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,20853478,49.24,1.52, 0:04.85,1045,500,116.35,8341.39,4.85
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,21442128,59.5,1.41, 0:04.03,1510,500,144.37,8576.85,4.03
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,42170083,167.71,1.76, 0:09.35,1810,500,56.8,16868.03,9.35
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,38707093,73.74,1.47, 0:03.93,1911,500,147.74,15482.84,3.93
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,42708075,56.06,1.4, 0:03.84,1494,500,153.63,17083.23,3.84
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,42300250,51.54,1.37, 0:03.58,1477,500,167.24,16920.1,3.58
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,37492584,61.15,1.35, 0:06.64,940,500,81.43,14997.03,6.64
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,37638389,61.38,1.43, 0:05.97,1051,500,92.63,15055.36,5.97
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,23921416,53.27,1.41, 0:05.68,961,500,96.95,9568.57,5.68
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,39448102,23.19,1.12, 0:01.94,1251,500,357.48,15779.24,1.94
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,43903838,98.32,1.54, 0:09.23,1080,500,57.68,17561.54,9.23
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,35830033,81.92,1.68, 0:07.22,1156,500,75.17,14332.01,7.22
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,35899438,91.14,1.53, 0:07.49,1237,500,71.93,14359.78,7.49
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,35009082,79.42,1.76, 0:06.98,1162,500,77.95,14003.63,6.98
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,22508284,84.64,1.8, 0:07.01,1231,500,77.09,9003.31,7.01
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,38343140,95.95,1.53, 0:12.40,785,500,41.97,15337.26,12.4
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,35835134,80.31,1.51, 0:06.69,1221,500,81.61,14334.05,6.69
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,41036034,80.04,1.56, 0:06.37,1280,500,86.01,16414.41,6.37
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,36666505,116.15,3.2, 0:17.87,667,500,28.87,14666.6,17.87
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,36508463,117.64,2.99, 0:18.44,653,500,27.88,14603.39,18.44
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,39448102,22.16,1.18, 0:01.99,1167,500,345.67,15779.24,1.99
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,23779541,109.72,3.07, 0:18.67,603,500,27.62,9511.82,18.67
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,36663197,123.45,2.77, 0:18.88,668,500,27.17,14665.28,18.88
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,41377750,141.01,2.3, 0:39.75,360,500,12.76,16551.1,39.75
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,21175623,78.21,2.22, 0:07.12,1129,500,76.22,8470.25,7.12
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,33874177,115.22,3.35, 0:18.44,642,500,27.91,13549.67,18.44
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,21889005,77.43,2.13, 0:07.08,1123,500,76.75,8755.6,7.08
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,36498600,60.47,1.97, 0:04.78,1304,500,118.32,14599.44,4.78
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,36650670,61.16,1.7, 0:04.71,1334,500,120.27,14660.27,4.71
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,42696680,60.68,1.73, 0:04.58,1360,500,124.53,17078.67,4.58
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,37862668,50.06,1.51, 0:02.93,1760,500,213.6,15145.07,2.93
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,50054033,15.29,1.02, 0:01.96,829,500,359.13,20021.61,1.96
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,38022118,60.32,1.62, 0:03.12,1985,500,195.39,15208.85,3.12
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,37750738,61.97,1.5, 0:03.20,1980,500,190.32,15100.3,3.2
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,37910488,61.25,1.3, 0:03.01,2077,500,197.71,15164.2,3.01
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,35835134,80.7,1.67, 0:06.90,1192,500,78.71,14334.05,6.9
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,39022255,73.63,1.2, 0:06.24,1197,500,87.91,15608.9,6.24
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,22547271,62.32,1.24, 0:04.46,1423,500,127.14,9018.91,4.46
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,37443175,63.2,1.07, 0:04.74,1354,500,119.07,14977.27,4.74
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,43643037,650.59,1.68, 0:32.97,1978,500,15.43,17457.21,32.97
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,24777931,998.81,1.72, 0:53.86,1857,500,9.37,9911.17,53.86
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,25439535,248.78,1.82, 0:25.04,1000,500,20.36,10175.81,25.04
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,50240980,15.83,1.04, 0:01.81,930,500,380.34,20096.39,1.81
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,26360888,153.98,1.54, 0:14.39,1080,500,35.95,10544.36,14.39
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,36900770,318.45,1.47, 0:17.86,1790,500,28.74,14760.31,17.86
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,22978195,207.09,1.51, 0:12.94,1612,500,40.28,9191.28,12.94
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,42309054,310.16,1.48, 0:17.59,1771,500,29.21,16923.62,17.59
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,40630581,178.21,1.61, 0:09.88,1819,500,53.29,16252.23,9.88
