configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,15426368,2.46,0.19, 0:00.46,569,600,1863.8,6170.55,0.46
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,12070407,12.95,0.48, 0:01.98,676,600,327.0,4828.16,1.98
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,14893424,11.96,0.37, 0:01.54,796,600,428.13,5957.37,1.54
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,14934037,13.23,0.34, 0:01.51,897,600,432.7,5973.61,1.51
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,8969422,18.91,0.4, 0:01.83,1050,600,353.93,3587.77,1.83
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,9237147,11.63,0.3, 0:01.22,974,600,557.56,3694.86,1.22
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,14792271,11.48,0.26, 0:01.16,1012,600,580.51,5916.91,1.16
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,14245092,10.38,0.27, 0:01.09,969,600,627.18,5698.04,1.09
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,12032370,10.41,0.31, 0:01.43,748,600,467.23,4812.95,1.43
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,12184598,11.09,0.23, 0:01.37,823,600,488.11,4873.84,1.37
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,16592020,11.76,0.25, 0:01.41,851,600,464.82,6636.81,1.41
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,11077288,3.23,0.22, 0:00.51,676,600,1592.03,4430.91,0.51
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,8680536,21.74,0.33, 0:02.05,1073,600,313.91,3472.21,2.05
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,13085976,15.87,0.33, 0:01.83,881,600,357.17,5234.39,1.83
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,13065389,16.78,0.35, 0:01.79,954,600,360.92,5226.16,1.79
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,11657712,13.38,0.26, 0:01.61,846,600,409.3,4663.08,1.61
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,16962166,18.37,0.37, 0:01.81,1036,600,362.39,6784.87,1.81
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,11935015,27.96,0.34, 0:02.81,1006,600,225.21,4774.01,2.81
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,13081235,15.79,0.3, 0:01.69,948,600,387.8,5232.49,1.69
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,14375953,15.99,0.29, 0:01.74,933,600,375.98,5750.38,1.74
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,10884003,15.62,0.35, 0:02.18,729,600,293.36,4353.6,2.18
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,10874915,16.04,0.36, 0:02.15,760,600,297.99,4349.97,2.15
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,11077288,2.78,0.23, 0:00.45,659,600,1907.94,4430.91,0.45
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,15351372,16.13,0.37, 0:02.42,680,600,262.6,6140.55,2.42
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,10885943,15.76,0.42, 0:02.30,703,600,277.97,4354.38,2.3
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,10895433,23.38,0.28, 0:03.04,778,600,207.55,4358.17,3.04
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,9434001,12.79,0.34, 0:01.49,881,600,439.96,3773.6,1.49
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,9653909,13.3,0.36, 0:01.74,782,600,369.89,3861.56,1.74
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,10224741,12.45,0.28, 0:01.40,905,600,469.14,4089.9,1.4
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,11667297,10.44,0.28, 0:01.20,887,600,570.07,4666.92,1.2
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,11715917,11.09,0.33, 0:01.25,910,600,545.2,4686.37,1.25
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,12006791,11.48,0.31, 0:01.24,949,600,550.07,4802.72,1.24
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,7605010,7.8,0.25, 0:00.91,883,600,781.85,3042.0,0.91
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,15313279,2.3,0.22, 0:00.43,574,600,1991.64,6125.31,0.43
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,8303333,9.33,0.26, 0:00.95,1003,600,741.29,3321.33,0.95
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,8247549,9.78,0.27, 0:00.91,1096,600,776.57,3299.02,0.91
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,8257311,9.33,0.27, 0:00.94,1018,600,753.26,3302.92,0.94
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,13081235,15.82,0.3, 0:01.68,957,600,391.28,5232.49,1.68
